C,SETP.WORLD,DVD_TRADINGREGIONSUM,AEMO,PUBLIC,2019/05/01,01:50:07,0000000307294743,,0000000307294547
I,TRADING,REGIONSUM,4,SETTLEMENTDATE,RUNNO,REGIONID,PERIODID,TOTALDEMAND,AVAILABLEGENERATION,AVAILABLELOAD,DEMANDFORECAST,DISPATCHABLEGENERATION,DISPATCHABLELOAD,NETINTERCHANGE,EXCESSGENERATION,LOWER5MINDISPATCH,LOWER5MINIMPORT,LOWER5MINLOCALDISPATCH,LOWER5MINLOCALPRICE,LOWER5MINLOCALREQ,LOWER5MINPRICE,LOWER5MINREQ,LOWER5MINSUPPLYPRICE,LOWER60SECDISPATCH,LOWER60SECIMPORT,LOWER60SECLOCALDISPATCH,LOWER60SECLOCALPRICE,LOWER60SECLOCALREQ,LOWER60SECPRICE,LOWER60SECREQ,LOWER60SECSUPPLYPRICE,LOWER6SECDISPATCH,LOWER6SECIMPORT,LOWER6SECLOCALDISPATCH,LOWER6SECLOCALPRICE,LOWER6SECLOCALREQ,LOWER6SECPRICE,LOWER6SECREQ,LOWER6SECSUPPLYPRICE,RAISE5MINDISPATCH,RAISE5MINIMPORT,RAISE5MINLOCALDISPATCH,RAISE5MINLOCALPRICE,RAISE5MINLOCALREQ,RAISE5MINPRICE,RAISE5MINREQ,RAISE5MINSUPPLYPRICE,RAISE60SECDISPATCH,RAISE60SECIMPORT,RAISE60SECLOCALDISPATCH,RAISE60SECLOCALPRICE,RAISE60SECLOCALREQ,RAISE60SECPRICE,RAISE60SECREQ,RAISE60SECSUPPLYPRICE,RAISE6SECDISPATCH,RAISE6SECIMPORT,RAISE6SECLOCALDISPATCH,RAISE6SECLOCALPRICE,RAISE6SECLOCALREQ,RAISE6SECPRICE,RAISE6SECREQ,RAISE6SECSUPPLYPRICE,LASTCHANGED,INITIALSUPPLY,CLEAREDSUPPLY,LOWERREGIMPORT,LOWERREGLOCALDISPATCH,LOWERREGLOCALREQ,LOWERREGREQ,RAISEREGIMPORT,RAISEREGLOCALDISPATCH,RAISEREGLOCALREQ,RAISEREGREQ,RAISE5MINLOCALVIOLATION,RAISEREGLOCALVIOLATION,RAISE60SECLOCALVIOLATION,RAISE6SECLOCALVIOLATION,LOWER5MINLOCALVIOLATION,LOWERREGLOCALVIOLATION,LOWER60SECLOCALVIOLATION,LOWER6SECLOCALVIOLATION,RAISE5MINVIOLATION,RAISEREGVIOLATION,RAISE60SECVIOLATION,RAISE6SECVIOLATION,LOWER5MINVIOLATION,LOWERREGVIOLATION,LOWER60SECVIOLATION,LOWER6SECVIOLATION,TOTALINTERMITTENTGENERATION,DEMAND_AND_NONSCHEDGEN,UIGF
D,TRADING,REGIONSUM,4,"2019/03/01 00:30:00",1,NSW1,1,7465.01,12381.53,0,-35.33,6755.83,0,-709.18,0,,,11,,,,,,,,46.57,,,,,,,,8.91,,,,,,,,224,,,,,,,,103,,,,,,,,91,,,,,,"2019/03/01 00:25:04",7582.5,7534.57,,20.58,,,,23,,,,,,,,,,,,,,,,,,,7.29,7541.86,557.2
D,TRADING,REGIONSUM,4,"2019/03/01 00:30:00",1,QLD1,1,5858.04,11285.32,0,-15.77,6927.55,0,1069.51,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,150,,,,,,,,102,,,,,,,,62,,,,,,"2019/03/01 00:25:04",5901.57,5885.21,,67.57,,,,52.56,,,,,,,,,,,,,,,,,,,135.81,6021.02,83.32
D,TRADING,REGIONSUM,4,"2019/03/01 00:30:00",1,SA1,1,1685.79,2979.78,87,-11.89,1201.62,0,-484.17,0,,,41.83,,,,,,,,30,,,,,,,,19.2,,,,,,,,60,,,,,,,,68,,,,,,,,107,,,,,,"2019/03/01 00:25:04",1720.03,1693.31,,26.5,,,,55,,,,,,,,,,,,,,,,,,,76.65,1769.96,392.78
D,TRADING,REGIONSUM,4,"2019/03/01 00:30:00",1,TAS1,1,783.3,2237.15,0,-0.88,894.46,0,111.17,0,,,53.66,,,,,,,,22.53,,,,,,,,10.18,,,,,,,,15.73,,,,,,,,80.31,,,,,,,,71.31,,,,,,"2019/03/01 00:25:04",788.47,784.14,,3.83,,,,8.14,,,,,,,,,,,,,,,,,,,156.38,940.52,13.15
D,TRADING,REGIONSUM,4,"2019/03/01 00:30:00",1,VIC1,1,5262.6,8872.89,0,-13.43,5412.84,0,150.24,0,,,167.94,,,,,,,,55.83,,,,,,,,19.85,,,,,,,,62.5,,,,,,,,56,,,,,,,,78,,,,,,"2019/03/01 00:25:04",5307.88,5295.07,,9.83,,,,6.67,,,,,,,,,,,,,,,,,,,83.29,5378.36,237.89
D,TRADING,REGIONSUM,4,"2019/03/01 01:00:00",1,NSW1,2,7262.19,12170.69,200,-32.6,6632.09,117.2,-747.3,0,,,13.15,,,,,,,,56.57,,,,,,,,20.52,,,,,,,,251,,,,,,,,120.75,,,,,,,,114.13,,,,,,"2019/03/01 00:55:04",7458.21,7446.73,,28.01,,,,27.36,,,,,,,,,,,,,,,,,,,2.98,7449.71,539.69
D,TRADING,REGIONSUM,4,"2019/03/01 01:00:00",1,QLD1,2,5678.91,11258.4,0,-9.47,6750.34,0,1071.43,0,,,10.11,,,,,,,,0,,,,,,,,0,,,,,,,,140.09,,,,,,,,104.52,,,,,,,,70.68,,,,,,"2019/03/01 00:55:04",5727.5,5706.44,,51.03,,,,25.08,,,,,,,,,,,,,,,,,,,134.98,5841.42,79.4
D,TRADING,REGIONSUM,4,"2019/03/01 01:00:00",1,SA1,2,1625.18,3027.07,87,-15.84,1170.27,0,-454.91,0,,,42.17,,,,,,,,30,,,,,,,,41.66,,,,,,,,60,,,,,,,,69.62,,,,,,,,107.41,,,,,,"2019/03/01 00:55:04",1657.62,1631.82,,37.68,,,,42.64,,,,,,,,,,,,,,,,,,,74.09,1705.91,444.91
D,TRADING,REGIONSUM,4,"2019/03/01 01:00:00",1,TAS1,2,750.75,2236.25,0,1.51,614.34,0,-136.41,0,,,61.21,,,,,,,,32.99,,,,,,,,15.36,,,,,,,,17.85,,,,,,,,88.57,,,,,,,,80.14,,,,,,"2019/03/01 00:55:04",756.12,751.13,,10.72,,,,45.74,,,,,,,,,,,,,,,,,,,161.92,913.05,7.25
D,TRADING,REGIONSUM,4,"2019/03/01 01:00:00",1,VIC1,2,5060.04,8926.61,0,-18.36,5456.17,0,396.12,0,,,157.79,,,,,,,,69.39,,,,,,,,13.33,,,,,,,,61.06,,,,,,,,56.83,,,,,,,,64.5,,,,,,"2019/03/01 00:55:04",5108.32,5087.09,,2.67,,,,0,,,,,,,,,,,,,,,,,,,112.19,5199.28,291.61
D,TRADING,REGIONSUM,4,"2019/03/01 01:30:00",1,NSW1,3,6982.12,12181.78,200,-41.74,6478.74,200,-703.38,0,,,11,,,,,,,,52.86,,,,,,,,11.98,,,,,,,,279,,,,,,,,127.39,,,,,,,,110.88,,,,,,"2019/03/01 01:25:04",7289.43,7246.48,,20.37,,,,25.9,,,,,,,,,,,,,,,,,,,5.14,7251.62,529.94
D,TRADING,REGIONSUM,4,"2019/03/01 01:30:00",1,QLD1,3,5596.76,11084.83,0,-16.74,6639.79,0,1043.04,0,,,1.03,,,,,,,,0,,,,,,,,0,,,,,,,,96.4,,,,,,,,81.92,,,,,,,,66.83,,,,,,"2019/03/01 01:25:04",5654.26,5622.44,,64,,,,28.84,,,,,,,,,,,,,,,,,,,135.89,5758.33,71.83
D,TRADING,REGIONSUM,4,"2019/03/01 01:30:00",1,SA1,3,1551.24,3032.64,60.33,-11.33,1180.97,0,-370.27,0,,,41.83,,,,,,,,25,,,,,,,,37.27,,,,,,,,59.17,,,,,,,,57.83,,,,,,,,99.33,,,,,,"2019/03/01 01:25:04",1567.13,1555.55,,26.9,,,,43.83,,,,,,,,,,,,,,,,,,,68.29,1623.84,452.81
D,TRADING,REGIONSUM,4,"2019/03/01 01:30:00",1,TAS1,3,749.05,2241.05,0,-2.3,536.26,0,-212.79,0,,,85.88,,,,,,,,33.26,,,,,,,,9.97,,,,,,,,28.71,,,,,,,,103.87,,,,,,,,83.74,,,,,,"2019/03/01 01:25:04",751.37,749.05,,5.07,,,,39.99,,,,,,,,,,,,,,,,,,,152.91,901.96,12.05
D,TRADING,REGIONSUM,4,"2019/03/01 01:30:00",1,VIC1,3,4893.86,9002.26,0,-11.72,5252.73,0,358.87,0,,,145,,,,,,,,58.33,,,,,,,,16.27,,,,,,,,60,,,,,,,,55.04,,,,,,,,65.27,,,,,,"2019/03/01 01:25:04",4937.1,4914.98,,3.67,,,,0,,,,,,,,,,,,,,,,,,,129.92,5044.90,367.26
D,TRADING,REGIONSUM,4,"2019/03/01 02:00:00",1,NSW1,4,6776.47,12206.22,200,-34.69,6154.35,200,-822.13,0,,,11.54,,,,,,,,65.45,,,,,,,,18.42,,,,,,,,295.33,,,,,,,,146.1,,,,,,,,124,,,,,,"2019/03/01 01:55:03",7086.2,7029.72,,17.32,,,,26.35,,,,,,,,,,,,,,,,,,,6.11,7035.83,556.05
