C,SETP.WORLD,DVD_TRADINGREGIONSUM,AEMO,PUBLIC,2019/03/09,02:10:03,0000000305250978,,0000000305250784
I,TRADING,REGIONSUM,4,SETTLEMENTDATE,RUNNO,REGIONID,PERIODID,TOTALDEMAND,AVAILABLEGENERATION,AVAILABLELOAD,DEMANDFORECAST,DISPATCHABLEGENERATION,DISPATCHABLELOAD,NETINTERCHANGE,EXCESSGENERATION,LOWER5MINDISPATCH,LOWER5MINIMPORT,LOWER5MINLOCALDISPATCH,LOWER5MINLOCALPRICE,LOWER5MINLOCALREQ,LOWER5MINPRICE,LOWER5MINREQ,LOWER5MINSUPPLYPRICE,LOWER60SECDISPATCH,LOWER60SECIMPORT,LOWER60SECLOCALDISPATCH,LOWER60SECLOCALPRICE,LOWER60SECLOCALREQ,LOWER60SECPRICE,LOWER60SECREQ,LOWER60SECSUPPLYPRICE,LOWER6SECDISPATCH,LOWER6SECIMPORT,LOWER6SECLOCALDISPATCH,LOWER6SECLOCALPRICE,LOWER6SECLOCALREQ,LOWER6SECPRICE,LOWER6SECREQ,LOWER6SECSUPPLYPRICE,RAISE5MINDISPATCH,RAISE5MINIMPORT,RAISE5MINLOCALDISPATCH,RAISE5MINLOCALPRICE,RAISE5MINLOCALREQ,RAISE5MINPRICE,RAISE5MINREQ,RAISE5MINSUPPLYPRICE,RAISE60SECDISPATCH,RAISE60SECIMPORT,RAISE60SECLOCALDISPATCH,RAISE60SECLOCALPRICE,RAISE60SECLOCALREQ,RAISE60SECPRICE,RAISE60SECREQ,RAISE60SECSUPPLYPRICE,RAISE6SECDISPATCH,RAISE6SECIMPORT,RAISE6SECLOCALDISPATCH,RAISE6SECLOCALPRICE,RAISE6SECLOCALREQ,RAISE6SECPRICE,RAISE6SECREQ,RAISE6SECSUPPLYPRICE,LASTCHANGED,INITIALSUPPLY,CLEAREDSUPPLY,LOWERREGIMPORT,LOWERREGLOCALDISPATCH,LOWERREGLOCALREQ,LOWERREGREQ,RAISEREGIMPORT,RAISEREGLOCALDISPATCH,RAISEREGLOCALREQ,RAISEREGREQ,RAISE5MINLOCALVIOLATION,RAISEREGLOCALVIOLATION,RAISE60SECLOCALVIOLATION,RAISE6SECLOCALVIOLATION,LOWER5MINLOCALVIOLATION,LOWERREGLOCALVIOLATION,LOWER60SECLOCALVIOLATION,LOWER6SECLOCALVIOLATION,RAISE5MINVIOLATION,RAISEREGVIOLATION,RAISE60SECVIOLATION,RAISE6SECVIOLATION,LOWER5MINVIOLATION,LOWERREGVIOLATION,LOWER60SECVIOLATION,LOWER6SECVIOLATION,TOTALINTERMITTENTGENERATION,DEMAND_AND_NONSCHEDGEN,UIGF
D,TRADING,REGIONSUM,4,"2019/02/01 00:30:00",1,NSW1,1,7453.57,12744.13,390,-29.39,7938.23,390,94.66,0,,,104.94,,,,,,,,47.35,,,,,,,,33.86,,,,,,,,260.1,,,,,,,,115.12,,,,,,,,132.5,,,,,,"2019/02/01 00:25:03",7887.57,7846.13,,25.46,,,,32.6,,,,,,,,,,,,,,,,,,,115.08,7961.21,573.13
D,TRADING,REGIONSUM,4,"2019/02/01 00:30:00",1,QLD1,1,6256.94,10711.21,0,-0.31,6344.42,0,87.48,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,84.83,,,,,,,,44.63,,,,,,,,33.91,,,,,,"2019/02/01 00:25:03",6268.03,6256.72,,41.21,,,,54.21,,,,,,,,,,,,,,,,,,,83.55,6340.27,0.21
D,TRADING,REGIONSUM,4,"2019/02/01 00:30:00",1,SA1,1,1318.23,3428.04,87,-9.5,1777.41,0,459.18,0,,,1,,,,,,,,41,,,,,,,,1,,,,,,,,36,,,,,,,,105.03,,,,,,,,88.44,,,,,,"2019/02/01 00:25:03",1346.71,1326.46,,21.67,,,,45,,,,,,,,,,,,,,,,,,,202.39,1528.85,1103.04
D,TRADING,REGIONSUM,4,"2019/02/01 00:30:00",1,TAS1,1,1065.33,1912.14,0,-2.38,670.59,0,-394.74,0,,,51.3,,,,,,,,34.98,,,,,,,,0,,,,,,,,0,,,,,,,,76.87,,,,,,,,64.15,,,,,,"2019/02/01 00:25:03",1069.29,1065.33,,28.67,,,,57.4,,,,,,,,,,,,,,,,,,,27.34,1092.67,28.14
D,TRADING,REGIONSUM,4,"2019/02/01 00:30:00",1,VIC1,1,4012.27,7765.13,0,-26.02,3815.6,0,-196.67,0,,,125.8,,,,,,,,35,,,,,,,,29.66,,,,,,,,43.02,,,,,,,,31.04,,,,,,,,53.69,,,,,,"2019/02/01 00:25:03",4089.08,4051.62,,3,,,,4.33,,,,,,,,,,,,,,,,,,,238.42,4290.04,351.13
D,TRADING,REGIONSUM,4,"2019/02/01 01:00:00",1,NSW1,2,7213.22,12809.81,390,-39.29,7681.27,390,78.04,0,,,120.33,,,,,,,,64.1,,,,,,,,50,,,,,,,,266.05,,,,,,,,100.73,,,,,,,,119.94,,,,,,"2019/02/01 00:55:03",7661.49,7605.57,,37.67,,,,35.81,,,,,,,,,,,,,,,,,,,120.59,7726.16,619.65
D,TRADING,REGIONSUM,4,"2019/02/01 01:00:00",1,QLD1,2,6086.91,10714.29,0,-14.18,6190.21,0,103.3,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,85,,,,,,,,44.33,,,,,,,,32.33,,,,,,"2019/02/01 00:55:03",6112.46,6086.72,,30.67,,,,9.31,,,,,,,,,,,,,,,,,,,83.26,6169.98,0.29
D,TRADING,REGIONSUM,4,"2019/02/01 01:00:00",1,SA1,2,1254.29,3244.5,87,-12.33,1713.87,6.5,453.08,0,,,12.43,,,,,,,,31,,,,,,,,1,,,,,,,,36,,,,,,,,87.55,,,,,,,,75.35,,,,,,"2019/02/01 00:55:03",1284.75,1268.67,,9.83,,,,32,,,,,,,,,,,,,,,,,,,196.57,1465.24,1109.5
D,TRADING,REGIONSUM,4,"2019/02/01 01:00:00",1,TAS1,2,1075.05,1917.77,0,-1.57,673.93,0,-401.11,0,,,34.77,,,,,,,,32.13,,,,,,,,7.62,,,,,,,,0,,,,,,,,72.97,,,,,,,,58.38,,,,,,"2019/02/01 00:55:03",1076.9,1075.05,,38.83,,,,54.28,,,,,,,,,,,,,,,,,,,19.5,1094.55,33.77
D,TRADING,REGIONSUM,4,"2019/02/01 01:00:00",1,VIC1,2,3879.38,7742.81,0,-18.08,3694.61,0,-184.77,0,,,117.84,,,,,,,,39.82,,,,,,,,15,,,,,,,,44.61,,,,,,,,22.42,,,,,,,,42,,,,,,"2019/02/01 00:55:03",3948.28,3917.89,,3,,,,3.33,,,,,,,,,,,,,,,,,,,235.88,4153.77,327.81
