C,SETP.WORLD,DVD_TRADINGREGIONSUM,AEMO,PUBLIC,2018/08/07,00:35:01,0000000297752591,,0000000297752332
I,TRADING,REGIONSUM,4,SETTLEMENTDATE,RUNNO,REGIONID,PERIODID,TOTALDEMAND,AVAILABLEGENERATION,AVAILABLELOAD,DEMANDFORECAST,DISPATCHABLEGENERATION,DISPATCHABLELOAD,NETINTERCHANGE,EXCESSGENERATION,LOWER5MINDISPATCH,LOWER5MINIMPORT,LOWER5MINLOCALDISPATCH,LOWER5MINLOCALPRICE,LOWER5MINLOCALREQ,LOWER5MINPRICE,LOWER5MINREQ,LOWER5MINSUPPLYPRICE,LOWER60SECDISPATCH,LOWER60SECIMPORT,LOWER60SECLOCALDISPATCH,LOWER60SECLOCALPRICE,LOWER60SECLOCALREQ,LOWER60SECPRICE,LOWER60SECREQ,LOWER60SECSUPPLYPRICE,LOWER6SECDISPATCH,LOWER6SECIMPORT,LOWER6SECLOCALDISPATCH,LOWER6SECLOCALPRICE,LOWER6SECLOCALREQ,LOWER6SECPRICE,LOWER6SECREQ,LOWER6SECSUPPLYPRICE,RAISE5MINDISPATCH,RAISE5MINIMPORT,RAISE5MINLOCALDISPATCH,RAISE5MINLOCALPRICE,RAISE5MINLOCALREQ,RAISE5MINPRICE,RAISE5MINREQ,RAISE5MINSUPPLYPRICE,RAISE60SECDISPATCH,RAISE60SECIMPORT,RAISE60SECLOCALDISPATCH,RAISE60SECLOCALPRICE,RAISE60SECLOCALREQ,RAISE60SECPRICE,RAISE60SECREQ,RAISE60SECSUPPLYPRICE,RAISE6SECDISPATCH,RAISE6SECIMPORT,RAISE6SECLOCALDISPATCH,RAISE6SECLOCALPRICE,RAISE6SECLOCALREQ,RAISE6SECPRICE,RAISE6SECREQ,RAISE6SECSUPPLYPRICE,LASTCHANGED,INITIALSUPPLY,CLEAREDSUPPLY,LOWERREGIMPORT,LOWERREGLOCALDISPATCH,LOWERREGLOCALREQ,LOWERREGREQ,RAISEREGIMPORT,RAISEREGLOCALDISPATCH,RAISEREGLOCALREQ,RAISEREGREQ,RAISE5MINLOCALVIOLATION,RAISEREGLOCALVIOLATION,RAISE60SECLOCALVIOLATION,RAISE6SECLOCALVIOLATION,LOWER5MINLOCALVIOLATION,LOWERREGLOCALVIOLATION,LOWER60SECLOCALVIOLATION,LOWER6SECLOCALVIOLATION,RAISE5MINVIOLATION,RAISEREGVIOLATION,RAISE60SECVIOLATION,RAISE6SECVIOLATION,LOWER5MINVIOLATION,LOWERREGVIOLATION,LOWER60SECVIOLATION,LOWER6SECVIOLATION,TOTALINTERMITTENTGENERATION,DEMAND_AND_NONSCHEDGEN,UIGF
D,TRADING,REGIONSUM,4,"2018/07/01 00:30:00",1,NSW1,1,8212.12,10886.61,0,-50.03,7951.95,0,-260.17,0,,,60,,,,,,,,12,,,,,,,,0,,,,,,,,297.67,,,,,,,,145.87,,,,,,,,124.09,,,,,,"2018/07/01 00:25:05",8338.11,8292.67,,42.5,,,,34.06,,,,,,,,,,,,,,,,,,,111.3,8403.97,273.61
D,TRADING,REGIONSUM,4,"2018/07/01 00:30:00",1,QLD1,1,5395.96,10431,240,-18.9,6349.4,0,953.44,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,34,,,,,,,,81.95,,,,,,,,50,,,,,,"2018/07/01 00:25:05",5444.62,5416.35,,0,,,,45,,,,,,,,,,,,,,,,,,,124.81,5541.16,0
D,TRADING,REGIONSUM,4,"2018/07/01 00:30:00",1,SA1,1,1752.18,2341.82,80,-14.62,1021.12,0,-731.07,0,,,40,,,,,,,,19,,,,,,,,30.75,,,,,,,,81,,,,,,,,107.72,,,,,,,,123,,,,,,"2018/07/01 00:25:05",1782.61,1772.71,,40,,,,68.6,,,,,,,,,,,,,,,,,,,18.47,1791.18,12.82
D,TRADING,REGIONSUM,4,"2018/07/01 00:30:00",1,TAS1,1,1140.68,2310.42,0,-3.19,1559.78,0,419.1,0,,,151.95,,,,,,,,86.22,,,,,,,,0,,,,,,,,15.39,,,,,,,,0,,,,,,,,9.78,,,,,,"2018/07/01 00:25:05",1155.24,1156.05,,30,,,,0,,,,,,,,,,,,,,,,,,,133.01,1289.06,103.42
D,TRADING,REGIONSUM,4,"2018/07/01 00:30:00",1,VIC1,1,5313.52,8629.91,0,-23.64,5154.51,0,-159.01,0,,,25,,,,,,,,15,,,,,,,,7.62,,,,,,,,69,,,,,,,,54,,,,,,,,82.67,,,,,,"2018/07/01 00:25:05",5431.06,5398.97,,7.5,,,,10,,,,,,,,,,,,,,,,,,,63.39,5462.36,182.91
D,TRADING,REGIONSUM,4,"2018/07/01 01:00:00",1,NSW1,2,7969.02,10845.2,0,-41.94,7822.2,0,-146.82,0,,,60,,,,,,,,12,,,,,,,,0,,,,,,,,315.57,,,,,,,,151.25,,,,,,,,131.01,,,,,,"2018/07/01 00:55:04",8084.4,8043.68,,50,,,,52.53,,,,,,,,,,,,,,,,,,,120.23,8163.91,272.2
D,TRADING,REGIONSUM,4,"2018/07/01 01:00:00",1,QLD1,2,5228.14,10421,240,-25.16,6092.28,0,864.14,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,32.33,,,,,,,,66.68,,,,,,,,41.01,,,,,,"2018/07/01 00:55:04",5296.84,5245,,0,,,,23.83,,,,,,,,,,,,,,,,,,,122.76,5367.76,0
D,TRADING,REGIONSUM,4,"2018/07/01 01:00:00",1,SA1,2,1664.83,2345.65,80,-13.71,958.93,0,-705.9,0,,,40,,,,,,,,19,,,,,,,,36.49,,,,,,,,81,,,,,,,,126.34,,,,,,,,123,,,,,,"2018/07/01 00:55:04",1698.89,1683.18,,40,,,,67.28,,,,,,,,,,,,,,,,,,,22.17,1705.35,18.15
D,TRADING,REGIONSUM,4,"2018/07/01 01:00:00",1,TAS1,2,1116.12,2335.68,0,-2.2,1524.38,0,408.26,0,,,163.83,,,,,,,,95.7,,,,,,,,0,,,,,,,,15.49,,,,,,,,0.35,,,,,,,,21.78,,,,,,"2018/07/01 00:55:04",1133.77,1130.69,,30,,,,0,,,,,,,,,,,,,,,,,,,137.03,1267.72,128.68
D,TRADING,REGIONSUM,4,"2018/07/01 01:00:00",1,VIC1,2,5147.15,8627.67,0,-15.7,4933.67,0,-213.48,0,,,14.17,,,,,,,,14.17,,,,,,,,12.53,,,,,,,,69,,,,,,,,54.83,,,,,,,,82.67,,,,,,"2018/07/01 00:55:04",5255.08,5228.89,,0,,,,0,,,,,,,,,,,,,,,,,,,67.75,5296.64,180.67
