C,SETP.WORLD,DVD_TRADINGREGIONSUM,AEMO,PUBLIC,2017/11/11,12:40:00,0000000289037224,,0000000289036984
I,TRADING,REGIONSUM,4,SETTLEMENTDATE,RUNNO,REGIONID,PERIODID,TOTALDEMAND,AVAILABLEGENERATION,AVAILABLELOAD,DEMANDFORECAST,DISPATCHABLEGENERATION,DISPATCHABLELOAD,NETINTERCHANGE,EXCESSGENERATION,LOWER5MINDISPATCH,LOWER5MINIMPORT,LOWER5MINLOCALDISPATCH,LOWER5MINLOCALPRICE,LOWER5MINLOCALREQ,LOWER5MINPRICE,LOWER5MINREQ,LOWER5MINSUPPLYPRICE,LOWER60SECDISPATCH,LOWER60SECIMPORT,LOWER60SECLOCALDISPATCH,LOWER60SECLOCALPRICE,LOWER60SECLOCALREQ,LOWER60SECPRICE,LOWER60SECREQ,LOWER60SECSUPPLYPRICE,LOWER6SECDISPATCH,LOWER6SECIMPORT,LOWER6SECLOCALDISPATCH,LOWER6SECLOCALPRICE,LOWER6SECLOCALREQ,LOWER6SECPRICE,LOWER6SECREQ,LOWER6SECSUPPLYPRICE,RAISE5MINDISPATCH,RAISE5MINIMPORT,RAISE5MINLOCALDISPATCH,RAISE5MINLOCALPRICE,RAISE5MINLOCALREQ,RAISE5MINPRICE,RAISE5MINREQ,RAISE5MINSUPPLYPRICE,RAISE60SECDISPATCH,RAISE60SECIMPORT,RAISE60SECLOCALDISPATCH,RAISE60SECLOCALPRICE,RAISE60SECLOCALREQ,RAISE60SECPRICE,RAISE60SECREQ,RAISE60SECSUPPLYPRICE,RAISE6SECDISPATCH,RAISE6SECIMPORT,RAISE6SECLOCALDISPATCH,RAISE6SECLOCALPRICE,RAISE6SECLOCALREQ,RAISE6SECPRICE,RAISE6SECREQ,RAISE6SECSUPPLYPRICE,LASTCHANGED,INITIALSUPPLY,CLEAREDSUPPLY,LOWERREGIMPORT,LOWERREGLOCALDISPATCH,LOWERREGLOCALREQ,LOWERREGREQ,RAISEREGIMPORT,RAISEREGLOCALDISPATCH,RAISEREGLOCALREQ,RAISEREGREQ,RAISE5MINLOCALVIOLATION,RAISEREGLOCALVIOLATION,RAISE60SECLOCALVIOLATION,RAISE6SECLOCALVIOLATION,LOWER5MINLOCALVIOLATION,LOWERREGLOCALVIOLATION,LOWER60SECLOCALVIOLATION,LOWER6SECLOCALVIOLATION,RAISE5MINVIOLATION,RAISEREGVIOLATION,RAISE60SECVIOLATION,RAISE6SECVIOLATION,LOWER5MINVIOLATION,LOWERREGVIOLATION,LOWER60SECVIOLATION,LOWER6SECVIOLATION,TOTALINTERMITTENTGENERATION,DEMAND_AND_NONSCHEDGEN,UIGF
D,TRADING,REGIONSUM,4,"2017/10/01 00:30:00",1,NSW1,1,6742.87,11722.09,0,-19.37,5793.86,0,-949.02,0,,,46,,,,,,,,18,,,,,,,,16,,,,,,,,312.46,,,,,,,,163.75,,,,,,,,183.46,,,,,,"2017/10/01 00:25:04",6777.46,6755.79,,70.33,,,,89,,,,,,,,,,,,,,,,,,,67.93,6823.72,158.09
D,TRADING,REGIONSUM,4,"2017/10/01 00:30:00",1,QLD1,1,5367.05,8657.17,240,-47.37,5701.77,0,334.72,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,"2017/10/01 00:25:04",5412.53,5367.99,,7.41,,,,21,,,,,,,,,,,,,,,,,,,167.23,5535.22,0
D,TRADING,REGIONSUM,4,"2017/10/01 00:30:00",1,SA1,1,1353.86,2242.58,0,-8.88,1001.41,0,-352.45,0,,,0,,,,,,,,20,,,,,,,,0,,,,,,,,0,,,,,,,,40,,,,,,,,14.56,,,,,,"2017/10/01 00:25:04",1371.48,1369.79,,0,,,,0,,,,,,,,,,,,,,,,,,,60.64,1430.43,230.58
D,TRADING,REGIONSUM,4,"2017/10/01 00:30:00",1,TAS1,1,1026.98,2282.71,0,-1.96,1537.69,0,510.71,0,,,149.15,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,"2017/10/01 00:25:04",1054.31,1049.82,,35.83,,,,10,,,,,,,,,,,,,,,,,,,208.25,1258.07,139.71
D,TRADING,REGIONSUM,4,"2017/10/01 00:30:00",1,VIC1,1,4563.62,8370.6,0,-17.52,5094.92,0,531.3,0,,,90,,,,,,,,134.72,,,,,,,,63.09,,,,,,,,34.5,,,,,,,,36.5,,,,,,,,42.23,,,,,,"2017/10/01 00:25:04",4594.35,4586.27,,10,,,,10,,,,,,,,,,,,,,,,,,,187.75,4774.02,262.6
D,TRADING,REGIONSUM,4,"2017/10/01 01:00:00",1,NSW1,2,6598.81,11730.61,0,-34.32,5575.47,0,-1023.34,0,,,46,,,,,,,,31.33,,,,,,,,23.33,,,,,,,,321.64,,,,,,,,182.86,,,,,,,,193.63,,,,,,"2017/10/01 00:55:04",6650.68,6614.73,,82.45,,,,92.33,,,,,,,,,,,,,,,,,,,34.88,6649.61,166.61
D,TRADING,REGIONSUM,4,"2017/10/01 01:00:00",1,QLD1,2,5206.91,8658,240,-22.96,5702.13,0,495.23,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,"2017/10/01 00:55:04",5231.41,5211.19,,22.5,,,,21,,,,,,,,,,,,,,,,,,,161.87,5373.06,0
D,TRADING,REGIONSUM,4,"2017/10/01 01:00:00",1,SA1,2,1279.94,2239.74,0,-12.27,975.21,0,-304.74,0,,,0,,,,,,,,20,,,,,,,,6.67,,,,,,,,0,,,,,,,,40,,,,,,,,20,,,,,,"2017/10/01 00:55:04",1306.51,1292.87,,0,,,,0,,,,,,,,,,,,,,,,,,,66.7,1359.57,227.74
D,TRADING,REGIONSUM,4,"2017/10/01 01:00:00",1,TAS1,2,1018.5,2281.98,0,-1.74,1550.49,0,531.99,0,,,161.25,,,,,,,,26.19,,,,,,,,2.81,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,"2017/10/01 00:55:04",1037.78,1043.26,,26.83,,,,10,,,,,,,,,,,,,,,,,,,211.34,1254.60,138.98
D,TRADING,REGIONSUM,4,"2017/10/01 01:00:00",1,VIC1,2,4352.52,8332.18,0,-20.26,4730.32,0,377.8,0,,,63.33,,,,,,,,102.19,,,,,,,,55.65,,,,,,,,28,,,,,,,,30,,,,,,,,36,,,,,,"2017/10/01 00:55:04",4397.78,4371.56,,6.67,,,,6.67,,,,,,,,,,,,,,,,,,,217.29,4588.85,304.18
