C,SETP.WORLD,DVD_TRADINGREGIONSUM,AEMO,PUBLIC,2019/08/07,14:45:01,0000000311265053,,0000000311264855
I,TRADING,REGIONSUM,4,SETTLEMENTDATE,RUNNO,REGIONID,PERIODID,TOTALDEMAND,AVAILABLEGENERATION,AVAILABLELOAD,DEMANDFORECAST,DISPATCHABLEGENERATION,DISPATCHABLELOAD,NETINTERCHANGE,EXCESSGENERATION,LOWER5MINDISPATCH,LOWER5MINIMPORT,LOWER5MINLOCALDISPATCH,LOWER5MINLOCALPRICE,LOWER5MINLOCALREQ,LOWER5MINPRICE,LOWER5MINREQ,LOWER5MINSUPPLYPRICE,LOWER60SECDISPATCH,LOWER60SECIMPORT,LOWER60SECLOCALDISPATCH,LOWER60SECLOCALPRICE,LOWER60SECLOCALREQ,LOWER60SECPRICE,LOWER60SECREQ,LOWER60SECSUPPLYPRICE,LOWER6SECDISPATCH,LOWER6SECIMPORT,LOWER6SECLOCALDISPATCH,LOWER6SECLOCALPRICE,LOWER6SECLOCALREQ,LOWER6SECPRICE,LOWER6SECREQ,LOWER6SECSUPPLYPRICE,RAISE5MINDISPATCH,RAISE5MINIMPORT,RAISE5MINLOCALDISPATCH,RAISE5MINLOCALPRICE,RAISE5MINLOCALREQ,RAISE5MINPRICE,RAISE5MINREQ,RAISE5MINSUPPLYPRICE,RAISE60SECDISPATCH,RAISE60SECIMPORT,RAISE60SECLOCALDISPATCH,RAISE60SECLOCALPRICE,RAISE60SECLOCALREQ,RAISE60SECPRICE,RAISE60SECREQ,RAISE60SECSUPPLYPRICE,RAISE6SECDISPATCH,RAISE6SECIMPORT,RAISE6SECLOCALDISPATCH,RAISE6SECLOCALPRICE,RAISE6SECLOCALREQ,RAISE6SECPRICE,RAISE6SECREQ,RAISE6SECSUPPLYPRICE,LASTCHANGED,INITIALSUPPLY,CLEAREDSUPPLY,LOWERREGIMPORT,LOWERREGLOCALDISPATCH,LOWERREGLOCALREQ,LOWERREGREQ,RAISEREGIMPORT,RAISEREGLOCALDISPATCH,RAISEREGLOCALREQ,RAISEREGREQ,RAISE5MINLOCALVIOLATION,RAISEREGLOCALVIOLATION,RAISE60SECLOCALVIOLATION,RAISE6SECLOCALVIOLATION,LOWER5MINLOCALVIOLATION,LOWERREGLOCALVIOLATION,LOWER60SECLOCALVIOLATION,LOWER6SECLOCALVIOLATION,RAISE5MINVIOLATION,RAISEREGVIOLATION,RAISE60SECVIOLATION,RAISE6SECVIOLATION,LOWER5MINVIOLATION,LOWERREGVIOLATION,LOWER60SECVIOLATION,LOWER6SECVIOLATION,TOTALINTERMITTENTGENERATION,DEMAND_AND_NONSCHEDGEN,UIGF
D,TRADING,REGIONSUM,4,"2019/07/01 00:30:00",1,NSW1,1,7951.59,12180.77,80,-36.85,7362.54,80,-669.05,0,,,6.67,,,,,,,,26.67,,,,,,,,5.16,,,,,,,,65.27,,,,,,,,52.41,,,,,,,,77.1,,,,,,"2019/07/01 00:25:03",8079.81,8040.37,,67.5,,,,58.33,,,,,,,,,,,,,,,,,,,9.77,8050.14,180.77
D,TRADING,REGIONSUM,4,"2019/07/01 00:30:00",1,QLD1,1,5362.77,9379.3,0,-15.07,5549.93,0,187.16,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,121.33,,,,,,,,81.42,,,,,,,,65.71,,,,,,"2019/07/01 00:25:03",5390.99,5363.63,,60.99,,,,76,,,,,,,,,,,,,,,,,,,157.58,5521.21,134.3
D,TRADING,REGIONSUM,4,"2019/07/01 00:30:00",1,SA1,1,1460.09,3015.14,87,-9.92,1330.14,0,-129.96,0,,,41,,,,,,,,49.54,,,,,,,,36.32,,,,,,,,71,,,,,,,,89.79,,,,,,,,108,,,,,,"2019/07/01 00:25:03",1472.85,1459.91,,53.33,,,,75,,,,,,,,,,,,,,,,,,,233.68,1693.59,922.14
D,TRADING,REGIONSUM,4,"2019/07/01 00:30:00",1,TAS1,1,1044.76,2227.12,0,-3.83,1186.5,0,141.73,0,,,47.13,,,,,,,,19.3,,,,,,,,2.33,,,,,,,,108.57,,,,,,,,80.63,,,,,,,,62.97,,,,,,"2019/07/01 00:25:03",1051.49,1046.44,,25.68,,,,6.67,,,,,,,,,,,,,,,,,,,167.84,1214.28,163.12
D,TRADING,REGIONSUM,4,"2019/07/01 00:30:00",1,VIC1,1,4844.01,8945.81,0,-18.71,5337.57,0,493.57,0,,,100.87,,,,,,,,64.1,,,,,,,,18.42,,,,,,,,87,,,,,,,,116.4,,,,,,,,106.87,,,,,,"2019/07/01 00:25:03",4878.96,4856.32,,2.5,,,,4,,,,,,,,,,,,,,,,,,,373.88,5230.20,1017.81
D,TRADING,REGIONSUM,4,"2019/07/01 01:00:00",1,NSW1,2,7676.06,12205.12,80,-34.78,6888.99,80,-867.07,0,,,5.83,,,,,,,,25.83,,,,,,,,5.76,,,,,,,,64.38,,,,,,,,55.31,,,,,,,,78,,,,,,"2019/07/01 00:55:02",7836.3,7772.54,,45.3,,,,65.18,,,,,,,,,,,,,,,,,,,20.19,7792.73,205.12
D,TRADING,REGIONSUM,4,"2019/07/01 01:00:00",1,QLD1,2,5169.59,9388.09,0,-14.15,5401.29,0,231.7,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,122,,,,,,,,76.67,,,,,,,,64.67,,,,,,"2019/07/01 00:55:02",5196.61,5171.22,,88.05,,,,74.99,,,,,,,,,,,,,,,,,,,162.28,5333.50,141.09
D,TRADING,REGIONSUM,4,"2019/07/01 01:00:00",1,SA1,2,1424.81,3007.27,87,-10.61,1321.27,0.67,-104.2,0,,,41,,,,,,,,49.54,,,,,,,,41.05,,,,,,,,71,,,,,,,,101.61,,,,,,,,108,,,,,,"2019/07/01 00:55:02",1445.14,1432.54,,45,,,,75,,,,,,,,,,,,,,,,,,,222.85,1655.39,913.27
D,TRADING,REGIONSUM,4,"2019/07/01 01:00:00",1,TAS1,2,1037.79,2227.1,0,-1.82,1193.59,0,155.8,0,,,52.39,,,,,,,,26.37,,,,,,,,7.46,,,,,,,,103.81,,,,,,,,75,,,,,,,,67.65,,,,,,"2019/07/01 00:55:02",1042.18,1039.73,,29.32,,,,0,,,,,,,,,,,,,,,,,,,168.16,1207.89,163.1
D,TRADING,REGIONSUM,4,"2019/07/01 01:00:00",1,VIC1,2,4680.44,8958.21,10,-15.82,5341.52,10,651.08,0,,,100.88,,,,,,,,63.62,,,,,,,,11.67,,,,,,,,91.4,,,,,,,,118.74,,,,,,,,109,,,,,,"2019/07/01 00:55:02",4737.74,4730.62,,2.33,,,,4.83,,,,,,,,,,,,,,,,,,,377.84,5108.46,1034.55
