C,SETP.WORLD,DVD_TRADINGREGIONSUM,AEMO,PUBLIC,2018/11/08,01:45:04,0000000300863838,,0000000300863652
I,TRADING,REGIONSUM,4,SETTLEMENTDATE,RUNNO,REGIONID,PERIODID,TOTALDEMAND,AVAILABLEGENERATION,AVAILABLELOAD,DEMANDFORECAST,DISPATCHABLEGENERATION,DISPATCHABLELOAD,NETINTERCHANGE,EXCESSGENERATION,LOWER5MINDISPATCH,LOWER5MINIMPORT,LOWER5MINLOCALDISPATCH,LOWER5MINLOCALPRICE,LOWER5MINLOCALREQ,LOWER5MINPRICE,LOWER5MINREQ,LOWER5MINSUPPLYPRICE,LOWER60SECDISPATCH,LOWER60SECIMPORT,LOWER60SECLOCALDISPATCH,LOWER60SECLOCALPRICE,LOWER60SECLOCALREQ,LOWER60SECPRICE,LOWER60SECREQ,LOWER60SECSUPPLYPRICE,LOWER6SECDISPATCH,LOWER6SECIMPORT,LOWER6SECLOCALDISPATCH,LOWER6SECLOCALPRICE,LOWER6SECLOCALREQ,LOWER6SECPRICE,LOWER6SECREQ,LOWER6SECSUPPLYPRICE,RAISE5MINDISPATCH,RAISE5MINIMPORT,RAISE5MINLOCALDISPATCH,RAISE5MINLOCALPRICE,RAISE5MINLOCALREQ,RAISE5MINPRICE,RAISE5MINREQ,RAISE5MINSUPPLYPRICE,RAISE60SECDISPATCH,RAISE60SECIMPORT,RAISE60SECLOCALDISPATCH,RAISE60SECLOCALPRICE,RAISE60SECLOCALREQ,RAISE60SECPRICE,RAISE60SECREQ,RAISE60SECSUPPLYPRICE,RAISE6SECDISPATCH,RAISE6SECIMPORT,RAISE6SECLOCALDISPATCH,RAISE6SECLOCALPRICE,RAISE6SECLOCALREQ,RAISE6SECPRICE,RAISE6SECREQ,RAISE6SECSUPPLYPRICE,LASTCHANGED,INITIALSUPPLY,CLEAREDSUPPLY,LOWERREGIMPORT,LOWERREGLOCALDISPATCH,LOWERREGLOCALREQ,LOWERREGREQ,RAISEREGIMPORT,RAISEREGLOCALDISPATCH,RAISEREGLOCALREQ,RAISEREGREQ,RAISE5MINLOCALVIOLATION,RAISEREGLOCALVIOLATION,RAISE60SECLOCALVIOLATION,RAISE6SECLOCALVIOLATION,LOWER5MINLOCALVIOLATION,LOWERREGLOCALVIOLATION,LOWER60SECLOCALVIOLATION,LOWER6SECLOCALVIOLATION,RAISE5MINVIOLATION,RAISEREGVIOLATION,RAISE60SECVIOLATION,RAISE6SECVIOLATION,LOWER5MINVIOLATION,LOWERREGVIOLATION,LOWER60SECVIOLATION,LOWER6SECVIOLATION,TOTALINTERMITTENTGENERATION,DEMAND_AND_NONSCHEDGEN,UIGF
D,TRADING,REGIONSUM,4,"2018/10/01 00:30:00",1,NSW1,1,7003.98,10456.44,194,-30.68,6975.09,178.33,-207.22,0,,,68,,,,,,,,26.76,,,,,,,,28.37,,,,,,,,325.02,,,,,,,,149.23,,,,,,,,131.6,,,,,,"2018/10/01 00:25:05",7218.01,7200.35,,32,,,,39.56,,,,,,,,,,,,,,,,,,,3.91,7204.26,445.44
D,TRADING,REGIONSUM,4,"2018/10/01 00:30:00",1,QLD1,1,5318.84,9667.91,240,-19.36,5783.1,0,464.26,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,29,,,,,,,,180.68,,,,,,,,150.68,,,,,,"2018/10/01 00:25:05",5349.06,5323.4,,20.17,,,,122.33,,,,,,,,,,,,,,,,,,,152.65,5476.05,58.91
D,TRADING,REGIONSUM,4,"2018/10/01 00:30:00",1,SA1,1,1253.44,2669.19,80,-10.55,1541.8,0.67,287.7,0,,,40,,,,,,,,39,,,,,,,,40,,,,,,,,61,,,,,,,,59,,,,,,,,92.83,,,,,,"2018/10/01 00:25:05",1259.43,1257.36,,22.33,,,,24.33,,,,,,,,,,,,,,,,,,,202.37,1459.73,867.19
D,TRADING,REGIONSUM,4,"2018/10/01 00:30:00",1,TAS1,1,1097.37,2305.21,0,-2.37,1259.24,0,161.88,0,,,60.93,,,,,,,,62.47,,,,,,,,0,,,,,,,,3.04,,,,,,,,17.55,,,,,,,,5.56,,,,,,"2018/10/01 00:25:05",1095.27,1099.42,,45.5,,,,1.67,,,,,,,,,,,,,,,,,,,38.79,1138.21,87.21
D,TRADING,REGIONSUM,4,"2018/10/01 00:30:00",1,VIC1,1,4690.96,7604.27,0,-13.35,4029.44,0,-661.52,0,,,124.66,,,,,,,,50,,,,,,,,10,,,,,,,,58.83,,,,,,,,22.86,,,,,,,,48.65,,,,,,"2018/10/01 00:25:05",4724.28,4708.15,,0,,,,0,,,,,,,,,,,,,,,,,,,73.03,4781.18,272.27
D,TRADING,REGIONSUM,4,"2018/10/01 01:00:00",1,NSW1,2,6876.73,10418.41,394,-25.75,6904.8,377.37,-349.3,0,,,71.28,,,,,,,,27.88,,,,,,,,34.25,,,,,,,,333,,,,,,,,161.59,,,,,,,,149.1,,,,,,"2018/10/01 00:55:05",7274.54,7274.69,,21,,,,20.98,,,,,,,,,,,,,,,,,,,3.05,7277.74,407.41
D,TRADING,REGIONSUM,4,"2018/10/01 01:00:00",1,QLD1,2,5148.6,9668.79,240,-16.47,5712.37,0,563.77,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,29,,,,,,,,173.85,,,,,,,,145.44,,,,,,"2018/10/01 00:55:05",5178.07,5155.68,,23.41,,,,123.33,,,,,,,,,,,,,,,,,,,150.79,5306.47,59.79
D,TRADING,REGIONSUM,4,"2018/10/01 01:00:00",1,SA1,2,1198.32,2651.73,80,-11.3,1475.12,7.33,269.46,0,,,40,,,,,,,,39,,,,,,,,40,,,,,,,,56.1,,,,,,,,59,,,,,,,,81.44,,,,,,"2018/10/01 00:55:05",1220.64,1208.45,,27.41,,,,20.44,,,,,,,,,,,,,,,,,,,193.72,1402.17,849.73
D,TRADING,REGIONSUM,4,"2018/10/01 01:00:00",1,TAS1,2,1086.33,2313.06,0,-1.67,1247.12,0,160.79,0,,,57.67,,,,,,,,58.4,,,,,,,,0,,,,,,,,18.22,,,,,,,,15.58,,,,,,,,12.67,,,,,,"2018/10/01 00:55:05",1082.84,1088.47,,48.19,,,,2.12,,,,,,,,,,,,,,,,,,,35.1,1123.57,95.06
D,TRADING,REGIONSUM,4,"2018/10/01 01:00:00",1,VIC1,2,4546.85,7568.1,0,-19.87,3949.09,0,-597.75,0,,,124.88,,,,,,,,57.19,,,,,,,,10,,,,,,,,63.09,,,,,,,,24.41,,,,,,,,45.78,,,,,,"2018/10/01 00:55:05",4581.83,4561.21,,0,,,,0,,,,,,,,,,,,,,,,,,,75.77,4636.98,236.1
D,TRADING,REGIONSUM,4,"2018/10/01 01:30:00",1,NSW1,3,6683.01,10410.54,585,-26.57,6829.24,567.45,-421.22,0,,,70.3,,,,,,,,49.19,,,,,,,,37.49,,,,,,,,328.83,,,,,,,,169.1,,,,,,,,152.95,,,,,,"2018/10/01 01:25:05",7264.32,7267.57,,21,,,,20.27,,,,,,,,,,,,,,,,,,,2.49,7270.06,399.54
D,TRADING,REGIONSUM,4,"2018/10/01 01:30:00",1,QLD1,3,5086.37,9669.13,240,-16.74,5639.75,0,553.38,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,29,,,,,,,,171,,,,,,,,142.73,,,,,,"2018/10/01 01:25:05",5108.31,5093.25,,39.44,,,,107.03,,,,,,,,,,,,,,,,,,,147.04,5240.29,60.13
D,TRADING,REGIONSUM,4,"2018/10/01 01:30:00",1,SA1,3,1134.81,2724.59,66.67,-11.24,1417.72,0,282.92,0,,,40,,,,,,,,39,,,,,,,,40,,,,,,,,41,,,,,,,,49.45,,,,,,,,76.49,,,,,,"2018/10/01 01:25:05",1162.15,1137.81,,15,,,,33.67,,,,,,,,,,,,,,,,,,,183.58,1321.39,922.59
D,TRADING,REGIONSUM,4,"2018/10/01 01:30:00",1,TAS1,3,1085.25,2329.45,0,-0.92,1198.81,0,113.56,0,,,14.74,,,,,,,,17.89,,,,,,,,0,,,,,,,,34.22,,,,,,,,26.23,,,,,,,,19.42,,,,,,"2018/10/01 01:25:05",1079.99,1086.15,,44.56,,,,10.81,,,,,,,,,,,,,,,,,,,39.08,1125.23,111.45
D,TRADING,REGIONSUM,4,"2018/10/01 01:30:00",1,VIC1,3,4405.95,7586.24,0,-9.91,3918.06,0,-487.89,0,,,165.85,,,,,,,,75.98,,,,,,,,10,,,,,,,,62.5,,,,,,,,22.6,,,,,,,,46.8,,,,,,"2018/10/01 01:25:05",4434.9,4418.81,,0,,,,0,,,,,,,,,,,,,,,,,,,75.15,4493.96,253.24
D,TRADING,REGIONSUM,4,"2018/10/01 02:00:00",1,NSW1,4,6515.86,10389.51,584.33,-27.94,6455.32,584.33,-644.88,0,,,71.74,,,,,,,,68.14,,,,,,,,44.32,,,,,,,,332.67,,,,,,,,180.32,,,,,,,,166.94,,,,,,"2018/10/01 01:55:04",7154.85,7121.04,,17.66,,,,18.33,,,,,,,,,,,,,,,,,,,2.29,7123.33,378.51
D,TRADING,REGIONSUM,4,"2018/10/01 02:00:00",1,QLD1,4,4990.73,9669.29,240,-23.19,5640.28,0,649.54,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,29.21,,,,,,,,166.1,,,,,,,,144.34,,,,,,"2018/10/01 01:55:04",5023.68,5000.64,,47.39,,,,122.44,,,,,,,,,,,,,,,,,,,149.33,5149.97,60.29
D,TRADING,REGIONSUM,4,"2018/10/01 02:00:00",1,SA1,4,1068.66,2775.8,80,-10.25,1363.97,0,295.31,0,,,40,,,,,,,,18.85,,,,,,,,40,,,,,,,,41,,,,,,,,19,,,,,,,,63,,,,,,"2018/10/01 01:55:04",1093.81,1071.85,,13.33,,,,0,,,,,,,,,,,,,,,,,,,183.63,1255.48,973.8
D,TRADING,REGIONSUM,4,"2018/10/01 02:00:00",1,TAS1,4,1084.86,2326.63,0,-0.34,1190.85,0,105.99,0,,,10.83,,,,,,,,10.52,,,,,,,,0,,,,,,,,38.21,,,,,,,,46.63,,,,,,,,19.5,,,,,,"2018/10/01 01:55:04",1078.8,1085.61,,41.62,,,,24.87,,,,,,,,,,,,,,,,,,,40,1125.61,108.63
D,TRADING,REGIONSUM,4,"2018/10/01 02:00:00",1,VIC1,4,4235.15,7547.95,0,-20.79,3875.95,0,-359.2,0,,,169.54,,,,,,,,90,,,,,,,,10,,,,,,,,62.35,,,,,,,,32.87,,,,,,,,51.14,,,,,,"2018/10/01 01:55:04",4267.7,4247.22,,0,,,,0,,,,,,,,,,,,,,,,,,,77.46,4324.68,214.95
D,TRADING,REGIONSUM,4,"2018/10/01 02:30:00",1,NSW1,5,6236.56,10366.57,581,-38.21,6038.09,581,-779.47,0,,,84.07,,,,,,,,86.32,,,,,,,,49.67,,,,,,,,327,,,,,,,,185,,,,,,,,168.78,,,,,,"2018/10/01 02:25:04",6901.69,6837.4,,16,,,,19.67,,,,,,,,,,,,,,,,,,,2.45,6839.85,355.57
D,TRADING,REGIONSUM,4,"2018/10/01 02:30:00",1,QLD1,5,4980.06,9671.37,240,-10.63,5621.25,0,641.19,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,44,,,,,,,,156.39,,,,,,,,135.2,,,,,,"2018/10/01 02:25:04",5003.55,4989.81,,47.47,,,,120,,,,,,,,,,,,,,,,,,,136.96,5126.77,60.37
D,TRADING,REGIONSUM,4,"2018/10/01 02:30:00",1,SA1,5,1043.81,2836.88,80,-6,1420.88,0,377.07,0,,,40,,,,,,,,18.77,,,,,,,,40,,,,,,,,41,,,,,,,,19,,,,,,,,63,,,,,,"2018/10/01 02:25:04",1056.58,1048.96,,23.27,,,,0,,,,,,,,,,,,,,,,,,,178,1226.96,1031.88
D,TRADING,REGIONSUM,4,"2018/10/01 02:30:00",1,TAS1,5,1081.04,2310.87,0,-0.23,1167.42,0,86.38,0,,,1.99,,,,,,,,2.64,,,,,,,,0.58,,,,,,,,35.96,,,,,,,,43.33,,,,,,,,29.2,,,,,,"2018/10/01 02:25:04",1075.33,1081.49,,33.26,,,,20.29,,,,,,,,,,,,,,,,,,,38.14,1119.63,92.87
D,TRADING,REGIONSUM,4,"2018/10/01 02:30:00",1,VIC1,5,4101.54,7501.3,0,-14.67,3829.3,0,-272.24,0,,,170,,,,,,,,97.82,,,,,,,,22.32,,,,,,,,64,,,,,,,,49,,,,,,,,56.53,,,,,,"2018/10/01 02:25:04",4131.52,4119.28,,0,,,,0,,,,,,,,,,,,,,,,,,,71.21,4190.49,168.3
D,TRADING,REGIONSUM,4,"2018/10/01 03:00:00",1,NSW1,6,6081.45,10366.72,581,-27.72,5735.72,581,-926.73,0,,,89.69,,,,,,,,88.61,,,,,,,,49.67,,,,,,,,327,,,,,,,,183.89,,,,,,,,171.34,,,,,,"2018/10/01 02:55:04",6724.85,6683.21,,13.03,,,,17.5,,,,,,,,,,,,,,,,,,,2.5,6685.71,355.72
D,TRADING,REGIONSUM,4,"2018/10/01 03:00:00",1,QLD1,6,4951.21,9671.64,240,-7.57,5574.67,0,623.46,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,41.81,,,,,,,,167.37,,,,,,,,141.67,,,,,,"2018/10/01 02:55:04",4971,4960.53,,26.47,,,,128.33,,,,,,,,,,,,,,,,,,,134.41,5094.94,60.64
D,TRADING,REGIONSUM,4,"2018/10/01 03:00:00",1,SA1,6,1016.83,2907.7,80,-4.84,1487.14,0,470.31,0,,,40,,,,,,,,18.54,,,,,,,,40,,,,,,,,41,,,,,,,,19,,,,,,,,63,,,,,,"2018/10/01 02:55:04",1039.81,1024.73,,40,,,,0,,,,,,,,,,,,,,,,,,,177.97,1202.70,1102.7
D,TRADING,REGIONSUM,4,"2018/10/01 03:00:00",1,TAS1,6,1083.9,2304.92,0,-0.39,1177.59,0,93.7,0,,,1.35,,,,,,,,2.58,,,,,,,,1.67,,,,,,,,37.08,,,,,,,,41.41,,,,,,,,23.43,,,,,,"2018/10/01 02:55:04",1074.09,1084.44,,40.5,,,,15.79,,,,,,,,,,,,,,,,,,,41.74,1126.18,86.92
D,TRADING,REGIONSUM,4,"2018/10/01 03:00:00",1,VIC1,6,4009.15,7485.59,0,-8.87,3814.59,0,-194.56,0,,,170,,,,,,,,97.25,,,,,,,,18.4,,,,,,,,64,,,,,,,,44.67,,,,,,,,56.9,,,,,,"2018/10/01 02:55:04",4044.56,4036.82,,0,,,,0,,,,,,,,,,,,,,,,,,,70.88,4107.70,153.59
D,TRADING,REGIONSUM,4,"2018/10/01 03:30:00",1,NSW1,7,5949.49,10370.76,581,-19.98,5716.72,581,-813.76,0,,,102.5,,,,,,,,90,,,,,,,,50,,,,,,,,327,,,,,,,,179.23,,,,,,,,148.1,,,,,,"2018/10/01 03:25:05",6574.31,6543.38,,13.03,,,,17.67,,,,,,,,,,,,,,,,,,,2.17,6545.55,359.76
D,TRADING,REGIONSUM,4,"2018/10/01 03:30:00",1,QLD1,7,4980.27,9671.82,245,4.77,5661.15,204.17,476.7,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,35.5,,,,,,,,180.68,,,,,,,,150.68,,,,,,"2018/10/01 03:25:05",5147.86,5189.83,,63.25,,,,142.44,,,,,,,,,,,,,,,,,,,126.78,5316.61,59.82
D,TRADING,REGIONSUM,4,"2018/10/01 03:30:00",1,SA1,7,988.05,2968.25,80,-4.48,1503.79,0,515.74,0,,,40,,,,,,,,18.77,,,,,,,,40,,,,,,,,41,,,,,,,,19,,,,,,,,63,,,,,,"2018/10/01 03:25:05",999.34,997.41,,20,,,,0,,,,,,,,,,,,,,,,,,,181.06,1178.47,1163.25
D,TRADING,REGIONSUM,4,"2018/10/01 03:30:00",1,TAS1,7,1077.18,2295.6,0,0.2,1151.18,0,74.01,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,19.15,,,,,,,,41.92,,,,,,,,53.09,,,,,,"2018/10/01 03:25:05",1074.26,1077.46,,23.72,,,,26.28,,,,,,,,,,,,,,,,,,,43.25,1120.71,77.6
D,TRADING,REGIONSUM,4,"2018/10/01 03:30:00",1,VIC1,7,3976.83,7455.42,0,-8.06,3784.42,0,-192.41,0,,,159.17,,,,,,,,114.44,,,,,,,,36.66,,,,,,,,62.83,,,,,,,,34.83,,,,,,,,40.79,,,,,,"2018/10/01 03:25:05",4015.58,4009.2,,0,,,,0,,,,,,,,,,,,,,,,,,,66.95,4076.15,123.42
D,TRADING,REGIONSUM,4,"2018/10/01 04:00:00",1,NSW1,8,5919.57,10352.66,581,-11.51,5637.15,581,-863.42,0,,,80.15,,,,,,,,77.41,,,,,,,,43.35,,,,,,,,327,,,,,,,,177.87,,,,,,,,150.11,,,,,,"2018/10/01 03:55:05",6525.16,6514.33,,13.87,,,,18.17,,,,,,,,,,,,,,,,,,,1.5,6515.83,341.66
D,TRADING,REGIONSUM,4,"2018/10/01 04:00:00",1,QLD1,8,4951.84,9675.44,245,4.1,5659.72,245,462.88,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,35,,,,,,,,180.56,,,,,,,,154.77,,,,,,"2018/10/01 03:55:05",5198.45,5201.73,,53.08,,,,141.23,,,,,,,,,,,,,,,,,,,125.86,5327.59,61.44
D,TRADING,REGIONSUM,4,"2018/10/01 04:00:00",1,SA1,8,955.73,2976.48,80,-3.4,1500.04,0,544.31,0,,,40,,,,,,,,18.85,,,,,,,,40,,,,,,,,41,,,,,,,,19,,,,,,,,63,,,,,,"2018/10/01 03:55:05",974.25,966.1,,13.33,,,,0,,,,,,,,,,,,,,,,,,,185.09,1151.19,1171.48
D,TRADING,REGIONSUM,4,"2018/10/01 04:00:00",1,TAS1,8,1095.83,2310.18,0,0.73,1200.78,0,104.95,0,,,12.22,,,,,,,,14,,,,,,,,9.67,,,,,,,,31.68,,,,,,,,43.73,,,,,,,,47.83,,,,,,"2018/10/01 03:55:05",1082.63,1096.61,,39.72,,,,13.9,,,,,,,,,,,,,,,,,,,36.16,1132.77,92.18
