C,SETP.WORLD,DVD_TRADINGREGIONSUM,AEMO,PUBLIC,2018/02/08,02:10:04,0000000291780610,,0000000291780424
I,TRADING,REGIONSUM,4,SETTLEMENTDATE,RUNNO,REGIONID,PERIODID,TOTALDEMAND,AVAILABLEGENERATION,AVAILABLELOAD,DEMANDFORECAST,DISPATCHABLEGENERATION,DISPATCHABLELOAD,NETINTERCHANGE,EXCESSGENERATION,LOWER5MINDISPATCH,LOWER5MINIMPORT,LOWER5MINLOCALDISPATCH,LOWER5MINLOCALPRICE,LOWER5MINLOCALREQ,LOWER5MINPRICE,LOWER5MINREQ,LOWER5MINSUPPLYPRICE,LOWER60SECDISPATCH,LOWER60SECIMPORT,LOWER60SECLOCALDISPATCH,LOWER60SECLOCALPRICE,LOWER60SECLOCALREQ,LOWER60SECPRICE,LOWER60SECREQ,LOWER60SECSUPPLYPRICE,LOWER6SECDISPATCH,LOWER6SECIMPORT,LOWER6SECLOCALDISPATCH,LOWER6SECLOCALPRICE,LOWER6SECLOCALREQ,LOWER6SECPRICE,LOWER6SECREQ,LOWER6SECSUPPLYPRICE,RAISE5MINDISPATCH,RAISE5MINIMPORT,RAISE5MINLOCALDISPATCH,RAISE5MINLOCALPRICE,RAISE5MINLOCALREQ,RAISE5MINPRICE,RAISE5MINREQ,RAISE5MINSUPPLYPRICE,RAISE60SECDISPATCH,RAISE60SECIMPORT,RAISE60SECLOCALDISPATCH,RAISE60SECLOCALPRICE,RAISE60SECLOCALREQ,RAISE60SECPRICE,RAISE60SECREQ,RAISE60SECSUPPLYPRICE,RAISE6SECDISPATCH,RAISE6SECIMPORT,RAISE6SECLOCALDISPATCH,RAISE6SECLOCALPRICE,RAISE6SECLOCALREQ,RAISE6SECPRICE,RAISE6SECREQ,RAISE6SECSUPPLYPRICE,LASTCHANGED,INITIALSUPPLY,CLEAREDSUPPLY,LOWERREGIMPORT,LOWERREGLOCALDISPATCH,LOWERREGLOCALREQ,LOWERREGREQ,RAISEREGIMPORT,RAISEREGLOCALDISPATCH,RAISEREGLOCALREQ,RAISEREGREQ,RAISE5MINLOCALVIOLATION,RAISEREGLOCALVIOLATION,RAISE60SECLOCALVIOLATION,RAISE6SECLOCALVIOLATION,LOWER5MINLOCALVIOLATION,LOWERREGLOCALVIOLATION,LOWER60SECLOCALVIOLATION,LOWER6SECLOCALVIOLATION,RAISE5MINVIOLATION,RAISEREGVIOLATION,RAISE60SECVIOLATION,RAISE6SECVIOLATION,LOWER5MINVIOLATION,LOWERREGVIOLATION,LOWER60SECVIOLATION,LOWER6SECVIOLATION,TOTALINTERMITTENTGENERATION,DEMAND_AND_NONSCHEDGEN,UIGF
D,TRADING,REGIONSUM,4,"2018/01/01 00:30:00",1,NSW1,1,6912.25,11476.64,0,-34.03,6029.33,0,-882.92,0,,,76,,,,,,,,18,,,,,,,,16,,,,,,,,206.7,,,,,,,,130.22,,,,,,,,108.44,,,,,,"2018/01/01 00:25:04",6968.92,6936.04,,54.14,,,,48.84,,,,,,,,,,,,,,,,,,,0.15,6936.19,82.14
D,TRADING,REGIONSUM,4,"2018/01/01 00:30:00",1,QLD1,1,6030.84,10646.11,240,-50.56,6896.33,0,865.49,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,74.98,,,,,,,,36.33,,,,,,,,14.17,,,,,,"2018/01/01 00:25:04",6093.34,6045.74,,19.88,,,,43.13,,,,,,,,,,,,,,,,,,,98.59,6144.33,0.11
D,TRADING,REGIONSUM,4,"2018/01/01 00:30:00",1,SA1,1,1289.1,2077.63,53.33,-9.61,896.29,0,-392.82,0,,,40,,,,,,,,39,,,,,,,,40,,,,,,,,43.07,,,,,,,,59,,,,,,,,88.78,,,,,,"2018/01/01 00:25:04",1320.97,1308.1,,41.17,,,,25,,,,,,,,,,,,,,,,,,,43.07,1351.17,212.63
D,TRADING,REGIONSUM,4,"2018/01/01 00:30:00",1,TAS1,1,982.07,2522.39,0,-1.98,821.76,0,-160.31,0,,,91.04,,,,,,,,0,,,,,,,,0,,,,,,,,82.47,,,,,,,,119.08,,,,,,,,95.26,,,,,,"2018/01/01 00:25:04",985.77,982.07,,4.82,,,,13.04,,,,,,,,,,,,,,,,,,,118.73,1100.80,154.39
D,TRADING,REGIONSUM,4,"2018/01/01 00:30:00",1,VIC1,1,4251.18,8716.09,0,-17.88,4897.09,0,645.92,0,,,93.33,,,,,,,,128.41,,,,,,,,22.54,,,,,,,,7.93,,,,,,,,17.5,,,,,,,,31.67,,,,,,"2018/01/01 00:25:04",4286.58,4268.84,,0,,,,0,,,,,,,,,,,,,,,,,,,131.68,4400.52,192.09
D,TRADING,REGIONSUM,4,"2018/01/01 01:00:00",1,NSW1,2,6745.63,11429.6,0,-38,5725.15,0,-1020.48,0,,,76,,,,,,,,18,,,,,,,,16,,,,,,,,206.84,,,,,,,,131.96,,,,,,,,118.88,,,,,,"2018/01/01 00:55:04",6820.46,6772.57,,48.42,,,,41.17,,,,,,,,,,,,,,,,,,,0.13,6772.70,77.6
D,TRADING,REGIONSUM,4,"2018/01/01 01:00:00",1,QLD1,2,5931.49,10641,240,-50.53,6828.26,0,896.77,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,83,,,,,,,,55,,,,,,,,19.67,,,,,,"2018/01/01 00:55:04",6006.13,5948.05,,24.17,,,,43.83,,,,,,,,,,,,,,,,,,,100.63,6048.68,0
D,TRADING,REGIONSUM,4,"2018/01/01 01:00:00",1,SA1,2,1242.28,2040.25,80,-9.15,795.05,0,-447.24,0,,,40,,,,,,,,39,,,,,,,,40,,,,,,,,55.16,,,,,,,,59,,,,,,,,93,,,,,,"2018/01/01 00:55:04",1277.04,1266.35,,35,,,,35,,,,,,,,,,,,,,,,,,,41.67,1308.02,173.25
D,TRADING,REGIONSUM,4,"2018/01/01 01:00:00",1,TAS1,2,979.69,2516.88,0,-0.12,810.4,0,-169.29,0,,,86.66,,,,,,,,0,,,,,,,,0,,,,,,,,78.95,,,,,,,,111.27,,,,,,,,89.02,,,,,,"2018/01/01 00:55:04",981.2,979.69,,12.42,,,,10,,,,,,,,,,,,,,,,,,,110.48,1090.17,148.88
D,TRADING,REGIONSUM,4,"2018/01/01 01:00:00",1,VIC1,2,4092.53,8741.75,0,-16.59,4922.75,0,830.22,0,,,96.67,,,,,,,,132.79,,,,,,,,30.13,,,,,,,,15.51,,,,,,,,18,,,,,,,,33,,,,,,"2018/01/01 00:55:04",4134.59,4114.94,,0,,,,0,,,,,,,,,,,,,,,,,,,119.98,4234.92,216.75
