C,SETP.WORLD,DVD_TRADINGREGIONSUM,AEMO,PUBLIC,2017/04/12,02:30:00,0000000282622945,,0000000282622732
I,TRADING,REGIONSUM,4,SETTLEMENTDATE,RUNNO,REGIONID,PERIODID,TOTALDEMAND,AVAILABLEGENERATION,AVAILABLELOAD,DEMANDFORECAST,DISPATCHABLEGENERATION,DISPATCHABLELOAD,NETINTERCHANGE,EXCESSGENERATION,LOWER5MINDISPATCH,LOWER5MINIMPORT,LOWER5MINLOCALDISPATCH,LOWER5MINLOCALPRICE,LOWER5MINLOCALREQ,LOWER5MINPRICE,LOWER5MINREQ,LOWER5MINSUPPLYPRICE,LOWER60SECDISPATCH,LOWER60SECIMPORT,LOWER60SECLOCALDISPATCH,LOWER60SECLOCALPRICE,LOWER60SECLOCALREQ,LOWER60SECPRICE,LOWER60SECREQ,LOWER60SECSUPPLYPRICE,LOWER6SECDISPATCH,LOWER6SECIMPORT,LOWER6SECLOCALDISPATCH,LOWER6SECLOCALPRICE,LOWER6SECLOCALREQ,LOWER6SECPRICE,LOWER6SECREQ,LOWER6SECSUPPLYPRICE,RAISE5MINDISPATCH,RAISE5MINIMPORT,RAISE5MINLOCALDISPATCH,RAISE5MINLOCALPRICE,RAISE5MINLOCALREQ,RAISE5MINPRICE,RAISE5MINREQ,RAISE5MINSUPPLYPRICE,RAISE60SECDISPATCH,RAISE60SECIMPORT,RAISE60SECLOCALDISPATCH,RAISE60SECLOCALPRICE,RAISE60SECLOCALREQ,RAISE60SECPRICE,RAISE60SECREQ,RAISE60SECSUPPLYPRICE,RAISE6SECDISPATCH,RAISE6SECIMPORT,RAISE6SECLOCALDISPATCH,RAISE6SECLOCALPRICE,RAISE6SECLOCALREQ,RAISE6SECPRICE,RAISE6SECREQ,RAISE6SECSUPPLYPRICE,LASTCHANGED,INITIALSUPPLY,CLEAREDSUPPLY,LOWERREGIMPORT,LOWERREGLOCALDISPATCH,LOWERREGLOCALREQ,LOWERREGREQ,RAISEREGIMPORT,RAISEREGLOCALDISPATCH,RAISEREGLOCALREQ,RAISEREGREQ,RAISE5MINLOCALVIOLATION,RAISEREGLOCALVIOLATION,RAISE60SECLOCALVIOLATION,RAISE6SECLOCALVIOLATION,LOWER5MINLOCALVIOLATION,LOWERREGLOCALVIOLATION,LOWER60SECLOCALVIOLATION,LOWER6SECLOCALVIOLATION,RAISE5MINVIOLATION,RAISEREGVIOLATION,RAISE60SECVIOLATION,RAISE6SECVIOLATION,LOWER5MINVIOLATION,LOWERREGVIOLATION,LOWER60SECVIOLATION,LOWER6SECVIOLATION,TOTALINTERMITTENTGENERATION,DEMAND_AND_NONSCHEDGEN,UIGF
D,TRADING,REGIONSUM,4,"2017/03/01 00:30:00",1,NSW1,1,7257.55,12886.37,80,-28.69,6479.6,80,-857.96,0,,,42.15,,,,,,,,20,,,,,,,,16,,,,,,,,251,,,,,,,,111,,,,,,,,139.54,,,,,,"2017/03/01 00:25:03",7393.39,7341.61,,44.36,,,,47.33,,,,,,,,,,,,,,,,,,,37.24,7378.85,158.37
D,TRADING,REGIONSUM,4,"2017/03/01 00:30:00",1,QLD1,1,5961.55,11026,481,-55.67,6445.26,0,483.7,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,153,,,,,,,,33,,,,,,,,33,,,,,,"2017/03/01 00:25:03",6011.41,5960.88,,6.67,,,,14,,,,,,,,,,,,,,,,,,,129.79,6090.67,0
D,TRADING,REGIONSUM,4,"2017/03/01 00:30:00",1,SA1,1,1698.09,2597.33,0,-18.64,1041.01,0,-657.08,0,,,0,,,,,,,,40,,,,,,,,0,,,,,,,,11.92,,,,,,,,40,,,,,,,,20,,,,,,"2017/03/01 00:25:03",1741.76,1718.38,,17.29,,,,1.17,,,,,,,,,,,,,,,,,,,95.13,1813.51,353.33
D,TRADING,REGIONSUM,4,"2017/03/01 00:30:00",1,TAS1,1,937.16,2194.08,0,-1.79,459.16,0,-478,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,67.15,,,,,,,,53.72,,,,,,"2017/03/01 00:25:03",942.03,937.16,,0,,,,50,,,,,,,,,,,,,,,,,,,89.64,1026.80,13.08
D,TRADING,REGIONSUM,4,"2017/03/01 00:30:00",1,VIC1,1,4621.35,10311.36,0,-13.35,6229.45,0,1608.1,0,,,146.89,,,,,,,,123.73,,,,,,,,89.73,,,,,,,,84,,,,,,,,134.33,,,,,,,,139.22,,,,,,"2017/03/01 00:25:03",4714.97,4696.44,,54.36,,,,17.5,,,,,,,,,,,,,,,,,,,185.55,4881.99,398.36
D,TRADING,REGIONSUM,4,"2017/03/01 01:00:00",1,NSW1,2,7002.08,12796.78,86.67,-41.23,6108.5,86.67,-980.24,0,,,24.93,,,,,,,,20,,,,,,,,16,,,,,,,,248,,,,,,,,111,,,,,,,,143,,,,,,"2017/03/01 00:55:04",7134.12,7096.5,,51.95,,,,47.11,,,,,,,,,,,,,,,,,,,29.73,7126.23,138.78
D,TRADING,REGIONSUM,4,"2017/03/01 01:00:00",1,QLD1,2,5913.1,11027,481,-42.73,6575.82,0,662.72,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,153,,,,,,,,32.83,,,,,,,,33,,,,,,"2017/03/01 00:55:04",5940.85,5917.27,,6.39,,,,13,,,,,,,,,,,,,,,,,,,130.3,6047.57,0
D,TRADING,REGIONSUM,4,"2017/03/01 01:00:00",1,SA1,2,1629.32,2366.47,0,-11.5,890.82,0,-738.51,0,,,0,,,,,,,,40,,,,,,,,0,,,,,,,,16.56,,,,,,,,43.33,,,,,,,,23.33,,,,,,"2017/03/01 00:55:04",1679.14,1658.66,,14.16,,,,0,,,,,,,,,,,,,,,,,,,87.63,1746.29,342.47
D,TRADING,REGIONSUM,4,"2017/03/01 01:00:00",1,TAS1,2,938.53,2197.6,0,-0.68,460.63,0,-477.89,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,0.14,,,,,,,,68.49,,,,,,,,54.8,,,,,,"2017/03/01 00:55:04",938.56,938.53,,0,,,,49.89,,,,,,,,,,,,,,,,,,,94.27,1032.80,16.6
D,TRADING,REGIONSUM,4,"2017/03/01 01:00:00",1,VIC1,2,4415.02,10307.95,0,-16.3,6099,0,1683.98,0,,,169.29,,,,,,,,132.31,,,,,,,,98.31,,,,,,,,84,,,,,,,,137.64,,,,,,,,139.17,,,,,,"2017/03/01 00:55:04",4544.28,4523.81,,47.49,,,,20,,,,,,,,,,,,,,,,,,,172.86,4696.67,394.95
