C,SETP.WORLD,DVD_TRADINGREGIONSUM,AEMO,PUBLIC,2018/04/12,02:30:04,0000000293761008,,0000000293760821
I,TRADING,REGIONSUM,4,SETTLEMENTDATE,RUNNO,REGIONID,PERIODID,TOTALDEMAND,AVAILABLEGENERATION,AVAILABLELOAD,DEMANDFORECAST,DISPATCHABLEGENERATION,DISPATCHABLELOAD,NETINTERCHANGE,EXCESSGENERATION,LOWER5MINDISPATCH,LOWER5MINIMPORT,LOWER5MINLOCALDISPATCH,LOWER5MINLOCALPRICE,LOWER5MINLOCALREQ,LOWER5MINPRICE,LOWER5MINREQ,LOWER5MINSUPPLYPRICE,LOWER60SECDISPATCH,LOWER60SECIMPORT,LOWER60SECLOCALDISPATCH,LOWER60SECLOCALPRICE,LOWER60SECLOCALREQ,LOWER60SECPRICE,LOWER60SECREQ,LOWER60SECSUPPLYPRICE,LOWER6SECDISPATCH,LOWER6SECIMPORT,LOWER6SECLOCALDISPATCH,LOWER6SECLOCALPRICE,LOWER6SECLOCALREQ,LOWER6SECPRICE,LOWER6SECREQ,LOWER6SECSUPPLYPRICE,RAISE5MINDISPATCH,RAISE5MINIMPORT,RAISE5MINLOCALDISPATCH,RAISE5MINLOCALPRICE,RAISE5MINLOCALREQ,RAISE5MINPRICE,RAISE5MINREQ,RAISE5MINSUPPLYPRICE,RAISE60SECDISPATCH,RAISE60SECIMPORT,RAISE60SECLOCALDISPATCH,RAISE60SECLOCALPRICE,RAISE60SECLOCALREQ,RAISE60SECPRICE,RAISE60SECREQ,RAISE60SECSUPPLYPRICE,RAISE6SECDISPATCH,RAISE6SECIMPORT,RAISE6SECLOCALDISPATCH,RAISE6SECLOCALPRICE,RAISE6SECLOCALREQ,RAISE6SECPRICE,RAISE6SECREQ,RAISE6SECSUPPLYPRICE,LASTCHANGED,INITIALSUPPLY,CLEAREDSUPPLY,LOWERREGIMPORT,LOWERREGLOCALDISPATCH,LOWERREGLOCALREQ,LOWERREGREQ,RAISEREGIMPORT,RAISEREGLOCALDISPATCH,RAISEREGLOCALREQ,RAISEREGREQ,RAISE5MINLOCALVIOLATION,RAISEREGLOCALVIOLATION,RAISE60SECLOCALVIOLATION,RAISE6SECLOCALVIOLATION,LOWER5MINLOCALVIOLATION,LOWERREGLOCALVIOLATION,LOWER60SECLOCALVIOLATION,LOWER6SECLOCALVIOLATION,RAISE5MINVIOLATION,RAISEREGVIOLATION,RAISE60SECVIOLATION,RAISE6SECVIOLATION,LOWER5MINVIOLATION,LOWERREGVIOLATION,LOWER60SECVIOLATION,LOWER6SECVIOLATION,TOTALINTERMITTENTGENERATION,DEMAND_AND_NONSCHEDGEN,UIGF
D,TRADING,REGIONSUM,4,"2018/03/01 00:30:00",1,NSW1,1,7292.21,12076.8,0,-30.97,6660.99,0,-631.22,0,,,66,,,,,,,,19,,,,,,,,16,,,,,,,,323,,,,,,,,155.63,,,,,,,,182,,,,,,"2018/03/01 00:25:04",7342.89,7320.7,,73.5,,,,92.33,,,,,,,,,,,,,,,,,,,38.31,7359.01,142.8
D,TRADING,REGIONSUM,4,"2018/03/01 00:30:00",1,QLD1,1,5741,10880.52,240,-47.89,6588.53,0,847.53,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,94,,,,,,,,79.67,,,,,,,,35.67,,,,,,"2018/03/01 00:25:04",5809.86,5756.21,,4.5,,,,17.67,,,,,,,,,,,,,,,,,,,99.84,5856.05,0.19
D,TRADING,REGIONSUM,4,"2018/03/01 00:30:00",1,SA1,1,1402.33,2792.85,80,-12.26,1290.85,0,-111.48,0,,,40,,,,,,,,48.54,,,,,,,,40,,,,,,,,41,,,,,,,,79,,,,,,,,108,,,,,,"2018/03/01 00:25:04",1418.21,1405.01,,42,,,,0,,,,,,,,,,,,,,,,,,,65.23,1470.24,477.85
D,TRADING,REGIONSUM,4,"2018/03/01 00:30:00",1,TAS1,1,865.17,2259.23,0,-1.43,476.17,0,-389.01,0,,,85.98,,,,,,,,0,,,,,,,,0,,,,,,,,49.01,,,,,,,,91.86,,,,,,,,73.49,,,,,,"2018/03/01 00:25:04",867.62,865.17,,0,,,,20,,,,,,,,,,,,,,,,,,,137.41,1002.58,125.23
D,TRADING,REGIONSUM,4,"2018/03/01 00:30:00",1,VIC1,1,4286.64,8432.26,0,-21.68,4632.56,0,345.92,0,,,102.32,,,,,,,,112.97,,,,,,,,22.94,,,,,,,,27.35,,,,,,,,24,,,,,,,,31,,,,,,"2018/03/01 00:25:04",4319.52,4302,,0,,,,0,,,,,,,,,,,,,,,,,,,220.44,4522.44,349.93
D,TRADING,REGIONSUM,4,"2018/03/01 01:00:00",1,NSW1,2,7044.51,11947.13,0,-39.94,6207.82,0,-836.7,0,,,50.64,,,,,,,,19,,,,,,,,16,,,,,,,,318.3,,,,,,,,163.67,,,,,,,,185.83,,,,,,"2018/03/01 00:55:04",7133.91,7081.38,,67,,,,81.99,,,,,,,,,,,,,,,,,,,49.9,7131.28,133.13
D,TRADING,REGIONSUM,4,"2018/03/01 01:00:00",1,QLD1,2,5602.56,11046.19,240,-29.76,6576.49,0,973.93,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,94,,,,,,,,84.33,,,,,,,,45.81,,,,,,"2018/03/01 00:55:04",5651.2,5624.49,,7.5,,,,28.01,,,,,,,,,,,,,,,,,,,104.19,5728.68,0.19
D,TRADING,REGIONSUM,4,"2018/03/01 01:00:00",1,SA1,2,1349.77,2790.67,80,-10.53,1272.39,0,-77.38,0,,,40,,,,,,,,48.54,,,,,,,,40,,,,,,,,41,,,,,,,,79,,,,,,,,107.86,,,,,,"2018/03/01 00:55:04",1368.1,1351.43,,42.17,,,,0,,,,,,,,,,,,,,,,,,,52.99,1404.42,473.67
D,TRADING,REGIONSUM,4,"2018/03/01 01:00:00",1,TAS1,2,889.47,2248.16,0,-0.53,474.37,0,-415.11,0,,,56.47,,,,,,,,0,,,,,,,,0,,,,,,,,54.24,,,,,,,,86.38,,,,,,,,66.89,,,,,,"2018/03/01 00:55:04",891.47,889.47,,3.33,,,,20,,,,,,,,,,,,,,,,,,,116.77,1006.24,114.16
D,TRADING,REGIONSUM,4,"2018/03/01 01:00:00",1,VIC1,2,4159.17,8379.69,0,-20.23,4590.69,0,431.52,0,,,149.61,,,,,,,,123.07,,,,,,,,33.07,,,,,,,,29,,,,,,,,24,,,,,,,,31,,,,,,"2018/03/01 00:55:04",4194.96,4174.98,,0,,,,0,,,,,,,,,,,,,,,,,,,206.76,4381.74,310.69
D,TRADING,REGIONSUM,4,"2018/03/01 01:30:00",1,NSW1,3,6683.37,12051.06,0,-52.57,5747.63,0,-935.74,0,,,55.14,,,,,,,,19,,,,,,,,16,,,,,,,,323.9,,,,,,,,172.14,,,,,,,,196.03,,,,,,"2018/03/01 01:25:04",6811.61,6719.14,,65.33,,,,80.97,,,,,,,,,,,,,,,,,,,44.8,6763.94,142.06
D,TRADING,REGIONSUM,4,"2018/03/01 01:30:00",1,QLD1,3,5514.64,10881.19,240,-40.44,6483.79,0,969.16,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,94.31,,,,,,,,79,,,,,,,,44.83,,,,,,"2018/03/01 01:25:04",5589.29,5536.55,,2,,,,30.42,,,,,,,,,,,,,,,,,,,103.44,5639.99,0.19
D,TRADING,REGIONSUM,4,"2018/03/01 01:30:00",1,SA1,3,1264.25,2730.23,80,-9.35,1157.78,0,-106.47,0,,,40,,,,,,,,48.54,,,,,,,,40,,,,,,,,41,,,,,,,,79,,,,,,,,107.86,,,,,,"2018/03/01 01:25:04",1290.62,1266.71,,42.67,,,,0,,,,,,,,,,,,,,,,,,,55.44,1322.15,414.23
