C,SETP.WORLD,DVD_TRADINGREGIONSUM,AEMO,PUBLIC,2019/12/07,03:05:01,0000000316150149,,0000000316149940
I,TRADING,REGIONSUM,4,SETTLEMENTDATE,RUNNO,REGIONID,PERIODID,TOTALDEMAND,AVAILABLEGENERATION,AVAILABLELOAD,DEMANDFORECAST,DISPATCHABLEGENERATION,DISPATCHABLELOAD,NETINTERCHANGE,EXCESSGENERATION,LOWER5MINDISPATCH,LOWER5MINIMPORT,LOWER5MINLOCALDISPATCH,LOWER5MINLOCALPRICE,LOWER5MINLOCALREQ,LOWER5MINPRICE,LOWER5MINREQ,LOWER5MINSUPPLYPRICE,LOWER60SECDISPATCH,LOWER60SECIMPORT,LOWER60SECLOCALDISPATCH,LOWER60SECLOCALPRICE,LOWER60SECLOCALREQ,LOWER60SECPRICE,LOWER60SECREQ,LOWER60SECSUPPLYPRICE,LOWER6SECDISPATCH,LOWER6SECIMPORT,LOWER6SECLOCALDISPATCH,LOWER6SECLOCALPRICE,LOWER6SECLOCALREQ,LOWER6SECPRICE,LOWER6SECREQ,LOWER6SECSUPPLYPRICE,RAISE5MINDISPATCH,RAISE5MINIMPORT,RAISE5MINLOCALDISPATCH,RAISE5MINLOCALPRICE,RAISE5MINLOCALREQ,RAISE5MINPRICE,RAISE5MINREQ,RAISE5MINSUPPLYPRICE,RAISE60SECDISPATCH,RAISE60SECIMPORT,RAISE60SECLOCALDISPATCH,RAISE60SECLOCALPRICE,RAISE60SECLOCALREQ,RAISE60SECPRICE,RAISE60SECREQ,RAISE60SECSUPPLYPRICE,RAISE6SECDISPATCH,RAISE6SECIMPORT,RAISE6SECLOCALDISPATCH,RAISE6SECLOCALPRICE,RAISE6SECLOCALREQ,RAISE6SECPRICE,RAISE6SECREQ,RAISE6SECSUPPLYPRICE,LASTCHANGED,INITIALSUPPLY,CLEAREDSUPPLY,LOWERREGIMPORT,LOWERREGLOCALDISPATCH,LOWERREGLOCALREQ,LOWERREGREQ,RAISEREGIMPORT,RAISEREGLOCALDISPATCH,RAISEREGLOCALREQ,RAISEREGREQ,RAISE5MINLOCALVIOLATION,RAISEREGLOCALVIOLATION,RAISE60SECLOCALVIOLATION,RAISE6SECLOCALVIOLATION,LOWER5MINLOCALVIOLATION,LOWERREGLOCALVIOLATION,LOWER60SECLOCALVIOLATION,LOWER6SECLOCALVIOLATION,RAISE5MINVIOLATION,RAISEREGVIOLATION,RAISE60SECVIOLATION,RAISE6SECVIOLATION,LOWER5MINVIOLATION,LOWERREGVIOLATION,LOWER60SECVIOLATION,LOWER6SECVIOLATION,TOTALINTERMITTENTGENERATION,DEMAND_AND_NONSCHEDGEN,UIGF
D,TRADING,REGIONSUM,4,"2019/11/01 19:30:00",1,VIC1,39,6343.87,7987.34,0,7.56,6028.12,0,-315.75,0,,,26.9,,,,,,,,44,,,,,,,,19.48,,,,,,,,107.5,,,,,,,,111.27,,,,,,,,80.47,,,,,,"2019/11/01 19:25:03",6374.9,6373.04,,40.02,,,,57,,,,,,,,,,,,,,,,,,,236.66,6609.70,563.01
D,TRADING,REGIONSUM,4,"2019/11/01 19:30:00",1,SA1,39,1503.93,3746.4,87,0.96,2040.14,20.17,516.05,0,,,41.67,,,,,,,,55.44,,,,,,,,41.67,,,,,,,,54,,,,,,,,149.68,,,,,,,,151.4,,,,,,"2019/11/01 19:25:03",1549.22,1533.98,,37.72,,,,37.5,,,,,,,,,,,,,,,,,,,117.14,1651.12,1258.4
D,TRADING,REGIONSUM,4,"2019/11/01 19:30:00",1,QLD1,39,6871.4,9423.46,0,-22.41,7349.57,0,478.16,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,98.79,,,,,,,,8.57,,,,,,,,18.59,,,,,,"2019/11/01 19:25:03",6900.91,6876.29,,74.67,,,,8.38,,,,,,,,,,,,,,,,,,,122.54,6998.83,206.62
D,TRADING,REGIONSUM,4,"2019/11/01 19:30:00",1,TAS1,39,1083.7,1952.03,0,1.34,1317.46,0,233.76,0,,,55.64,,,,,,,,59.45,,,,,,,,28.22,,,,,,,,110,,,,,,,,89.61,,,,,,,,81.68,,,,,,"2019/11/01 19:25:03",1091.01,1088.42,,0,,,,49,,,,,,,,,,,,,,,,,,,82.17,1170.59,76.03
D,TRADING,REGIONSUM,4,"2019/11/01 21:00:00",1,NSW1,42,7910.32,10502.3,0,-46.9,7701.68,0,-208.64,0,,,45.99,,,,,,,,38.63,,,,,,,,24.29,,,,,,,,115.1,,,,,,,,99.75,,,,,,,,118.25,,,,,,"2019/11/01 20:55:03",7943.63,7910.05,,75.18,,,,66.98,,,,,,,,,,,,,,,,,,,43.19,7953.24,722.3
D,TRADING,REGIONSUM,4,"2019/11/01 21:00:00",1,VIC1,42,5773.57,7833.15,0,-21.95,5272.87,0,-500.7,0,,,114.74,,,,,,,,107.23,,,,,,,,35.98,,,,,,,,106,,,,,,,,118.15,,,,,,,,78.43,,,,,,"2019/11/01 20:55:03",5832.08,5795.98,,25.06,,,,27.52,,,,,,,,,,,,,,,,,,,132.75,5928.73,437.82
D,TRADING,REGIONSUM,4,"2019/11/01 21:00:00",1,SA1,42,1393.83,3441.24,87,-11.68,1841.35,0,447.52,0,,,42.33,,,,,,,,60.69,,,,,,,,49.67,,,,,,,,58,,,,,,,,129.51,,,,,,,,155.29,,,,,,"2019/11/01 20:55:03",1409.4,1401.15,,36.18,,,,62.5,,,,,,,,,,,,,,,,,,,102.07,1503.22,947.24
D,TRADING,REGIONSUM,4,"2019/11/01 21:00:00",1,QLD1,42,6591.58,9446.76,0,-29.57,6778,0,186.42,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,123.17,,,,,,,,6,,,,,,,,16,,,,,,"2019/11/01 20:55:03",6633.41,6591.53,,33.94,,,,20,,,,,,,,,,,,,,,,,,,119.69,6711.22,211.76
D,TRADING,REGIONSUM,4,"2019/11/01 21:00:00",1,TAS1,42,1014.81,1911.65,0,-2.93,1120.4,0,105.59,0,,,13.51,,,,,,,,14.45,,,,,,,,11.32,,,,,,,,40,,,,,,,,100.65,,,,,,,,86.09,,,,,,"2019/11/01 20:55:03",1013.91,1015.59,,39.64,,,,43,,,,,,,,,,,,,,,,,,,103.25,1118.84,32.65
D,TRADING,REGIONSUM,4,"2019/11/01 22:00:00",1,NSW1,44,7713.75,10386.05,80,-40.96,7542.79,60,-230.96,0,,,27.5,,,,,,,,15.7,,,,,,,,7.5,,,,,,,,142.05,,,,,,,,158.47,,,,,,,,165.14,,,,,,"2019/11/01 21:55:04",7807.95,7778.62,,73.86,,,,71.33,,,,,,,,,,,,,,,,,,,35.53,7814.15,726.05
D,TRADING,REGIONSUM,4,"2019/11/01 22:00:00",1,VIC1,44,5320.94,7309.09,0,-15.8,5055.38,0,-265.55,0,,,105.87,,,,,,,,68.26,,,,,,,,53.32,,,,,,,,118.89,,,,,,,,122.33,,,,,,,,86.48,,,,,,"2019/11/01 21:55:04",5345.5,5329.81,,9.17,,,,22.33,,,,,,,,,,,,,,,,,,,68.75,5398.56,452.09
D,TRADING,REGIONSUM,4,"2019/11/01 22:00:00",1,SA1,44,1301.46,3088.81,87,-6.99,1586.19,0,284.73,0,,,42.33,,,,,,,,60.16,,,,,,,,56.33,,,,,,,,57,,,,,,,,159.63,,,,,,,,159.14,,,,,,"2019/11/01 21:55:04",1318.84,1304.35,,31.83,,,,62.17,,,,,,,,,,,,,,,,,,,82.43,1386.78,724.81
D,TRADING,REGIONSUM,4,"2019/11/01 22:00:00",1,QLD1,44,6288.08,9435.7,0,-32.06,6633.37,0,345.29,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,124,,,,,,,,20.69,,,,,,,,50.36,,,,,,"2019/11/01 21:55:04",6321.22,6290.6,,54.31,,,,22.5,,,,,,,,,,,,,,,,,,,118.26,6408.86,186.7
D,TRADING,REGIONSUM,4,"2019/11/01 22:00:00",1,TAS1,44,978.34,1915.58,0,-3.32,864.28,0,-114.07,0,,,43.49,,,,,,,,104.96,,,,,,,,31.69,,,,,,,,0.54,,,,,,,,103.92,,,,,,,,83.14,,,,,,"2019/11/01 21:55:04",985.19,978.62,,49.17,,,,76.95,,,,,,,,,,,,,,,,,,,76.33,1054.95,36.58
D,TRADING,REGIONSUM,4,"2019/11/03 01:30:00",1,NSW1,3,6327.79,10083.77,120,-31.59,5776.42,120,-671.37,0,,,7.5,,,,,,,,21.67,,,,,,,,21.67,,,,,,,,119.19,,,,,,,,169.56,,,,,,,,156,,,,,,"2019/11/03 01:25:03",6506.14,6470.24,,41.42,,,,41.67,,,,,,,,,,,,,,,,,,,3.1,6473.34,549.77
D,TRADING,REGIONSUM,4,"2019/11/03 01:30:00",1,VIC1,3,3989.67,6908.97,10,-3.48,4189.37,10,189.7,0,,,77.87,,,,,,,,96.46,,,,,,,,16.18,,,,,,,,103.29,,,,,,,,113.77,,,,,,,,70.15,,,,,,"2019/11/03 01:25:03",4008.55,3997.46,,2.33,,,,2,,,,,,,,,,,,,,,,,,,51.01,4048.47,147.97
D,TRADING,REGIONSUM,4,"2019/11/03 01:30:00",1,SA1,3,1222.77,2576.12,87,-11.59,1193.58,0,-29.19,0,,,42,,,,,,,,50.54,,,,,,,,70.37,,,,,,,,50.5,,,,,,,,99.45,,,,,,,,132.79,,,,,,"2019/11/03 01:25:03",1230.94,1221.94,,51.23,,,,87.5,,,,,,,,,,,,,,,,,,,14.26,1236.20,418.28
D,TRADING,REGIONSUM,4,"2019/11/03 01:30:00",1,QLD1,3,5215.42,9484.02,0,-19,5922.75,0,707.32,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,123.17,,,,,,,,64.47,,,,,,,,88.32,,,,,,"2019/11/03 01:25:03",5256.31,5233.03,,65.02,,,,50,,,,,,,,,,,,,,,,,,,106.75,5339.78,183.02
D,TRADING,REGIONSUM,4,"2019/11/03 01:30:00",1,TAS1,3,928.02,1902.07,0,-1,768.57,0,-159.45,0,,,100.36,,,,,,,,102.7,,,,,,,,66.73,,,,,,,,67.68,,,,,,,,100.03,,,,,,,,80.02,,,,,,"2019/11/03 01:25:03",932.72,928.02,,50,,,,38.83,,,,,,,,,,,,,,,,,,,48.67,976.69,23.07
D,TRADING,REGIONSUM,4,"2019/11/03 02:00:00",1,NSW1,4,6160.27,10023.77,120,-27.24,5528.97,120,-751.31,0,,,10,,,,,,,,27.5,,,,,,,,25,,,,,,,,116.84,,,,,,,,194.74,,,,,,,,175.79,,,,,,"2019/11/03 01:55:04",6319.37,6300.59,,42.06,,,,53.28,,,,,,,,,,,,,,,,,,,1.29,6301.88,489.77
D,TRADING,REGIONSUM,4,"2019/11/03 02:00:00",1,VIC1,4,3871.02,6967.51,10,-18.43,4221.41,10,340.4,0,,,75.93,,,,,,,,144.29,,,,,,,,31.88,,,,,,,,95.44,,,,,,,,113.77,,,,,,,,70.44,,,,,,"2019/11/03 01:55:04",3900.41,3880.32,,2,,,,2.5,,,,,,,,,,,,,,,,,,,56.75,3937.07,206.51
D,TRADING,REGIONSUM,4,"2019/11/03 02:00:00",1,SA1,4,1146.79,2463.4,87,-13.54,1117.73,0,-29.06,0,,,42,,,,,,,,20.54,,,,,,,,42,,,,,,,,50,,,,,,,,52.29,,,,,,,,99,,,,,,"2019/11/03 01:55:04",1173.41,1145.96,,40,,,,53.33,,,,,,,,,,,,,,,,,,,18.93,1164.89,464.4
D,TRADING,REGIONSUM,4,"2019/11/03 02:00:00",1,QLD1,4,5145.37,9480.53,0,-9.1,5799.73,0,654.37,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,123,,,,,,,,70.14,,,,,,,,85.71,,,,,,"2019/11/03 01:55:04",5167.36,5160.51,,75.94,,,,63.33,,,,,,,,,,,,,,,,,,,106.05,5266.56,178.53
D,TRADING,REGIONSUM,4,"2019/11/03 02:00:00",1,TAS1,4,928.78,1896.79,0,-0.59,748.33,0,-180.45,0,,,101.71,,,,,,,,84.25,,,,,,,,80.78,,,,,,,,79.96,,,,,,,,100.61,,,,,,,,91.24,,,,,,"2019/11/03 01:55:04",930.36,928.78,,50,,,,47.55,,,,,,,,,,,,,,,,,,,49.97,978.75,17.79
D,TRADING,REGIONSUM,4,"2019/11/04 20:00:00",1,NSW1,40,8200.59,10741.93,0,-28.59,8020.68,0,-179.9,0,,,47.74,,,,,,,,47.95,,,,,,,,31.8,,,,,,,,197.48,,,,,,,,128.28,,,,,,,,122.66,,,,,,"2019/11/04 19:55:04",8234.83,8199.77,,87.17,,,,57.28,,,,,,,,,,,,,,,,,,,127.31,8327.08,697.93
D,TRADING,REGIONSUM,4,"2019/11/04 20:00:00",1,VIC1,40,5045.79,6979.92,0,-9.52,4541.13,0,-504.65,0,,,71.67,,,,,,,,73.47,,,,,,,,11.67,,,,,,,,62.06,,,,,,,,93,,,,,,,,64.67,,,,,,"2019/11/04 19:55:04",5083.87,5067.36,,2.33,,,,31.17,,,,,,,,,,,,,,,,,,,216.23,5283.59,413.25
D,TRADING,REGIONSUM,4,"2019/11/04 20:00:00",1,SA1,40,1367.94,3015.33,87,-3.81,1786.07,6.67,411.46,0,,,42,,,,,,,,40.54,,,,,,,,42,,,,,,,,53,,,,,,,,98.62,,,,,,,,125.74,,,,,,"2019/11/04 19:55:04",1390.2,1381.03,,40.06,,,,64.17,,,,,,,,,,,,,,,,,,,171.7,1552.73,1179.33
D,TRADING,REGIONSUM,4,"2019/11/04 20:00:00",1,QLD1,40,7473.09,9847.14,0,-1.22,7621.87,0,148.78,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,83,,,,,,,,6,,,,,,,,37.63,,,,,,"2019/11/04 19:55:04",7475.87,7472.38,,34.45,,,,44.29,,,,,,,,,,,,,,,,,,,104.06,7576.44,103.31
D,TRADING,REGIONSUM,4,"2019/11/04 20:00:00",1,TAS1,40,1138.06,2023.5,0,-0.53,1290.65,0,152.59,0,,,47.42,,,,,,,,39.82,,,,,,,,20.75,,,,,,,,40,,,,,,,,119.33,,,,,,,,94.52,,,,,,"2019/11/04 19:55:04",1145.55,1139.86,,46,,,,29.83,,,,,,,,,,,,,,,,,,,122.04,1261.90,145.5
D,TRADING,REGIONSUM,4,"2019/11/06 12:30:00",1,NSW1,25,6561.28,12215.24,398,5.22,5476.03,378,-1463.25,0,,,15,,,,,,,,32.5,,,,,,,,33.82,,,,,,,,56.29,,,,,,,,144.44,,,,,,,,179.81,,,,,,"2019/11/06 12:25:06",6975.64,7008.18,,85.71,,,,102.33,,,,,,,,,,,,,,,,,,,208.16,7216.34,1251.24
D,TRADING,REGIONSUM,4,"2019/11/06 12:30:00",1,VIC1,25,4010.86,7584.17,10,-0.83,4842.57,10,821.71,0,,,173.39,,,,,,,,224.44,,,,,,,,88.07,,,,,,,,74,,,,,,,,106.33,,,,,,,,58,,,,,,"2019/11/06 12:25:06",4120.59,4120.13,,49.52,,,,73.33,,,,,,,,,,,,,,,,,,,408.75,4528.88,1442.17
D,TRADING,REGIONSUM,4,"2019/11/06 12:30:00",1,SA1,25,540.26,2764.04,97.83,1.06,1130.66,12.83,577.57,0,,,41,,,,,,,,19.18,,,,,,,,55.67,,,,,,,,71,,,,,,,,50,,,,,,,,93,,,,,,"2019/11/06 12:25:06",567.1,564.6,,13.51,,,,20.03,,,,,,,,,,,,,,,,,,,247.71,812.31,1503.7
D,TRADING,REGIONSUM,4,"2019/11/06 12:30:00",1,QLD1,25,5273.01,10296.36,240,-12.96,6215.87,240,702.86,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,122.67,,,,,,,,44.5,,,,,,,,46.11,,,,,,"2019/11/06 12:25:06",5520.77,5529.84,,28.75,,,,6.5,,,,,,,,,,,,,,,,,,,138.47,5668.31,1197.36
D,TRADING,REGIONSUM,4,"2019/11/06 12:30:00",1,TAS1,25,952.08,1749.26,0,-2.06,509.7,0,-442.38,0,,,2.05,,,,,,,,1,,,,,,,,1,,,,,,,,130,,,,,,,,158.25,,,,,,,,126.61,,,,,,"2019/11/06 12:25:06",948.91,952.08,,32.5,,,,17.81,,,,,,,,,,,,,,,,,,,123.04,1075.12,165.26
