C,SETP.WORLD,DVD_TRADINGREGIONSUM,AEMO,PUBLIC,2019/07/08,11:55:01,0000000310069886,,0000000310069682
I,TRADING,REGIONSUM,4,SETTLEMENTDATE,RUNNO,REGIONID,PERIODID,TOTALDEMAND,AVAILABLEGENERATION,AVAILABLELOAD,DEMANDFORECAST,DISPATCHABLEGENERATION,DISPATCHABLELOAD,NETINTERCHANGE,EXCESSGENERATION,LOWER5MINDISPATCH,LOWER5MINIMPORT,LOWER5MINLOCALDISPATCH,LOWER5MINLOCALPRICE,LOWER5MINLOCALREQ,LOWER5MINPRICE,LOWER5MINREQ,LOWER5MINSUPPLYPRICE,LOWER60SECDISPATCH,LOWER60SECIMPORT,LOWER60SECLOCALDISPATCH,LOWER60SECLOCALPRICE,LOWER60SECLOCALREQ,LOWER60SECPRICE,LOWER60SECREQ,LOWER60SECSUPPLYPRICE,LOWER6SECDISPATCH,LOWER6SECIMPORT,LOWER6SECLOCALDISPATCH,LOWER6SECLOCALPRICE,LOWER6SECLOCALREQ,LOWER6SECPRICE,LOWER6SECREQ,LOWER6SECSUPPLYPRICE,RAISE5MINDISPATCH,RAISE5MINIMPORT,RAISE5MINLOCALDISPATCH,RAISE5MINLOCALPRICE,RAISE5MINLOCALREQ,RAISE5MINPRICE,RAISE5MINREQ,RAISE5MINSUPPLYPRICE,RAISE60SECDISPATCH,RAISE60SECIMPORT,RAISE60SECLOCALDISPATCH,RAISE60SECLOCALPRICE,RAISE60SECLOCALREQ,RAISE60SECPRICE,RAISE60SECREQ,RAISE60SECSUPPLYPRICE,RAISE6SECDISPATCH,RAISE6SECIMPORT,RAISE6SECLOCALDISPATCH,RAISE6SECLOCALPRICE,RAISE6SECLOCALREQ,RAISE6SECPRICE,RAISE6SECREQ,RAISE6SECSUPPLYPRICE,LASTCHANGED,INITIALSUPPLY,CLEAREDSUPPLY,LOWERREGIMPORT,LOWERREGLOCALDISPATCH,LOWERREGLOCALREQ,LOWERREGREQ,RAISEREGIMPORT,RAISEREGLOCALDISPATCH,RAISEREGLOCALREQ,RAISEREGREQ,RAISE5MINLOCALVIOLATION,RAISEREGLOCALVIOLATION,RAISE60SECLOCALVIOLATION,RAISE6SECLOCALVIOLATION,LOWER5MINLOCALVIOLATION,LOWERREGLOCALVIOLATION,LOWER60SECLOCALVIOLATION,LOWER6SECLOCALVIOLATION,RAISE5MINVIOLATION,RAISEREGVIOLATION,RAISE60SECVIOLATION,RAISE6SECVIOLATION,LOWER5MINVIOLATION,LOWERREGVIOLATION,LOWER60SECVIOLATION,LOWER6SECVIOLATION,TOTALINTERMITTENTGENERATION,DEMAND_AND_NONSCHEDGEN,UIGF
D,TRADING,REGIONSUM,4,"2019/06/01 00:30:00",1,NSW1,1,8533.47,11727.75,0,-31.79,8241.16,0,-292.31,0,,,25.83,,,,,,,,12.5,,,,,,,,2.5,,,,,,,,164,,,,,,,,44,,,,,,,,39,,,,,,"2019/06/01 00:25:04",8590.24,8537.85,,47,,,,56.71,,,,,,,,,,,,,,,,,,,4.15,8542,455.75
D,TRADING,REGIONSUM,4,"2019/06/01 00:30:00",1,QLD1,1,5883.07,9202.09,0,-8.89,6226.13,0,343.06,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,78.85,,,,,,,,66.35,,,,,,,,58,,,,,,"2019/06/01 00:25:04",5924.47,5884.54,,53.33,,,,44.57,,,,,,,,,,,,,,,,,,,88.3,5972.84,134.09
D,TRADING,REGIONSUM,4,"2019/06/01 00:30:00",1,SA1,1,1585.22,2846.72,87,-10.43,1440.84,0,-144.38,0,,,48.3,,,,,,,,59.85,,,,,,,,18.37,,,,,,,,90.33,,,,,,,,129.09,,,,,,,,127.35,,,,,,"2019/06/01 00:25:04",1593.29,1585.74,,61.83,,,,84.86,,,,,,,,,,,,,,,,,,,33.27,1619.01,253.72
D,TRADING,REGIONSUM,4,"2019/06/01 00:30:00",1,TAS1,1,1089.96,2023.02,0,-2.73,1200.09,0,110.13,0,,,10.83,,,,,,,,12.6,,,,,,,,2.56,,,,,,,,45.56,,,,,,,,48.87,,,,,,,,66.53,,,,,,"2019/06/01 00:25:04",1092.7,1090.8,,46.01,,,,31.87,,,,,,,,,,,,,,,,,,,135.72,1226.52,0.02
D,TRADING,REGIONSUM,4,"2019/06/01 00:30:00",1,VIC1,1,5044.32,7955.2,0,-18.83,5039.13,0,-5.19,0,,,106.13,,,,,,,,50.92,,,,,,,,14.17,,,,,,,,67,,,,,,,,110.57,,,,,,,,108,,,,,,"2019/06/01 00:25:04",5073.55,5048.43,,1.83,,,,2,,,,,,,,,,,,,,,,,,,192.5,5240.93,395.2
D,TRADING,REGIONSUM,4,"2019/06/01 01:00:00",1,NSW1,2,8277.33,11742.98,0,-37.66,7812.04,0,-465.3,0,,,33.77,,,,,,,,10.83,,,,,,,,1.88,,,,,,,,164,,,,,,,,42.26,,,,,,,,39,,,,,,"2019/06/01 00:55:04",8336.34,8282.36,,50.11,,,,68.52,,,,,,,,,,,,,,,,,,,2.06,8284.42,480.98
D,TRADING,REGIONSUM,4,"2019/06/01 01:00:00",1,QLD1,2,5710.17,9166.98,0,-27.14,6129.25,0,419.08,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,90.72,,,,,,,,67,,,,,,,,57.23,,,,,,"2019/06/01 00:55:04",5739.28,5713.06,,61.63,,,,40.52,,,,,,,,,,,,,,,,,,,92.49,5805.55,98.98
D,TRADING,REGIONSUM,4,"2019/06/01 01:00:00",1,SA1,2,1503.61,2838.32,87,-17.1,1294.75,0,-208.85,0,,,54.61,,,,,,,,59.85,,,,,,,,47.74,,,,,,,,79.44,,,,,,,,124.53,,,,,,,,129.35,,,,,,"2019/06/01 00:55:04",1521.65,1504.81,,63.04,,,,77.09,,,,,,,,,,,,,,,,,,,24.54,1529.35,243.32
D,TRADING,REGIONSUM,4,"2019/06/01 01:00:00",1,TAS1,2,1080.08,2023.02,0,-2.17,1168.62,0,88.54,0,,,3.02,,,,,,,,3.28,,,,,,,,0.32,,,,,,,,48.57,,,,,,,,67.88,,,,,,,,77.92,,,,,,"2019/06/01 00:55:04",1081.65,1080.57,,33.22,,,,31.87,,,,,,,,,,,,,,,,,,,133.22,1213.79,0.02
D,TRADING,REGIONSUM,4,"2019/06/01 01:00:00",1,VIC1,2,4860.17,7966.87,0,-25.82,5041.17,0,181,0,,,103.32,,,,,,,,84.1,,,,,,,,10,,,,,,,,67,,,,,,,,109,,,,,,,,107.17,,,,,,"2019/06/01 00:55:04",4895.27,4865.04,,2,,,,2,,,,,,,,,,,,,,,,,,,173.03,5038.07,406.87
D,TRADING,REGIONSUM,4,"2019/06/01 01:30:00",1,NSW1,3,8022.24,11574.7,0,-44.11,7454.45,0,-567.79,0,,,45.09,,,,,,,,14.54,,,,,,,,10,,,,,,,,163.07,,,,,,,,49.31,,,,,,,,39.79,,,,,,"2019/06/01 01:25:04",8103.47,8031.11,,63.27,,,,68.8,,,,,,,,,,,,,,,,,,,2.13,8033.24,462.7
D,TRADING,REGIONSUM,4,"2019/06/01 01:30:00",1,QLD1,3,5580.96,9154.79,0,-13.9,6083.25,0,502.29,0,,,0,,,,,,,,4.61,,,,,,,,0,,,,,,,,113.57,,,,,,,,69.54,,,,,,,,59.67,,,,,,"2019/06/01 01:25:04",5597.5,5585.77,,67.89,,,,35,,,,,,,,,,,,,,,,,,,92.89,5678.66,86.79
D,TRADING,REGIONSUM,4,"2019/06/01 01:30:00",1,SA1,3,1396.84,2826.27,87,-17.99,1199.15,0,-197.69,0,,,46,,,,,,,,50.97,,,,,,,,57.38,,,,,,,,59,,,,,,,,111.68,,,,,,,,125.36,,,,,,"2019/06/01 01:25:04",1417.28,1397.95,,55.41,,,,80.73,,,,,,,,,,,,,,,,,,,22.14,1420.09,230.27
D,TRADING,REGIONSUM,4,"2019/06/01 01:30:00",1,TAS1,3,1070.06,2023,0,-1.06,1141.75,0,71.69,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,49.15,,,,,,,,75,,,,,,,,87.66,,,,,,"2019/06/01 01:25:04",1071.84,1070.32,,21.42,,,,33.46,,,,,,,,,,,,,,,,,,,130.18,1200.50,0
D,TRADING,REGIONSUM,4,"2019/06/01 01:30:00",1,VIC1,3,4679.73,7905.86,10,-1.76,4893.86,3.33,210.8,0,,,109.7,,,,,,,,112.56,,,,,,,,15.93,,,,,,,,67,,,,,,,,114.73,,,,,,,,107.77,,,,,,"2019/06/01 01:25:04",4695.14,4687.31,,2,,,,2,,,,,,,,,,,,,,,,,,,177.13,4864.44,346.86
D,TRADING,REGIONSUM,4,"2019/06/01 02:00:00",1,NSW1,4,7776.99,11431.01,0,-42.44,7009.51,0,-767.48,0,,,47.01,,,,,,,,11.67,,,,,,,,7.5,,,,,,,,162.09,,,,,,,,70.84,,,,,,,,41.87,,,,,,"2019/06/01 01:55:04",7855.58,7790.28,,36.6,,,,64.07,,,,,,,,,,,,,,,,,,,3.76,7794.04,469.01
D,TRADING,REGIONSUM,4,"2019/06/01 02:00:00",1,QLD1,4,5503.67,9132.31,0,-16.89,6085.15,0,581.49,0,,,0,,,,,,,,26.63,,,,,,,,0,,,,,,,,118.37,,,,,,,,68.15,,,,,,,,58.57,,,,,,"2019/06/01 01:55:04",5525.27,5510.63,,92.8,,,,58.04,,,,,,,,,,,,,,,,,,,92.1,5602.73,64.31
D,TRADING,REGIONSUM,4,"2019/06/01 02:00:00",1,SA1,4,1303.08,2721.21,87,-12.41,1089.96,0.5,-213.62,0,,,46.5,,,,,,,,43.76,,,,,,,,58.68,,,,,,,,58,,,,,,,,80.92,,,,,,,,115.6,,,,,,"2019/06/01 01:55:04",1329.43,1305.01,,69.17,,,,50.8,,,,,,,,,,,,,,,,,,,22.17,1327.18,241.21
D,TRADING,REGIONSUM,4,"2019/06/01 02:00:00",1,TAS1,4,1079.61,2023,0,-0.4,1139.19,0,59.58,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,47.11,,,,,,,,82.17,,,,,,,,104.87,,,,,,"2019/06/01 01:55:04",1078.68,1079.75,,9.44,,,,45.09,,,,,,,,,,,,,,,,,,,121.3,1201.05,0
