C,SETP.WORLD,DVD_TRADINGREGIONSUM,AEMO,PUBLIC,2018/03/08,10:25:06,0000000292654557,,0000000292654371
I,TRADING,REGIONSUM,4,SETTLEMENTDATE,RUNNO,REGIONID,PERIODID,TOTALDEMAND,AVAILABLEGENERATION,AVAILABLELOAD,DEMANDFORECAST,DISPATCHABLEGENERATION,DISPATCHABLELOAD,NETINTERCHANGE,EXCESSGENERATION,LOWER5MINDISPATCH,LOWER5MINIMPORT,LOWER5MINLOCALDISPATCH,LOWER5MINLOCALPRICE,LOWER5MINLOCALREQ,LOWER5MINPRICE,LOWER5MINREQ,LOWER5MINSUPPLYPRICE,LOWER60SECDISPATCH,LOWER60SECIMPORT,LOWER60SECLOCALDISPATCH,LOWER60SECLOCALPRICE,LOWER60SECLOCALREQ,LOWER60SECPRICE,LOWER60SECREQ,LOWER60SECSUPPLYPRICE,LOWER6SECDISPATCH,LOWER6SECIMPORT,LOWER6SECLOCALDISPATCH,LOWER6SECLOCALPRICE,LOWER6SECLOCALREQ,LOWER6SECPRICE,LOWER6SECREQ,LOWER6SECSUPPLYPRICE,RAISE5MINDISPATCH,RAISE5MINIMPORT,RAISE5MINLOCALDISPATCH,RAISE5MINLOCALPRICE,RAISE5MINLOCALREQ,RAISE5MINPRICE,RAISE5MINREQ,RAISE5MINSUPPLYPRICE,RAISE60SECDISPATCH,RAISE60SECIMPORT,RAISE60SECLOCALDISPATCH,RAISE60SECLOCALPRICE,RAISE60SECLOCALREQ,RAISE60SECPRICE,RAISE60SECREQ,RAISE60SECSUPPLYPRICE,RAISE6SECDISPATCH,RAISE6SECIMPORT,RAISE6SECLOCALDISPATCH,RAISE6SECLOCALPRICE,RAISE6SECLOCALREQ,RAISE6SECPRICE,RAISE6SECREQ,RAISE6SECSUPPLYPRICE,LASTCHANGED,INITIALSUPPLY,CLEAREDSUPPLY,LOWERREGIMPORT,LOWERREGLOCALDISPATCH,LOWERREGLOCALREQ,LOWERREGREQ,RAISEREGIMPORT,RAISEREGLOCALDISPATCH,RAISEREGLOCALREQ,RAISEREGREQ,RAISE5MINLOCALVIOLATION,RAISEREGLOCALVIOLATION,RAISE60SECLOCALVIOLATION,RAISE6SECLOCALVIOLATION,LOWER5MINLOCALVIOLATION,LOWERREGLOCALVIOLATION,LOWER60SECLOCALVIOLATION,LOWER6SECLOCALVIOLATION,RAISE5MINVIOLATION,RAISEREGVIOLATION,RAISE60SECVIOLATION,RAISE6SECVIOLATION,LOWER5MINVIOLATION,LOWERREGVIOLATION,LOWER60SECVIOLATION,LOWER6SECVIOLATION,TOTALINTERMITTENTGENERATION,DEMAND_AND_NONSCHEDGEN,UIGF
D,TRADING,REGIONSUM,4,"2018/02/01 00:30:00",1,NSW1,1,6776.69,11713.52,80,-34.16,6667.71,80,-188.98,0,,,76,,,,,,,,20.27,,,,,,,,16,,,,,,,,289.13,,,,,,,,124.14,,,,,,,,155.91,,,,,,"2018/02/01 00:25:05",6904.68,6855.08,,69,,,,64,,,,,,,,,,,,,,,,,,,92.79,6947.87,329.52
D,TRADING,REGIONSUM,4,"2018/02/01 00:30:00",1,QLD1,1,6241.48,11039,240,-51.71,6418,0,176.52,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,83,,,,,,,,48.04,,,,,,,,12.5,,,,,,"2018/02/01 00:25:05",6317.45,6240.33,,31.83,,,,25.33,,,,,,,,,,,,,,,,,,,118.76,6359.09,0
D,TRADING,REGIONSUM,4,"2018/02/01 00:30:00",1,SA1,1,1207.17,2734.79,40,-11.64,1303.96,0,96.79,0,,,40,,,,,,,,39,,,,,,,,40,,,,,,,,42.67,,,,,,,,59,,,,,,,,89.67,,,,,,"2018/02/01 00:25:05",1226.15,1206.73,,9.17,,,,0.67,,,,,,,,,,,,,,,,,,,213.92,1420.65,824.79
D,TRADING,REGIONSUM,4,"2018/02/01 00:30:00",1,TAS1,1,974.45,2270.09,0,-1.58,506.45,0,-468,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,23.96,,,,,,,,96.39,,,,,,,,77.11,,,,,,"2018/02/01 00:25:05",976.21,974.45,,10,,,,40,,,,,,,,,,,,,,,,,,,57.21,1031.66,47.09
D,TRADING,REGIONSUM,4,"2018/02/01 00:30:00",1,VIC1,1,4231.17,8448.71,0,-17.35,4629.7,0,398.54,0,,,186.41,,,,,,,,158.51,,,,,,,,55.96,,,,,,,,84.85,,,,,,,,93,,,,,,,,85.38,,,,,,"2018/02/01 00:25:05",4265.89,4249.22,,0,,,,0,,,,,,,,,,,,,,,,,,,268.44,4517.66,354.71
D,TRADING,REGIONSUM,4,"2018/02/01 01:00:00",1,NSW1,2,6640.35,11641.86,120,-32.81,6390.74,120,-369.61,0,,,76.92,,,,,,,,28.26,,,,,,,,16,,,,,,,,298.08,,,,,,,,125.14,,,,,,,,169.01,,,,,,"2018/02/01 00:55:05",6802.87,6759,,68.77,,,,63.48,,,,,,,,,,,,,,,,,,,76.33,6835.33,317.86
D,TRADING,REGIONSUM,4,"2018/02/01 01:00:00",1,QLD1,2,6068.23,11041.67,240,-29.63,6296.22,0,227.99,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,83,,,,,,,,54.41,,,,,,,,15,,,,,,"2018/02/01 00:55:05",6118.33,6067.43,,36,,,,21.08,,,,,,,,,,,,,,,,,,,118.05,6185.48,0
D,TRADING,REGIONSUM,4,"2018/02/01 01:00:00",1,SA1,2,1158.52,2723.61,80,-10.21,1270.61,0,112.09,0,,,40,,,,,,,,39,,,,,,,,40,,,,,,,,41,,,,,,,,59,,,,,,,,90.08,,,,,,"2018/02/01 00:55:05",1171.36,1158.19,,10.67,,,,0,,,,,,,,,,,,,,,,,,,208.85,1367.04,810.61
D,TRADING,REGIONSUM,4,"2018/02/01 01:00:00",1,TAS1,2,976.15,2265.38,0,-0.36,502.71,0,-473.44,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,20,,,,,,,,97.73,,,,,,,,78.18,,,,,,"2018/02/01 00:55:05",975.52,976.15,,4.57,,,,45.44,,,,,,,,,,,,,,,,,,,49.46,1025.61,42.38
D,TRADING,REGIONSUM,4,"2018/02/01 01:00:00",1,VIC1,2,4100.23,8438.24,0,-8.74,4619.24,0,519.02,0,,,184.64,,,,,,,,160,,,,,,,,68.39,,,,,,,,85,,,,,,,,93,,,,,,,,77,,,,,,"2018/02/01 00:55:05",4120.87,4118.76,,0,,,,0,,,,,,,,,,,,,,,,,,,260.33,4379.09,344.24
