C,SETP.WORLD,DVD_TRADINGREGIONSUM,AEMO,PUBLIC,2018/12/07,00:10:01,0000000301884002,,0000000301883816
I,TRADING,REGIONSUM,4,SETTLEMENTDATE,RUNNO,REGIONID,PERIODID,TOTALDEMAND,AVAILABLEGENERATION,AVAILABLELOAD,DEMANDFORECAST,DISPATCHABLEGENERATION,DISPATCHABLELOAD,NETINTERCHANGE,EXCESSGENERATION,LOWER5MINDISPATCH,LOWER5MINIMPORT,LOWER5MINLOCALDISPATCH,LOWER5MINLOCALPRICE,LOWER5MINLOCALREQ,LOWER5MINPRICE,LOWER5MINREQ,LOWER5MINSUPPLYPRICE,LOWER60SECDISPATCH,LOWER60SECIMPORT,LOWER60SECLOCALDISPATCH,LOWER60SECLOCALPRICE,LOWER60SECLOCALREQ,LOWER60SECPRICE,LOWER60SECREQ,LOWER60SECSUPPLYPRICE,LOWER6SECDISPATCH,LOWER6SECIMPORT,LOWER6SECLOCALDISPATCH,LOWER6SECLOCALPRICE,LOWER6SECLOCALREQ,LOWER6SECPRICE,LOWER6SECREQ,LOWER6SECSUPPLYPRICE,RAISE5MINDISPATCH,RAISE5MINIMPORT,RAISE5MINLOCALDISPATCH,RAISE5MINLOCALPRICE,RAISE5MINLOCALREQ,RAISE5MINPRICE,RAISE5MINREQ,RAISE5MINSUPPLYPRICE,RAISE60SECDISPATCH,RAISE60SECIMPORT,RAISE60SECLOCALDISPATCH,RAISE60SECLOCALPRICE,RAISE60SECLOCALREQ,RAISE60SECPRICE,RAISE60SECREQ,RAISE60SECSUPPLYPRICE,RAISE6SECDISPATCH,RAISE6SECIMPORT,RAISE6SECLOCALDISPATCH,RAISE6SECLOCALPRICE,RAISE6SECLOCALREQ,RAISE6SECPRICE,RAISE6SECREQ,RAISE6SECSUPPLYPRICE,LASTCHANGED,INITIALSUPPLY,CLEAREDSUPPLY,LOWERREGIMPORT,LOWERREGLOCALDISPATCH,LOWERREGLOCALREQ,LOWERREGREQ,RAISEREGIMPORT,RAISEREGLOCALDISPATCH,RAISEREGLOCALREQ,RAISEREGREQ,RAISE5MINLOCALVIOLATION,RAISEREGLOCALVIOLATION,RAISE60SECLOCALVIOLATION,RAISE6SECLOCALVIOLATION,LOWER5MINLOCALVIOLATION,LOWERREGLOCALVIOLATION,LOWER60SECLOCALVIOLATION,LOWER6SECLOCALVIOLATION,RAISE5MINVIOLATION,RAISEREGVIOLATION,RAISE60SECVIOLATION,RAISE6SECVIOLATION,LOWER5MINVIOLATION,LOWERREGVIOLATION,LOWER60SECVIOLATION,LOWER6SECVIOLATION,TOTALINTERMITTENTGENERATION,DEMAND_AND_NONSCHEDGEN,UIGF
D,TRADING,REGIONSUM,4,"2018/11/01 00:30:00",1,NSW1,1,7005.02,11078.81,232,-22.99,7495.95,216.67,274.27,0,,,66.69,,,,,,,,41.96,,,,,,,,22.06,,,,,,,,311,,,,,,,,177.63,,,,,,,,155.21,,,,,,"2018/11/01 00:25:04",7244.01,7227.38,,49.95,,,,60.51,,,,,,,,,,,,,,,,,,,46.2,7273.58,339.81
D,TRADING,REGIONSUM,4,"2018/11/01 00:30:00",1,QLD1,1,5560.69,8809.27,245,-24.25,5635.85,245,-169.84,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,35,,,,,,,,32.33,,,,,,,,10.22,,,,,,"2018/11/01 00:25:04",5836.3,5807.17,,35.05,,,,35.45,,,,,,,,,,,,,,,,,,,117.58,5924.75,1.94
D,TRADING,REGIONSUM,4,"2018/11/01 00:30:00",1,SA1,1,1450.86,3054.73,80,-9.08,1537.3,0,86.44,0,,,40,,,,,,,,48.77,,,,,,,,40,,,,,,,,44.33,,,,,,,,80.67,,,,,,,,112.17,,,,,,"2018/11/01 00:25:04",1465.77,1451.29,,24.67,,,,45,,,,,,,,,,,,,,,,,,,132.73,1584.02,952.9
D,TRADING,REGIONSUM,4,"2018/11/01 00:30:00",1,TAS1,1,1100.23,2198,0,-2.28,917.84,0,-182.38,0,,,110,,,,,,,,38.3,,,,,,,,1.22,,,,,,,,46.46,,,,,,,,97.15,,,,,,,,87.78,,,,,,"2018/11/01 00:25:04",1096.16,1100.23,,38.33,,,,25,,,,,,,,,,,,,,,,,,,18.82,1119.05,0
D,TRADING,REGIONSUM,4,"2018/11/01 00:30:00",1,VIC1,1,4408.21,7753.99,0,-14.92,4411.16,0,2.94,0,,,49.17,,,,,,,,47.5,,,,,,,,9.17,,,,,,,,58,,,,,,,,44.98,,,,,,,,58.01,,,,,,"2018/11/01 00:25:04",4427.9,4412.04,,2,,,,2,,,,,,,,,,,,,,,,,,,67.77,4479.81,341.99
D,TRADING,REGIONSUM,4,"2018/11/01 01:00:00",1,NSW1,2,6846.43,10981.26,232,-32.96,7194.19,232,115.76,0,,,66.63,,,,,,,,43.96,,,,,,,,30.61,,,,,,,,308,,,,,,,,183.27,,,,,,,,159.11,,,,,,"2018/11/01 00:55:04",7121.92,7080.18,,30.27,,,,48.01,,,,,,,,,,,,,,,,,,,26.45,7106.63,302.26
D,TRADING,REGIONSUM,4,"2018/11/01 01:00:00",1,QLD1,2,5401.65,8658.3,245,-23.82,5513.79,245,-132.87,0,,,0,,,,,,,,0,,,,,,,,0,,,,,,,,25,,,,,,,,36.44,,,,,,,,18.12,,,,,,"2018/11/01 00:55:04",5677.1,5647.61,,40,,,,67.04,,,,,,,,,,,,,,,,,,,117.49,5765.10,1.97
D,TRADING,REGIONSUM,4,"2018/11/01 01:00:00",1,SA1,2,1430.39,3060.7,80,-9.28,1531.32,0,100.94,0,,,40,,,,,,,,48.54,,,,,,,,40,,,,,,,,45,,,,,,,,81,,,,,,,,113,,,,,,"2018/11/01 00:55:04",1437.53,1430.92,,40,,,,41.28,,,,,,,,,,,,,,,,,,,106.5,1537.42,954.7
D,TRADING,REGIONSUM,4,"2018/11/01 01:00:00",1,TAS1,2,1096.96,2198,0,-1.58,917.63,0,-179.32,0,,,110,,,,,,,,39.34,,,,,,,,0,,,,,,,,46.05,,,,,,,,96.43,,,,,,,,84.67,,,,,,"2018/11/01 00:55:04",1093.31,1096.96,,37.73,,,,24.99,,,,,,,,,,,,,,,,,,,23.04,1120,0
D,TRADING,REGIONSUM,4,"2018/11/01 01:00:00",1,VIC1,2,4268.7,7712.2,0,-12.31,4370.2,0,101.5,0,,,48.33,,,,,,,,48.33,,,,,,,,8.33,,,,,,,,58.17,,,,,,,,45.15,,,,,,,,55.62,,,,,,"2018/11/01 00:55:04",4283.41,4271.46,,2,,,,1.83,,,,,,,,,,,,,,,,,,,58.71,4330.17,300.2
