C,SETP.WORLD,DVD_TRADINGPRICE,AEMO,PUBLIC,2019/03/02,00:10:03,0000000304980255,,0000000304980068
I,TRADING,PRICE,2,SETTLEMENTDATE,RUNNO,REGIONID,PERIODID,RRP,EEP,INVALIDFLAG,LASTCHANGED,ROP,RAISE6SECRRP,RAISE6SECROP,RAISE60SECRRP,RAISE60SECROP,RAISE5MINRRP,RAISE5MINROP,RAISEREGRRP,RAISEREGROP,LOWER6SECRRP,LOWER6SECROP,LOWER60SECRRP,LOWER60SECROP,LOWER5MINRRP,LOWER5MINROP,LOWERREGRRP,LOWERREGROP,PRICE_STATUS
D,TRADING,PRICE,2,"2018/12/01 00:30:00",1,NSW1,1,100.34,0,0,"2018/12/01 00:25:04",100.34,4.32,4.32,4.67,4.67,2.58,2.58,32.63,32.63,0.02,0.02,0.07,0.07,0.14,0.14,8.79,8.79,FIRM
D,TRADING,PRICE,2,"2018/12/01 00:30:00",1,QLD1,1,94.51,0,0,"2018/12/01 00:25:04",94.51,4.32,4.32,4.67,4.67,2.58,2.58,32.63,32.63,0.02,0.02,0.07,0.07,0.14,0.14,8.79,8.79,FIRM
D,TRADING,PRICE,2,"2018/12/01 00:30:00",1,SA1,1,89.14,0,0,"2018/12/01 00:25:04",89.14,4.32,4.32,4.67,4.67,2.58,2.58,32.63,32.63,0.02,0.02,0.07,0.07,0.14,0.14,8.79,8.79,FIRM
D,TRADING,PRICE,2,"2018/12/01 00:30:00",1,TAS1,1,86.57,0,0,"2018/12/01 00:25:04",86.57,1.45,1.45,4.64,4.64,2.58,2.58,2.58,2.58,0.02,0.02,0.07,0.07,0.14,0.14,8.79,8.79,FIRM
D,TRADING,PRICE,2,"2018/12/01 00:30:00",1,VIC1,1,97.32,0,0,"2018/12/01 00:25:04",97.32,4.32,4.32,4.67,4.67,2.58,2.58,32.63,32.63,0.02,0.02,0.07,0.07,0.14,0.14,8.79,8.79,FIRM
D,TRADING,PRICE,2,"2018/12/01 01:00:00",1,NSW1,2,103.33,0,0,"2018/12/01 00:55:04",103.33,4.36,4.36,5.08,5.08,4.42,4.42,30.95,30.95,0.03,0.03,0.07,0.07,0.17,0.17,14.28,14.28,FIRM
D,TRADING,PRICE,2,"2018/12/01 01:00:00",1,QLD1,2,96.8,0,0,"2018/12/01 00:55:04",96.8,4.36,4.36,5.08,5.08,4.42,4.42,30.95,30.95,0.03,0.03,0.07,0.07,0.17,0.17,14.28,14.28,FIRM
D,TRADING,PRICE,2,"2018/12/01 01:00:00",1,SA1,2,90.85,0,0,"2018/12/01 00:55:04",90.85,4.36,4.36,5.08,5.08,4.42,4.42,30.95,30.95,0.03,0.03,0.07,0.07,0.17,0.17,14.28,14.28,FIRM
D,TRADING,PRICE,2,"2018/12/01 01:00:00",1,TAS1,2,93.71,0,0,"2018/12/01 00:55:04",93.71,4.36,4.36,5.08,5.08,4.42,4.42,4.42,4.42,0.03,0.03,0.07,0.07,0.14,0.14,8.9,8.9,FIRM
D,TRADING,PRICE,2,"2018/12/01 01:00:00",1,VIC1,2,99.68,0,0,"2018/12/01 00:55:04",99.68,4.36,4.36,5.08,5.08,4.42,4.42,30.95,30.95,0.03,0.03,0.07,0.07,0.17,0.17,14.28,14.28,FIRM
