C,SETP.WORLD,DVD_TRADINGPRICE,AEMO,PUBLIC,2019/09/07,02:40:00,0000000312468843,,0000000312468651
I,TRADING,PRICE,2,SETTLEMENTDATE,RUNNO,REGIONID,PERIODID,RRP,EEP,INVALIDFLAG,LASTCHANGED,ROP,RAISE6SECRRP,RAISE6SECROP,RAISE60SECRRP,RAISE60SECROP,RAISE5MINRRP,RAISE5MINROP,RAISEREGRRP,RAISEREGROP,LOWER6SECRRP,LOWER6SECROP,LOWER60SECRRP,LOWER60SECROP,LOWER5MINRRP,LOWER5MINROP,LOWERREGRRP,LOWERREGROP,PRICE_STATUS
D,TRADING,PRICE,2,"2019/08/01 00:30:00",1,NSW1,1,58.13,0,0,"2019/08/01 00:25:03",58.13,0.74,0.74,0.5,0.5,0.71,0.71,10.99,10.99,0.02,0.02,0.04,0.04,0.16,0.16,7.86,7.86,FIRM
D,TRADING,PRICE,2,"2019/08/01 00:30:00",1,QLD1,1,55.6,0,0,"2019/08/01 00:25:03",55.6,0.74,0.74,0.5,0.5,0.71,0.71,10.99,10.99,0.02,0.02,0.04,0.04,0.16,0.16,7.86,7.86,FIRM
D,TRADING,PRICE,2,"2019/08/01 00:30:00",1,SA1,1,101,0,0,"2019/08/01 00:25:03",101,0.74,0.74,0.5,0.5,0.71,0.71,10.99,10.99,0.02,0.02,0.04,0.04,0.16,0.16,7.86,7.86,FIRM
D,TRADING,PRICE,2,"2019/08/01 00:30:00",1,TAS1,1,92.03,0,0,"2019/08/01 00:25:03",92.03,0.71,0.71,0.49,0.49,0.7,0.7,10.99,10.99,0.02,0.02,0.04,0.04,0.16,0.16,7.86,7.86,FIRM
D,TRADING,PRICE,2,"2019/08/01 00:30:00",1,VIC1,1,101.48,0,0,"2019/08/01 00:25:03",101.48,0.74,0.74,0.5,0.5,0.71,0.71,10.99,10.99,0.02,0.02,0.04,0.04,0.16,0.16,7.86,7.86,FIRM
D,TRADING,PRICE,2,"2019/08/01 01:00:00",1,NSW1,2,58.03,0,0,"2019/08/01 00:55:03",58.03,0.52,0.52,0.49,0.49,0.7,0.7,11.99,11.99,0.01,0.01,0.04,0.04,0.18,0.18,7.78,7.78,FIRM
D,TRADING,PRICE,2,"2019/08/01 01:00:00",1,QLD1,2,54.24,0,0,"2019/08/01 00:55:03",54.24,0.52,0.52,0.49,0.49,0.7,0.7,11.99,11.99,0.01,0.01,0.04,0.04,0.18,0.18,7.78,7.78,FIRM
D,TRADING,PRICE,2,"2019/08/01 01:00:00",1,SA1,2,101,0,0,"2019/08/01 00:55:03",101,0.52,0.52,0.49,0.49,0.7,0.7,11.99,11.99,0.01,0.01,0.04,0.04,0.18,0.18,7.78,7.78,FIRM
D,TRADING,PRICE,2,"2019/08/01 01:00:00",1,TAS1,2,91.77,0,0,"2019/08/01 00:55:03",91.77,0.52,0.52,0.49,0.49,0.7,0.7,11.99,11.99,0.01,0.01,0.04,0.04,0.18,0.18,7.78,7.78,FIRM
D,TRADING,PRICE,2,"2019/08/01 01:00:00",1,VIC1,2,100.39,0,0,"2019/08/01 00:55:03",100.39,0.52,0.52,0.49,0.49,0.7,0.7,11.99,11.99,0.01,0.01,0.04,0.04,0.18,0.18,7.78,7.78,FIRM
D,TRADING,PRICE,2,"2019/08/01 01:30:00",1,NSW1,3,58.56,0,0,"2019/08/01 01:25:03",58.56,0.65,0.65,0.5,0.5,0.67,0.67,14.33,14.33,0.02,0.02,0.06,0.06,0.17,0.17,8.12,8.12,FIRM
D,TRADING,PRICE,2,"2019/08/01 01:30:00",1,QLD1,3,54.18,0,0,"2019/08/01 01:25:03",54.18,0.65,0.65,0.5,0.5,0.67,0.67,14.33,14.33,0.02,0.02,0.06,0.06,0.17,0.17,8.12,8.12,FIRM
D,TRADING,PRICE,2,"2019/08/01 01:30:00",1,SA1,3,89.73,0,0,"2019/08/01 01:25:03",89.73,0.65,0.65,0.5,0.5,0.67,0.67,14.33,14.33,0.02,0.02,0.06,0.06,0.17,0.17,8.12,8.12,FIRM
