C,SETP.WORLD,DVD_TRADINGPRICE,AEMO,PUBLIC,2020/08/07,02:45:04,0000000326714927,,0000000326714719
I,TRADING,PRICE,2,SETTLEMENTDATE,RUNNO,REGIONID,PERIODID,RRP,EEP,INVALIDFLAG,LASTCHANGED,ROP,RAISE6SECRRP,RAISE6SECROP,RAISE60SECRRP,RAISE60SECROP,RAISE5MINRRP,RAISE5MINROP,RAISEREGRRP,RAISEREGROP,LOWER6SECRRP,LOWER6SECROP,LOWER60SECRRP,LOWER60SECROP,LOWER5MINRRP,LOWER5MINROP,LOWERREGRRP,LOWERREGROP,PRICE_STATUS
D,TRADING,PRICE,2,"2020/07/01 00:30:00",1,NSW1,1,39.33,0,0,"2020/07/01 00:25:04",39.33,3.92,3.92,1.71,1.71,0.9,0.9,7.97,7.97,1.69,1.69,0.97,0.97,1.39,1.39,4.12,4.12,FIRM
D,TRADING,PRICE,2,"2020/07/01 00:30:00",1,VIC1,1,38.59,0,0,"2020/07/01 00:25:04",38.59,3.92,3.92,1.71,1.71,0.9,0.9,7.97,7.97,1.69,1.69,0.97,0.97,1.39,1.39,4.12,4.12,FIRM
D,TRADING,PRICE,2,"2020/07/01 00:30:00",1,SA1,1,46.17,0,0,"2020/07/01 00:25:04",46.17,3.92,3.92,1.71,1.71,0.9,0.9,7.97,7.97,1.69,1.69,0.97,0.97,1.39,1.39,4.12,4.12,FIRM
D,TRADING,PRICE,2,"2020/07/01 00:30:00",1,QLD1,1,35.36,0,0,"2020/07/01 00:25:04",35.36,3.92,3.92,1.71,1.71,0.9,0.9,7.97,7.97,1.69,1.69,0.97,0.97,1.39,1.39,4.12,4.12,FIRM
D,TRADING,PRICE,2,"2020/07/01 00:30:00",1,TAS1,1,30.86,0,0,"2020/07/01 00:25:04",30.86,0.76,0.76,1.12,1.12,0.9,0.9,7.97,7.97,1.69,1.69,0.97,0.97,1.39,1.39,4.12,4.12,FIRM
D,TRADING,PRICE,2,"2020/07/01 01:00:00",1,NSW1,2,38.1,0,0,"2020/07/01 00:55:03",38.1,1.98,1.98,1.7,1.7,0.9,0.9,8.18,8.18,4.5,4.5,0.45,0.45,1.79,1.79,4.27,4.27,FIRM
D,TRADING,PRICE,2,"2020/07/01 01:00:00",1,VIC1,2,37.35,0,0,"2020/07/01 00:55:03",37.35,1.98,1.98,1.7,1.7,0.9,0.9,8.18,8.18,4.5,4.5,0.45,0.45,1.79,1.79,4.27,4.27,FIRM
D,TRADING,PRICE,2,"2020/07/01 01:00:00",1,SA1,2,44.33,0,0,"2020/07/01 00:55:03",44.33,1.98,1.98,1.7,1.7,0.9,0.9,8.18,8.18,4.5,4.5,0.45,0.45,1.79,1.79,4.27,4.27,FIRM
D,TRADING,PRICE,2,"2020/07/01 01:00:00",1,QLD1,2,33.83,0,0,"2020/07/01 00:55:03",33.83,1.98,1.98,1.7,1.7,0.9,0.9,8.18,8.18,4.5,4.5,0.45,0.45,1.79,1.79,4.27,4.27,FIRM
D,TRADING,PRICE,2,"2020/07/01 01:00:00",1,TAS1,2,33.7,0,0,"2020/07/01 00:55:03",33.7,1.98,1.98,1.7,1.7,0.9,0.9,8.18,8.18,4.5,4.5,0.45,0.45,1.79,1.79,4.27,4.27,FIRM
