C,SETP.WORLD,DVD_TRADINGPRICE,AEMO,PUBLIC,2018/08/07,00:35:00,0000000297752590,,0000000297752332
I,TRADING,PRICE,2,SETTLEMENTDATE,RUNNO,REGIONID,PERIODID,RRP,EEP,INVALIDFLAG,LASTCHANGED,ROP,RAISE6SECRRP,RAISE6SECROP,RAISE60SECRRP,RAISE60SECROP,RAISE5MINRRP,RAISE5MINROP,RAISEREGRRP,RAISEREGROP,LOWER6SECRRP,LOWER6SECROP,LOWER60SECRRP,LOWER60SECROP,LOWER5MINRRP,LOWER5MINROP,LOWERREGRRP,LOWERREGROP,PRICE_STATUS
D,TRADING,PRICE,2,"2018/07/01 00:30:00",1,NSW1,1,74.62,0,0,"2018/07/01 00:25:05",74.62,4.1,4.1,5,5,11.75,11.75,11.75,11.75,0,0,0.03,0.03,0.04,0.04,4,4,FIRM
D,TRADING,PRICE,2,"2018/07/01 00:30:00",1,QLD1,1,63.89,0,0,"2018/07/01 00:25:05",63.89,4.1,4.1,5,5,11.75,11.75,11.75,11.75,0,0,0.03,0.03,0.04,0.04,4,4,FIRM
D,TRADING,PRICE,2,"2018/07/01 00:30:00",1,SA1,1,151.21,0,0,"2018/07/01 00:25:05",151.21,4.1,4.1,5,5,11.75,11.75,11.75,11.75,0,0,0.03,0.03,0.04,0.04,4,4,FIRM
D,TRADING,PRICE,2,"2018/07/01 00:30:00",1,TAS1,1,83.82,0,0,"2018/07/01 00:25:05",83.82,4,4,5,5,11.75,11.75,11.75,11.75,0,0,0.03,0.03,0.04,0.04,4,4,FIRM
D,TRADING,PRICE,2,"2018/07/01 00:30:00",1,VIC1,1,92.13,0,0,"2018/07/01 00:25:05",92.13,4.1,4.1,5,5,11.75,11.75,11.75,11.75,0,0,0.03,0.03,0.04,0.04,4,4,FIRM
D,TRADING,PRICE,2,"2018/07/01 01:00:00",1,NSW1,2,64.91,0,0,"2018/07/01 00:55:04",64.91,4.18,4.18,5.19,5.19,11.79,11.79,12.26,12.26,0,0,0.03,0.03,0.04,0.04,4,4,FIRM
D,TRADING,PRICE,2,"2018/07/01 01:00:00",1,QLD1,2,56.48,0,0,"2018/07/01 00:55:04",56.48,4.18,4.18,5.19,5.19,11.79,11.79,12.26,12.26,0,0,0.03,0.03,0.04,0.04,4,4,FIRM
D,TRADING,PRICE,2,"2018/07/01 01:00:00",1,SA1,2,153.61,0,0,"2018/07/01 00:55:04",153.61,4.18,4.18,5.19,5.19,11.79,11.79,12.26,12.26,0,0,0.03,0.03,0.04,0.04,4,4,FIRM
D,TRADING,PRICE,2,"2018/07/01 01:00:00",1,TAS1,2,108.22,0,0,"2018/07/01 00:55:04",108.22,3.8,3.8,5.19,5.19,11.79,11.79,12.26,12.26,0,0,0.03,0.03,0.04,0.04,4,4,FIRM
D,TRADING,PRICE,2,"2018/07/01 01:00:00",1,VIC1,2,118.96,0,0,"2018/07/01 00:55:04",118.96,4.18,4.18,5.19,5.19,11.79,11.79,12.26,12.26,0,0,0.03,0.03,0.04,0.04,4,4,FIRM
