C,SETP.WORLD,DVD_TRADINGPRICE,AEMO,PUBLIC,2020/05/07,02:55:05,0000000322582997,,0000000322582795
I,TRADING,PRICE,2,SETTLEMENTDATE,RUNNO,REGIONID,PERIODID,RRP,EEP,INVALIDFLAG,LASTCHANGED,ROP,RAISE6SECRRP,RAISE6SECROP,RAISE60SECRRP,RAISE60SECROP,RAISE5MINRRP,RAISE5MINROP,RAISEREGRRP,RAISEREGROP,LOWER6SECRRP,LOWER6SECROP,LOWER60SECRRP,LOWER60SECROP,LOWER5MINRRP,LOWER5MINROP,LOWERREGRRP,LOWERREGROP,PRICE_STATUS
D,TRADING,PRICE,2,"2020/04/12 23:30:00",1,SA1,47,60.5,0,0,"2020/04/12 23:25:04",60.5,9.41,9.41,5,5,1.49,1.49,17.22,17.22,0.05,0.05,0.18,0.18,0.18,0.18,7.2,7.2,FIRM
D,TRADING,PRICE,2,"2020/04/12 23:30:00",1,QLD1,47,49.13,0,0,"2020/04/12 23:25:04",49.13,9.41,9.41,5,5,1.49,1.49,17.22,17.22,0.05,0.05,0.18,0.18,0.18,0.18,7.2,7.2,FIRM
D,TRADING,PRICE,2,"2020/04/12 23:30:00",1,TAS1,47,20.45,0,0,"2020/04/12 23:25:04",20.45,0,0,0,0,0.5,0.5,16.22,16.22,3.87,3.87,0.18,0.18,0.18,0.18,7.58,7.58,FIRM
D,TRADING,PRICE,2,"2020/04/13 00:00:00",1,NSW1,48,45.96,0,0,"2020/04/12 23:55:04",45.96,7.66,7.66,4.56,4.56,1.66,1.66,14.78,14.78,0.16,0.16,0.19,0.19,0.19,0.19,7.62,7.62,FIRM
D,TRADING,PRICE,2,"2020/04/13 00:00:00",1,VIC1,48,58.66,0,0,"2020/04/12 23:55:04",58.66,7.66,7.66,4.56,4.56,1.66,1.66,14.78,14.78,0.16,0.16,0.19,0.19,0.19,0.19,7.62,7.62,FIRM
D,TRADING,PRICE,2,"2020/04/13 00:00:00",1,SA1,48,61.49,0,0,"2020/04/12 23:55:04",61.49,7.66,7.66,4.56,4.56,1.66,1.66,14.78,14.78,0.16,0.16,0.19,0.19,0.19,0.19,7.62,7.62,FIRM
D,TRADING,PRICE,2,"2020/04/13 00:00:00",1,QLD1,48,42.39,0,0,"2020/04/12 23:55:04",42.39,7.66,7.66,4.56,4.56,1.66,1.66,14.78,14.78,0.16,0.16,0.19,0.19,0.19,0.19,7.62,7.62,FIRM
D,TRADING,PRICE,2,"2020/04/13 00:00:00",1,TAS1,48,16.21,0,0,"2020/04/12 23:55:04",16.21,0,0,0,0,0,0,8.57,8.57,5.94,5.94,2.28,2.28,0.19,0.19,7.62,7.62,FIRM
D,TRADING,PRICE,2,"2020/04/13 00:30:00",1,NSW1,1,43.52,0,0,"2020/04/13 00:25:03",43.52,7.4,7.4,4.71,4.71,1.83,1.83,12.81,12.81,0.13,0.13,0.19,0.19,0.19,0.19,8.35,8.35,FIRM
D,TRADING,PRICE,2,"2020/04/13 00:30:00",1,VIC1,1,47.08,0,0,"2020/04/13 00:25:03",47.08,7.4,7.4,4.71,4.71,1.83,1.83,12.81,12.81,0.13,0.13,0.19,0.19,0.19,0.19,8.35,8.35,FIRM
D,TRADING,PRICE,2,"2020/04/13 00:30:00",1,SA1,1,49.88,0,0,"2020/04/13 00:25:03",49.88,7.4,7.4,4.71,4.71,1.83,1.83,12.81,12.81,0.13,0.13,0.19,0.19,0.19,0.19,8.35,8.35,FIRM
D,TRADING,PRICE,2,"2020/04/13 00:30:00",1,QLD1,1,42.67,0,0,"2020/04/13 00:25:03",42.67,7.4,7.4,4.71,4.71,1.83,1.83,12.81,12.81,0.13,0.13,0.19,0.19,0.19,0.19,8.35,8.35,FIRM
D,TRADING,PRICE,2,"2020/04/13 00:30:00",1,TAS1,1,24.68,0,0,"2020/04/13 00:25:03",24.68,0,0,0,0,0,0,8,8,1.1,1.1,0.19,0.19,0.19,0.19,8.35,8.35,FIRM
D,TRADING,PRICE,2,"2020/04/13 01:00:00",1,NSW1,2,51.7,0,0,"2020/04/13 00:55:04",51.7,9.24,9.24,5.49,5.49,1.89,1.89,13.53,13.53,0.45,0.45,0.19,0.19,0.23,0.23,11.8,11.8,FIRM
D,TRADING,PRICE,2,"2020/04/13 01:00:00",1,VIC1,2,56.1,0,0,"2020/04/13 00:55:04",56.1,9.24,9.24,5.49,5.49,1.89,1.89,13.53,13.53,0.45,0.45,0.19,0.19,0.23,0.23,11.8,11.8,FIRM
D,TRADING,PRICE,2,"2020/04/13 01:00:00",1,SA1,2,60.13,0,0,"2020/04/13 00:55:04",60.13,9.24,9.24,5.49,5.49,1.89,1.89,13.53,13.53,0.45,0.45,0.19,0.19,0.23,0.23,11.8,11.8,FIRM
D,TRADING,PRICE,2,"2020/04/13 01:00:00",1,QLD1,2,48.39,0,0,"2020/04/13 00:55:04",48.39,9.24,9.24,5.49,5.49,1.89,1.89,13.53,13.53,0.45,0.45,0.19,0.19,0.23,0.23,11.8,11.8,FIRM
D,TRADING,PRICE,2,"2020/04/13 01:00:00",1,TAS1,2,24.68,0,0,"2020/04/13 00:55:04",24.68,0.08,0.08,0.83,0.83,0.4,0.4,9.23,9.23,5.02,5.02,0.23,0.23,0.23,0.23,11.11,11.11,FIRM
D,TRADING,PRICE,2,"2020/04/13 01:30:00",1,NSW1,3,45.84,0,0,"2020/04/13 01:25:03",45.84,8.33,8.33,5.63,5.63,1.83,1.83,14.82,14.82,0.58,0.58,0.19,0.19,0.24,0.24,12.67,12.67,FIRM
D,TRADING,PRICE,2,"2020/04/13 01:30:00",1,VIC1,3,48.32,0,0,"2020/04/13 01:25:03",48.32,8.33,8.33,5.63,5.63,1.83,1.83,14.82,14.82,0.58,0.58,0.19,0.19,0.24,0.24,12.67,12.67,FIRM
D,TRADING,PRICE,2,"2020/04/13 01:30:00",1,SA1,3,51.91,0,0,"2020/04/13 01:25:03",51.91,8.33,8.33,5.63,5.63,1.83,1.83,14.82,14.82,0.58,0.58,0.19,0.19,0.24,0.24,12.67,12.67,FIRM
D,TRADING,PRICE,2,"2020/04/13 01:30:00",1,QLD1,3,42.83,0,0,"2020/04/13 01:25:03",42.83,8.33,8.33,5.63,5.63,1.83,1.83,14.82,14.82,0.58,0.58,0.19,0.19,0.24,0.24,12.67,12.67,FIRM
D,TRADING,PRICE,2,"2020/04/13 01:30:00",1,TAS1,3,24.69,0,0,"2020/04/13 01:25:03",24.69,0,0,1.77,1.77,0,0,8,8,1,1,0.19,0.19,0.24,0.24,12.67,12.67,FIRM
D,TRADING,PRICE,2,"2020/04/13 02:00:00",1,NSW1,4,43.81,0,0,"2020/04/13 01:55:04",43.81,7.73,7.73,7.29,7.29,1.76,1.76,12.88,12.88,1,1,0.19,0.19,0.2,0.2,12.13,12.13,FIRM
D,TRADING,PRICE,2,"2020/04/13 02:00:00",1,VIC1,4,44.59,0,0,"2020/04/13 01:55:04",44.59,7.73,7.73,7.29,7.29,1.76,1.76,12.88,12.88,1,1,0.19,0.19,0.2,0.2,12.13,12.13,FIRM
D,TRADING,PRICE,2,"2020/04/13 02:00:00",1,SA1,4,48.1,0,0,"2020/04/13 01:55:04",48.1,7.73,7.73,7.29,7.29,1.76,1.76,12.88,12.88,1,1,0.19,0.19,0.2,0.2,12.13,12.13,FIRM
