C,SETP.WORLD,DVD_TRADINGPRICE,AEMO,PUBLIC,2021/05/07,12:20:07,0000000341086202,,0000000341085996
I,TRADING,PRICE,2,SETTLEMENTDATE,RUNNO,REGIONID,PERIODID,RRP,EEP,INVALIDFLAG,LASTCHANGED,ROP,RAISE6SECRRP,RAISE6SECROP,RAISE60SECRRP,RAISE60SECROP,RAISE5MINRRP,RAISE5MINROP,RAISEREGRRP,RAISEREGROP,LOWER6SECRRP,LOWER6SECROP,LOWER60SECRRP,LOWER60SECROP,LOWER5MINRRP,LOWER5MINROP,LOWERREGRRP,LOWERREGROP,PRICE_STATUS
D,TRADING,PRICE,2,"2021/04/04 15:30:00",1,NSW1,31,35.96,0,0,"2021/04/04 15:25:04",35.96,0.09,0.09,0.13,0.13,0.01,0.01,10.49,10.49,0.05,0.05,1.02,1.02,0.31,0.31,6.28,6.28,FIRM
D,TRADING,PRICE,2,"2021/04/04 15:30:00",1,VIC1,31,5.94,0,0,"2021/04/04 15:25:04",5.94,0.09,0.09,0.13,0.13,0.01,0.01,10.49,10.49,0.05,0.05,1.02,1.02,0.31,0.31,6.28,6.28,FIRM
D,TRADING,PRICE,2,"2021/04/04 15:30:00",1,SA1,31,5.57,0,0,"2021/04/04 15:25:04",5.57,0.09,0.09,0.13,0.13,0.01,0.01,10.49,10.49,0.05,0.05,1.02,1.02,0.31,0.31,6.28,6.28,FIRM
D,TRADING,PRICE,2,"2021/04/04 15:30:00",1,QLD1,31,36.5,0,0,"2021/04/04 15:25:04",36.5,0.09,0.09,0.13,0.13,0.01,0.01,10.49,10.49,0.05,0.05,1.02,1.02,0.31,0.31,6.28,6.28,FIRM
D,TRADING,PRICE,2,"2021/04/04 15:30:00",1,TAS1,31,9.06,0,0,"2021/04/04 15:25:04",9.06,9.5,9.5,8.49,8.49,0.9,0.9,11.39,11.39,5.88,5.88,4.67,4.67,0.18,0.18,6.15,6.15,FIRM
D,TRADING,PRICE,2,"2021/04/06 16:00:00",1,NSW1,32,45.75,0,0,"2021/04/06 15:55:04",45.75,6.26,6.26,7.95,7.95,0.87,0.87,14.38,14.38,0.1,0.1,0.7,0.7,0.5,0.5,8.08,8.08,FIRM
D,TRADING,PRICE,2,"2021/04/06 16:00:00",1,VIC1,32,38.41,0,0,"2021/04/06 15:55:04",38.41,6.26,6.26,7.95,7.95,0.87,0.87,14.38,14.38,0.1,0.1,0.7,0.7,0.5,0.5,8.08,8.08,FIRM
D,TRADING,PRICE,2,"2021/04/06 16:00:00",1,SA1,32,41.67,0,0,"2021/04/06 15:55:04",41.67,6.26,6.26,7.95,7.95,0.87,0.87,14.38,14.38,0.1,0.1,0.7,0.7,0.5,0.5,8.08,8.08,FIRM
D,TRADING,PRICE,2,"2021/04/06 16:00:00",1,QLD1,32,45.9,0,0,"2021/04/06 15:55:04",45.9,6.26,6.26,7.95,7.95,0.87,0.87,14.38,14.38,0.1,0.1,0.7,0.7,0.5,0.5,8.08,8.08,FIRM
D,TRADING,PRICE,2,"2021/04/06 16:00:00",1,TAS1,32,35.03,0,0,"2021/04/06 15:55:04",35.03,6.26,6.26,7.95,7.95,0.87,0.87,7.74,7.74,0.1,0.1,0.7,0.7,0.5,0.5,7.93,7.93,FIRM
