C,SETP.WORLD,DVD_TRADINGPRICE,AEMO,PUBLIC,2017/09/07,05:05:03,0000000287091341,,0000000287091156
I,TRADING,PRICE,2,SETTLEMENTDATE,RUNNO,REGIONID,PERIODID,RRP,EEP,INVALIDFLAG,LASTCHANGED,ROP,RAISE6SECRRP,RAISE6SECROP,RAISE60SECRRP,RAISE60SECROP,RAISE5MINRRP,RAISE5MINROP,RAISEREGRRP,RAISEREGROP,LOWER6SECRRP,LOWER6SECROP,LOWER60SECRRP,LOWER60SECROP,LOWER5MINRRP,LOWER5MINROP,LOWERREGRRP,LOWERREGROP,PRICE_STATUS
D,TRADING,PRICE,2,"2017/08/01 00:30:00",1,NSW1,1,80.33,0,0,"2017/08/01 00:25:03",80.33,10.33,10.33,9.16,9.16,15.36,15.36,29.86,29.86,0.02,0.02,0.02,0.02,0.17,0.17,19.17,19.17,FIRM
D,TRADING,PRICE,2,"2017/08/01 00:30:00",1,QLD1,1,65.3,0,0,"2017/08/01 00:25:03",65.3,10.33,10.33,9.16,9.16,15.36,15.36,29.86,29.86,0.02,0.02,0.02,0.02,0.17,0.17,19.17,19.17,FIRM
D,TRADING,PRICE,2,"2017/08/01 00:30:00",1,SA1,1,192.22,0,0,"2017/08/01 00:25:03",192.22,10.33,10.33,9.16,9.16,15.36,15.36,29.86,29.86,0.02,0.02,0.02,0.02,0.17,0.17,19.17,19.17,FIRM
D,TRADING,PRICE,2,"2017/08/01 00:30:00",1,TAS1,1,122.69,0,0,"2017/08/01 00:25:03",122.69,2.5,2.5,1.2,1.2,1.91,1.91,16.41,16.41,0.07,0.07,0.1,0.1,0.17,0.17,20,20,FIRM
D,TRADING,PRICE,2,"2017/08/01 00:30:00",1,VIC1,1,182.39,0,0,"2017/08/01 00:25:03",182.39,10.33,10.33,9.16,9.16,15.36,15.36,29.86,29.86,0.02,0.02,0.02,0.02,0.17,0.17,19.17,19.17,FIRM
D,TRADING,PRICE,2,"2017/08/01 01:00:00",1,NSW1,2,87.75,0,0,"2017/08/01 00:55:04",87.75,6.5,6.5,3.69,3.69,4.82,4.82,28.82,28.82,0.02,0.02,0.02,0.02,0.17,0.17,20.44,20.44,FIRM
D,TRADING,PRICE,2,"2017/08/01 01:00:00",1,QLD1,2,66.08,0,0,"2017/08/01 00:55:04",66.08,6.5,6.5,3.69,3.69,4.82,4.82,28.82,28.82,0.02,0.02,0.02,0.02,0.17,0.17,20.44,20.44,FIRM
D,TRADING,PRICE,2,"2017/08/01 01:00:00",1,SA1,2,130.06,0,0,"2017/08/01 00:55:04",130.06,6.5,6.5,3.69,3.69,4.82,4.82,28.82,28.82,0.02,0.02,0.02,0.02,0.17,0.17,20.44,20.44,FIRM
D,TRADING,PRICE,2,"2017/08/01 01:00:00",1,TAS1,2,109.39,0,0,"2017/08/01 00:55:04",109.39,6.5,6.5,2.39,2.39,2,2,26,26,0.02,0.02,0.02,0.02,0.17,0.17,20,20,FIRM
D,TRADING,PRICE,2,"2017/08/01 01:00:00",1,VIC1,2,123.45,0,0,"2017/08/01 00:55:04",123.45,6.5,6.5,3.69,3.69,4.82,4.82,28.82,28.82,0.02,0.02,0.02,0.02,0.17,0.17,20.44,20.44,FIRM
