C,SETP.WORLD,DVD_TRADINGPRICE,AEMO,PUBLIC,2019/06/07,10:50:05,0000000308821901,,0000000308821707
I,TRADING,PRICE,2,SETTLEMENTDATE,RUNNO,REGIONID,PERIODID,RRP,EEP,INVALIDFLAG,LASTCHANGED,ROP,RAISE6SECRRP,RAISE6SECROP,RAISE60SECRRP,RAISE60SECROP,RAISE5MINRRP,RAISE5MINROP,RAISEREGRRP,RAISEREGROP,LOWER6SECRRP,LOWER6SECROP,LOWER60SECRRP,LOWER60SECROP,LOWER5MINRRP,LOWER5MINROP,LOWERREGRRP,LOWERREGROP,PRICE_STATUS
D,TRADING,PRICE,2,"2019/05/01 00:30:00",1,NSW1,1,56.21,0,0,"2019/05/01 00:25:03",56.21,2.22,2.22,3.6,3.6,1,1,15.28,15.28,0.03,0.03,0.1,0.1,0.6,0.6,20.51,20.51,FIRM
D,TRADING,PRICE,2,"2019/05/01 00:30:00",1,QLD1,1,54.9,0,0,"2019/05/01 00:25:03",54.9,2.22,2.22,3.6,3.6,1,1,15.28,15.28,0.03,0.03,0.1,0.1,0.6,0.6,20.51,20.51,FIRM
D,TRADING,PRICE,2,"2019/05/01 00:30:00",1,SA1,1,84.27,0,0,"2019/05/01 00:25:03",84.27,2.22,2.22,3.6,3.6,1,1,15.28,15.28,0.03,0.03,0.1,0.1,0.6,0.6,20.51,20.51,FIRM
D,TRADING,PRICE,2,"2019/05/01 00:30:00",1,TAS1,1,84.95,0,0,"2019/05/01 00:25:03",84.95,2.68,2.68,4,4,4.3,4.3,18.58,18.58,0.03,0.03,0.1,0.1,0.6,0.6,20.51,20.51,FIRM
D,TRADING,PRICE,2,"2019/05/01 00:30:00",1,VIC1,1,85.58,0,0,"2019/05/01 00:25:03",85.58,2.22,2.22,3.6,3.6,1,1,15.28,15.28,0.03,0.03,0.1,0.1,0.6,0.6,20.51,20.51,FIRM
D,TRADING,PRICE,2,"2019/05/01 01:00:00",1,NSW1,2,57.27,0,0,"2019/05/01 00:55:04",57.27,1.9,1.9,2.8,2.8,1,1,17.86,17.86,0.03,0.03,0.12,0.12,0.97,0.97,19.52,19.52,FIRM
D,TRADING,PRICE,2,"2019/05/01 01:00:00",1,QLD1,2,55.41,0,0,"2019/05/01 00:55:04",55.41,1.9,1.9,2.8,2.8,1,1,17.86,17.86,0.03,0.03,0.12,0.12,0.97,0.97,19.52,19.52,FIRM
D,TRADING,PRICE,2,"2019/05/01 01:00:00",1,SA1,2,70.97,0,0,"2019/05/01 00:55:04",70.97,1.9,1.9,2.8,2.8,1,1,17.86,17.86,0.03,0.03,0.12,0.12,0.97,0.97,19.52,19.52,FIRM
D,TRADING,PRICE,2,"2019/05/01 01:00:00",1,TAS1,2,76.18,0,0,"2019/05/01 00:55:04",76.18,2,2,4,4,2,2,18.86,18.86,0.03,0.03,0.12,0.12,0.97,0.97,19.52,19.52,FIRM
D,TRADING,PRICE,2,"2019/05/01 01:00:00",1,VIC1,2,73.96,0,0,"2019/05/01 00:55:04",73.96,1.9,1.9,2.8,2.8,1,1,17.86,17.86,0.03,0.03,0.12,0.12,0.97,0.97,19.52,19.52,FIRM
D,TRADING,PRICE,2,"2019/05/01 01:30:00",1,NSW1,3,68.96,0,0,"2019/05/01 01:25:04",68.96,2,2,3.84,3.84,2,2,23.7,23.7,0.03,0.03,0.15,0.15,0.65,0.65,23.05,23.05,FIRM
D,TRADING,PRICE,2,"2019/05/01 01:30:00",1,QLD1,3,65.56,0,0,"2019/05/01 01:25:04",65.56,2,2,3.84,3.84,2,2,23.7,23.7,0.03,0.03,0.15,0.15,0.65,0.65,23.05,23.05,FIRM
D,TRADING,PRICE,2,"2019/05/01 01:30:00",1,SA1,3,81.65,0,0,"2019/05/01 01:25:04",81.65,2,2,3.84,3.84,2,2,23.7,23.7,0.03,0.03,0.15,0.15,0.65,0.65,23.05,23.05,FIRM
