C,SETP.WORLD,DVD_TRADINGPRICE,AEMO,PUBLIC,2020/01/07,00:20:04,0000000317410240,,0000000317410030
I,TRADING,PRICE,2,SETTLEMENTDATE,RUNNO,REGIONID,PERIODID,RRP,EEP,INVALIDFLAG,LASTCHANGED,ROP,RAISE6SECRRP,RAISE6SECROP,RAISE60SECRRP,RAISE60SECROP,RAISE5MINRRP,RAISE5MINROP,RAISEREGRRP,RAISEREGROP,LOWER6SECRRP,LOWER6SECROP,LOWER60SECRRP,LOWER60SECROP,LOWER5MINRRP,LOWER5MINROP,LOWERREGRRP,LOWERREGROP,PRICE_STATUS
D,TRADING,PRICE,2,"2019/12/04 16:00:00",1,NSW1,32,44.66,0,0,"2019/12/04 15:55:05",44.66,2.83,2.83,3.53,3.53,1.75,1.75,41.86,41.86,0.03,0.03,0.07,0.07,0.08,0.08,20.26,20.26,FIRM
D,TRADING,PRICE,2,"2019/12/04 16:00:00",1,VIC1,32,13.43,0,0,"2019/12/04 15:55:05",13.43,2.83,2.83,3.53,3.53,1.75,1.75,41.86,41.86,0.03,0.03,0.07,0.07,0.08,0.08,20.26,20.26,FIRM
D,TRADING,PRICE,2,"2019/12/04 16:00:00",1,SA1,32,12.37,0,0,"2019/12/04 15:55:05",12.37,2.83,2.83,3.53,3.53,1.75,1.75,41.86,41.86,0.03,0.03,0.07,0.07,0.08,0.08,20.26,20.26,FIRM
D,TRADING,PRICE,2,"2019/12/04 16:00:00",1,QLD1,32,47.12,0,0,"2019/12/04 15:55:05",47.12,2.83,2.83,3.53,3.53,1.75,1.75,41.86,41.86,0.03,0.03,0.07,0.07,0.08,0.08,20.26,20.26,FIRM
D,TRADING,PRICE,2,"2019/12/04 16:00:00",1,TAS1,32,13.79,0,0,"2019/12/04 15:55:05",13.79,8,8,7.67,7.67,7.87,7.87,7.87,7.87,0.03,0.03,0.07,0.07,0.08,0.08,20.26,20.26,FIRM
D,TRADING,PRICE,2,"2019/12/04 17:00:00",1,NSW1,34,50.86,0,0,"2019/12/04 16:55:04",50.86,7.06,7.06,9.9,9.9,0.95,0.95,55.7,55.7,0.03,0.03,0.12,0.12,0.06,0.06,18.95,18.95,FIRM
D,TRADING,PRICE,2,"2019/12/04 17:00:00",1,VIC1,34,25.31,0,0,"2019/12/04 16:55:04",25.31,7.06,7.06,9.9,9.9,0.95,0.95,55.7,55.7,0.03,0.03,0.12,0.12,0.06,0.06,18.95,18.95,FIRM
D,TRADING,PRICE,2,"2019/12/04 17:00:00",1,SA1,34,22.91,0,0,"2019/12/04 16:55:04",22.91,7.06,7.06,9.9,9.9,0.95,0.95,55.7,55.7,0.03,0.03,0.12,0.12,0.06,0.06,18.95,18.95,FIRM
D,TRADING,PRICE,2,"2019/12/04 17:00:00",1,QLD1,34,59.05,0,0,"2019/12/04 16:55:04",59.05,7.06,7.06,9.9,9.9,0.95,0.95,55.7,55.7,0.03,0.03,0.12,0.12,0.06,0.06,18.95,18.95,FIRM
D,TRADING,PRICE,2,"2019/12/04 17:00:00",1,TAS1,34,14.94,0,0,"2019/12/04 16:55:04",14.94,15.52,15.52,10.33,10.33,8.9,8.9,8.9,8.9,0.03,0.03,0.12,0.12,0.06,0.06,18.95,18.95,FIRM
