C,SETP.WORLD,DVD_TRADINGPRICE,AEMO,PUBLIC,2021/07/12,16:05:04,0000000345345381,,0000000345345170
I,TRADING,PRICE,2,SETTLEMENTDATE,RUNNO,REGIONID,PERIODID,RRP,EEP,INVALIDFLAG,LASTCHANGED,ROP,RAISE6SECRRP,RAISE6SECROP,RAISE60SECRRP,RAISE60SECROP,RAISE5MINRRP,RAISE5MINROP,RAISEREGRRP,RAISEREGROP,LOWER6SECRRP,LOWER6SECROP,LOWER60SECRRP,LOWER60SECROP,LOWER5MINRRP,LOWER5MINROP,LOWERREGRRP,LOWERREGROP,PRICE_STATUS
D,TRADING,PRICE,2,"2021/06/01 03:30:00",1,NSW1,7,51.65,0,0,"2021/06/01 03:25:04",51.65,0.61,0.61,0.87,0.87,0.31,0.31,12.04,12.04,0.77,0.77,1.16,1.16,0.38,0.38,14.07,14.07,FIRM
D,TRADING,PRICE,2,"2021/06/01 03:30:00",1,VIC1,7,-20.14,0,0,"2021/06/01 03:25:04",-20.14,0.61,0.61,0.87,0.87,0.31,0.31,12.04,12.04,0.77,0.77,1.16,1.16,0.38,0.38,14.07,14.07,FIRM
D,TRADING,PRICE,2,"2021/06/01 03:30:00",1,SA1,7,-18.81,0,0,"2021/06/01 03:25:04",-18.81,0.61,0.61,0.87,0.87,0.31,0.31,12.04,12.04,0.77,0.77,1.16,1.16,0.38,0.38,14.07,14.07,FIRM
D,TRADING,PRICE,2,"2021/06/01 03:30:00",1,QLD1,7,53.59,0,0,"2021/06/01 03:25:04",53.59,0.61,0.61,0.87,0.87,0.31,0.31,12.04,12.04,0.77,0.77,1.16,1.16,0.38,0.38,14.07,14.07,FIRM
D,TRADING,PRICE,2,"2021/06/01 03:30:00",1,TAS1,7,35.86,0,0,"2021/06/01 03:25:04",35.86,20.33,20.33,26,26,0.9,0.9,13.03,13.03,1.93,1.93,1.23,1.23,0.18,0.18,5.35,5.35,FIRM
D,TRADING,PRICE,2,"2021/06/01 04:00:00",1,NSW1,8,47.66,0,0,"2021/06/01 03:55:04",47.66,0.56,0.56,0.95,0.95,0.29,0.29,12.72,12.72,0.35,0.35,1.16,1.16,0.41,0.41,12.45,12.45,FIRM
D,TRADING,PRICE,2,"2021/06/01 04:00:00",1,VIC1,8,-22.84,0,0,"2021/06/01 03:55:04",-22.84,0.56,0.56,0.95,0.95,0.29,0.29,12.72,12.72,0.35,0.35,1.16,1.16,0.41,0.41,12.45,12.45,FIRM
D,TRADING,PRICE,2,"2021/06/01 04:00:00",1,SA1,8,-20.74,0,0,"2021/06/01 03:55:04",-20.74,0.56,0.56,0.95,0.95,0.29,0.29,12.72,12.72,0.35,0.35,1.16,1.16,0.41,0.41,12.45,12.45,FIRM
D,TRADING,PRICE,2,"2021/06/01 04:00:00",1,QLD1,8,48.98,0,0,"2021/06/01 03:55:04",48.98,0.56,0.56,0.95,0.95,0.29,0.29,12.72,12.72,0.35,0.35,1.16,1.16,0.41,0.41,12.45,12.45,FIRM
D,TRADING,PRICE,2,"2021/06/01 04:00:00",1,TAS1,8,34.9,0,0,"2021/06/01 03:55:04",34.9,14.92,14.92,26,26,0.9,0.9,13.33,13.33,1,1,2.62,2.62,0.18,0.18,6.27,6.27,FIRM
D,TRADING,PRICE,2,"2021/06/01 05:30:00",1,NSW1,11,67.26,0,0,"2021/06/01 05:25:04",67.26,2.16,2.16,2.01,2.01,0.78,0.78,9.57,9.57,0.2,0.2,1.15,1.15,0.38,0.38,11.15,11.15,FIRM
D,TRADING,PRICE,2,"2021/06/01 05:30:00",1,VIC1,11,6.6,0,0,"2021/06/01 05:25:04",6.6,2.16,2.16,2.01,2.01,0.78,0.78,9.57,9.57,0.2,0.2,1.15,1.15,0.38,0.38,11.15,11.15,FIRM
D,TRADING,PRICE,2,"2021/06/01 05:30:00",1,SA1,11,6.56,0,0,"2021/06/01 05:25:04",6.56,2.16,2.16,2.01,2.01,0.78,0.78,9.57,9.57,0.2,0.2,1.15,1.15,0.38,0.38,11.15,11.15,FIRM
D,TRADING,PRICE,2,"2021/06/01 05:30:00",1,QLD1,11,71.1,0,0,"2021/06/01 05:25:04",71.1,2.16,2.16,2.01,2.01,0.78,0.78,9.57,9.57,0.2,0.2,1.15,1.15,0.38,0.38,11.15,11.15,FIRM
