C,SETP.WORLD,DVD_TRADINGPRICE,AEMO,PUBLIC,2020/02/07,03:05:05,0000000318731888,,0000000318731686
I,TRADING,PRICE,2,SETTLEMENTDATE,RUNNO,REGIONID,PERIODID,RRP,EEP,INVALIDFLAG,LASTCHANGED,ROP,RAISE6SECRRP,RAISE6SECROP,RAISE60SECRRP,RAISE60SECROP,RAISE5MINRRP,RAISE5MINROP,RAISEREGRRP,RAISEREGROP,LOWER6SECRRP,LOWER6SECROP,LOWER60SECRRP,LOWER60SECROP,LOWER5MINRRP,LOWER5MINROP,LOWERREGRRP,LOWERREGROP,PRICE_STATUS
D,TRADING,PRICE,2,"2020/01/01 18:30:00",1,NSW1,37,63.57,0,0,"2020/01/01 18:25:03",63.57,20.34,20.34,13.07,13.07,0.89,0.89,68.3,68.3,0.04,0.04,0.19,0.19,0.16,0.16,19.72,19.72,FIRM
D,TRADING,PRICE,2,"2020/01/01 18:30:00",1,VIC1,37,64.14,0,0,"2020/01/01 18:25:03",64.14,20.34,20.34,13.07,13.07,0.89,0.89,68.3,68.3,0.04,0.04,0.19,0.19,0.16,0.16,19.72,19.72,FIRM
D,TRADING,PRICE,2,"2020/01/01 18:30:00",1,SA1,37,64.59,0,0,"2020/01/01 18:25:03",64.59,20.34,20.34,13.07,13.07,0.89,0.89,68.3,68.3,0.04,0.04,0.19,0.19,0.16,0.16,19.72,19.72,FIRM
D,TRADING,PRICE,2,"2020/01/01 18:30:00",1,QLD1,37,70.88,0,0,"2020/01/01 18:25:03",70.88,20.34,20.34,13.07,13.07,0.89,0.89,68.3,68.3,0.04,0.04,0.19,0.19,0.16,0.16,19.72,19.72,FIRM
D,TRADING,PRICE,2,"2020/01/01 18:30:00",1,TAS1,37,66.56,0,0,"2020/01/01 18:25:03",66.56,53.45,53.45,13,13,0.89,0.89,0.89,0.89,0.04,0.04,0.19,0.19,0.16,0.16,19.72,19.72,FIRM
D,TRADING,PRICE,2,"2020/01/01 20:00:00",1,NSW1,40,67.22,0,0,"2020/01/01 19:55:03",67.22,18.65,18.65,5.87,5.87,0.7,0.7,79.47,79.47,0.04,0.04,0.19,0.19,0.16,0.16,20.33,20.33,FIRM
D,TRADING,PRICE,2,"2020/01/01 20:00:00",1,VIC1,40,70.45,0,0,"2020/01/01 19:55:03",70.45,18.65,18.65,5.87,5.87,0.7,0.7,79.47,79.47,0.04,0.04,0.19,0.19,0.16,0.16,20.33,20.33,FIRM
D,TRADING,PRICE,2,"2020/01/01 20:00:00",1,SA1,40,69.13,0,0,"2020/01/01 19:55:03",69.13,18.65,18.65,5.87,5.87,0.7,0.7,79.47,79.47,0.04,0.04,0.19,0.19,0.16,0.16,20.33,20.33,FIRM
D,TRADING,PRICE,2,"2020/01/01 20:00:00",1,QLD1,40,73.4,0,0,"2020/01/01 19:55:03",73.4,18.65,18.65,5.87,5.87,0.7,0.7,79.47,79.47,0.04,0.04,0.19,0.19,0.16,0.16,20.33,20.33,FIRM
D,TRADING,PRICE,2,"2020/01/01 20:00:00",1,TAS1,40,70.14,0,0,"2020/01/01 19:55:03",70.14,19,19,2.75,2.75,0.7,0.7,0.7,0.7,0.04,0.04,0.19,0.19,0.16,0.16,20.33,20.33,FIRM
D,TRADING,PRICE,2,"2020/01/01 21:00:00",1,NSW1,42,61.62,0,0,"2020/01/01 20:55:03",61.62,12.47,12.47,10.41,10.41,0.89,0.89,44.85,44.85,0.04,0.04,0.19,0.19,0.16,0.16,15.38,15.38,FIRM
D,TRADING,PRICE,2,"2020/01/01 21:00:00",1,VIC1,42,66.76,0,0,"2020/01/01 20:55:03",66.76,12.47,12.47,10.41,10.41,0.89,0.89,44.85,44.85,0.04,0.04,0.19,0.19,0.16,0.16,15.38,15.38,FIRM
D,TRADING,PRICE,2,"2020/01/01 21:00:00",1,SA1,42,68.33,0,0,"2020/01/01 20:55:03",68.33,12.47,12.47,10.41,10.41,0.89,0.89,44.85,44.85,0.04,0.04,0.19,0.19,0.16,0.16,15.38,15.38,FIRM
D,TRADING,PRICE,2,"2020/01/01 21:00:00",1,QLD1,42,69.74,0,0,"2020/01/01 20:55:03",69.74,12.47,12.47,10.41,10.41,0.89,0.89,44.85,44.85,0.04,0.04,0.19,0.19,0.16,0.16,15.38,15.38,FIRM
D,TRADING,PRICE,2,"2020/01/01 21:00:00",1,TAS1,42,69.31,0,0,"2020/01/01 20:55:03",69.31,19,19,10.41,10.41,0.89,0.89,0.89,0.89,0.04,0.04,0.19,0.19,0.16,0.16,15.26,15.26,FIRM
D,TRADING,PRICE,2,"2020/01/01 22:00:00",1,NSW1,44,59.66,0,0,"2020/01/01 21:55:03",59.66,8.19,8.19,10.76,10.76,0.89,0.89,41.66,41.66,0.04,0.04,0.19,0.19,0.16,0.16,15.22,15.22,FIRM
D,TRADING,PRICE,2,"2020/01/01 22:00:00",1,VIC1,44,63.15,0,0,"2020/01/01 21:55:03",63.15,8.19,8.19,10.76,10.76,0.89,0.89,41.66,41.66,0.04,0.04,0.19,0.19,0.16,0.16,15.22,15.22,FIRM
D,TRADING,PRICE,2,"2020/01/01 22:00:00",1,SA1,44,65.75,0,0,"2020/01/01 21:55:03",65.75,8.19,8.19,10.76,10.76,0.89,0.89,41.66,41.66,0.04,0.04,0.19,0.19,0.16,0.16,15.22,15.22,FIRM
D,TRADING,PRICE,2,"2020/01/01 22:00:00",1,QLD1,44,66.03,0,0,"2020/01/01 21:55:03",66.03,8.19,8.19,10.76,10.76,0.89,0.89,41.66,41.66,0.04,0.04,0.19,0.19,0.16,0.16,15.22,15.22,FIRM
D,TRADING,PRICE,2,"2020/01/01 22:00:00",1,TAS1,44,65.68,0,0,"2020/01/01 21:55:03",65.68,8.19,8.19,10.76,10.76,0.89,0.89,0.89,0.89,0.04,0.04,0.19,0.19,0.16,0.16,15.22,15.22,FIRM
D,TRADING,PRICE,2,"2020/01/01 23:30:00",1,NSW1,47,51.62,0,0,"2020/01/01 23:25:05",51.62,2.15,2.15,4.65,4.65,0.96,0.96,32.37,32.37,0.03,0.03,0.18,0.18,0.1,0.1,14.04,14.04,FIRM
D,TRADING,PRICE,2,"2020/01/01 23:30:00",1,VIC1,47,67.81,0,0,"2020/01/01 23:25:05",67.81,2.15,2.15,4.65,4.65,0.96,0.96,32.37,32.37,0.03,0.03,0.18,0.18,0.1,0.1,14.04,14.04,FIRM
D,TRADING,PRICE,2,"2020/01/01 23:30:00",1,SA1,47,68.25,0,0,"2020/01/01 23:25:05",68.25,2.15,2.15,4.65,4.65,0.96,0.96,32.37,32.37,0.03,0.03,0.18,0.18,0.1,0.1,14.04,14.04,FIRM
D,TRADING,PRICE,2,"2020/01/01 23:30:00",1,QLD1,47,58.73,0,0,"2020/01/01 23:25:05",58.73,2.15,2.15,4.65,4.65,0.96,0.96,32.37,32.37,0.03,0.03,0.18,0.18,0.1,0.1,14.04,14.04,FIRM
D,TRADING,PRICE,2,"2020/01/01 23:30:00",1,TAS1,47,71.5,0,0,"2020/01/01 23:25:05",71.5,8,8,5,5,0.96,0.96,26.53,26.53,0.03,0.03,0.05,0.05,0.06,0.06,14,14,FIRM
D,TRADING,PRICE,2,"2020/01/02 00:00:00",1,NSW1,48,48.9,0,0,"2020/01/01 23:55:03",48.9,2.71,2.71,4,4,0.89,0.89,43.14,43.14,0.05,0.05,0.19,0.19,0.1,0.1,16.81,16.81,FIRM
D,TRADING,PRICE,2,"2020/01/02 00:00:00",1,VIC1,48,70.44,0,0,"2020/01/01 23:55:03",70.44,2.71,2.71,4,4,0.89,0.89,43.14,43.14,0.05,0.05,0.19,0.19,0.1,0.1,16.81,16.81,FIRM
D,TRADING,PRICE,2,"2020/01/02 00:00:00",1,SA1,48,70.7,0,0,"2020/01/01 23:55:03",70.7,2.71,2.71,4,4,0.89,0.89,43.14,43.14,0.05,0.05,0.19,0.19,0.1,0.1,16.81,16.81,FIRM
D,TRADING,PRICE,2,"2020/01/02 00:00:00",1,QLD1,48,53.06,0,0,"2020/01/01 23:55:03",53.06,2.71,2.71,4,4,0.89,0.89,43.14,43.14,0.05,0.05,0.19,0.19,0.1,0.1,16.81,16.81,FIRM
D,TRADING,PRICE,2,"2020/01/02 00:00:00",1,TAS1,48,73.69,0,0,"2020/01/01 23:55:03",73.69,8,8,5,5,0.89,0.89,3.69,3.69,0.05,0.05,0.09,0.09,0.1,0.1,16.81,16.81,FIRM
D,TRADING,PRICE,2,"2020/01/02 13:30:00",1,NSW1,27,59.96,0,0,"2020/01/02 13:25:04",59.96,6.25,6.25,2.98,2.98,0.86,0.86,23.6,23.6,0.04,0.04,0.19,0.19,0.16,0.16,14.29,14.29,FIRM
D,TRADING,PRICE,2,"2020/01/02 13:30:00",1,VIC1,27,76.53,0,0,"2020/01/02 13:25:04",76.53,6.25,6.25,2.98,2.98,0.86,0.86,23.6,23.6,0.04,0.04,0.19,0.19,0.16,0.16,14.29,14.29,FIRM
D,TRADING,PRICE,2,"2020/01/02 13:30:00",1,SA1,27,77.78,0,0,"2020/01/02 13:25:04",77.78,6.25,6.25,2.98,2.98,0.86,0.86,23.6,23.6,0.04,0.04,0.19,0.19,0.16,0.16,14.29,14.29,FIRM
D,TRADING,PRICE,2,"2020/01/02 13:30:00",1,QLD1,27,59.75,0,0,"2020/01/02 13:25:04",59.75,6.25,6.25,2.98,2.98,0.86,0.86,23.6,23.6,0.04,0.04,0.19,0.19,0.16,0.16,14.29,14.29,FIRM
D,TRADING,PRICE,2,"2020/01/02 13:30:00",1,TAS1,27,79.41,0,0,"2020/01/02 13:25:04",79.41,9.38,9.38,2.98,2.98,0.86,0.86,0.86,0.86,0.04,0.04,0.19,0.19,0.16,0.16,14.29,14.29,FIRM
D,TRADING,PRICE,2,"2020/01/04 07:00:00",1,NSW1,14,31.43,0,0,"2020/01/04 06:55:03",31.43,1.74,1.74,2.29,2.29,0.7,0.7,15.25,15.25,0.39,0.39,0.19,0.19,0.27,0.27,27.41,27.41,FIRM
D,TRADING,PRICE,2,"2020/01/04 07:00:00",1,VIC1,14,28.72,0,0,"2020/01/04 06:55:03",28.72,1.74,1.74,2.29,2.29,0.7,0.7,15.25,15.25,0.39,0.39,0.19,0.19,0.27,0.27,27.41,27.41,FIRM
D,TRADING,PRICE,2,"2020/01/04 07:00:00",1,SA1,14,29.45,0,0,"2020/01/04 06:55:03",29.45,1.74,1.74,2.29,2.29,0.7,0.7,15.25,15.25,0.39,0.39,0.19,0.19,0.27,0.27,27.41,27.41,FIRM
D,TRADING,PRICE,2,"2020/01/04 07:00:00",1,QLD1,14,30.05,0,0,"2020/01/04 06:55:03",30.05,1.74,1.74,2.29,2.29,0.7,0.7,15.25,15.25,0.39,0.39,0.19,0.19,0.27,0.27,27.41,27.41,FIRM
D,TRADING,PRICE,2,"2020/01/04 07:00:00",1,TAS1,14,112.94,0,0,"2020/01/04 06:55:03",112.94,1.74,1.74,2.29,2.29,0.7,0.7,17.5,17.5,0,0,0,0,0.02,0.02,4.69,4.69,FIRM
D,TRADING,PRICE,2,"2020/01/04 21:00:00",1,NSW1,42,75.99,0,0,"2020/01/04 20:55:06",75.99,139.13,139.13,121.9,121.9,80.05,80.05,80.05,80.05,1.36,1.36,0.45,0.45,1.1,1.1,23.93,23.93,FIRM
D,TRADING,PRICE,2,"2020/01/04 21:00:00",1,VIC1,42,50.33,0,0,"2020/01/04 20:55:06",50.33,50.99,50.99,32.21,32.21,34.93,34.93,109.75,109.75,131.28,131.28,0.37,0.37,0.44,0.44,92.05,92.05,FIRM
D,TRADING,PRICE,2,"2020/01/04 21:00:00",1,SA1,42,50.86,0,0,"2020/01/04 20:55:06",50.86,50.99,50.99,32.21,32.21,34.93,34.93,109.75,109.75,131.28,131.28,0.37,0.37,0.44,0.44,92.05,92.05,FIRM
D,TRADING,PRICE,2,"2020/01/04 21:00:00",1,QLD1,42,71.24,0,0,"2020/01/04 20:55:06",71.24,139.13,139.13,121.9,121.9,80.05,80.05,80.05,80.05,1.36,1.36,0.45,0.45,1.1,1.1,23.93,23.93,FIRM
D,TRADING,PRICE,2,"2020/01/04 21:00:00",1,TAS1,42,134.08,0,0,"2020/01/04 20:55:06",134.08,50.99,50.99,29.93,29.93,34.93,34.93,109.75,109.75,48,48,0.18,0.18,0.19,0.19,91.79,91.79,FIRM
D,TRADING,PRICE,2,"2020/01/04 22:00:00",1,NSW1,44,49.23,0,0,"2020/01/04 21:55:04",49.23,94.7,94.7,129.04,129.04,53.2,53.2,68.78,68.78,23.49,23.49,1.66,1.66,32.36,32.36,32.36,32.36,FIRM
D,TRADING,PRICE,2,"2020/01/04 22:00:00",1,VIC1,44,16.94,0,0,"2020/01/04 21:55:04",16.94,47.2,47.2,19.12,19.12,1.4,1.4,106.79,106.79,142.94,142.94,0.42,0.42,0.44,0.44,95.38,95.38,FIRM
D,TRADING,PRICE,2,"2020/01/04 22:00:00",1,SA1,44,17.67,0,0,"2020/01/04 21:55:04",17.67,47.2,47.2,19.12,19.12,1.4,1.4,106.79,106.79,142.94,142.94,0.42,0.42,0.44,0.44,95.38,95.38,FIRM
D,TRADING,PRICE,2,"2020/01/04 22:00:00",1,QLD1,44,49.47,0,0,"2020/01/04 21:55:04",49.47,94.7,94.7,129.04,129.04,53.2,53.2,68.78,68.78,23.49,23.49,1.66,1.66,32.36,32.36,32.36,32.36,FIRM
D,TRADING,PRICE,2,"2020/01/04 22:00:00",1,TAS1,44,112.42,0,0,"2020/01/04 21:55:04",112.42,47.2,47.2,19.12,19.12,0.95,0.95,90.77,90.77,48,48,0.42,0.42,0.39,0.39,95.33,95.33,FIRM
D,TRADING,PRICE,2,"2020/01/04 22:30:00",1,NSW1,45,62.4,0,0,"2020/01/04 22:25:03",62.4,52.2,52.2,71.21,71.21,22.45,22.45,44.66,44.66,19.37,19.37,1.86,1.86,12.27,12.27,16.63,16.63,FIRM
D,TRADING,PRICE,2,"2020/01/04 22:30:00",1,VIC1,45,15.11,0,0,"2020/01/04 22:25:03",15.11,26,26,17.25,17.25,2.27,2.27,72.06,72.06,106.72,106.72,0.34,0.34,0.4,0.4,71.97,71.97,FIRM
D,TRADING,PRICE,2,"2020/01/04 22:30:00",1,SA1,45,15.13,0,0,"2020/01/04 22:25:03",15.13,26,26,17.25,17.25,2.27,2.27,72.06,72.06,106.72,106.72,0.34,0.34,0.4,0.4,71.97,71.97,FIRM
D,TRADING,PRICE,2,"2020/01/04 22:30:00",1,QLD1,45,63.69,0,0,"2020/01/04 22:25:03",63.69,52.2,52.2,71.21,71.21,22.45,22.45,44.66,44.66,19.37,19.37,1.86,1.86,12.27,12.27,16.63,16.63,FIRM
D,TRADING,PRICE,2,"2020/01/04 22:30:00",1,TAS1,45,100.72,0,0,"2020/01/04 22:25:03",100.72,28.04,28.04,17.46,17.46,2.35,2.35,49.93,49.93,32.04,32.04,0.22,0.22,0.13,0.13,71.71,71.71,FIRM
D,TRADING,PRICE,2,"2020/01/04 23:00:00",1,NSW1,46,44.31,0,0,"2020/01/04 22:55:03",44.31,3.93,3.93,2.78,2.78,0.49,0.49,35.02,35.02,0.1,0.1,0.19,0.19,0.19,0.19,16.85,16.85,FIRM
D,TRADING,PRICE,2,"2020/01/04 23:00:00",1,VIC1,46,20.2,0,0,"2020/01/04 22:55:03",20.2,3.93,3.93,2.78,2.78,0.49,0.49,35.02,35.02,0.1,0.1,0.19,0.19,0.19,0.19,16.85,16.85,FIRM
D,TRADING,PRICE,2,"2020/01/04 23:00:00",1,SA1,46,19.69,0,0,"2020/01/04 22:55:03",19.69,3.93,3.93,2.78,2.78,0.49,0.49,35.02,35.02,0.1,0.1,0.19,0.19,0.19,0.19,16.85,16.85,FIRM
D,TRADING,PRICE,2,"2020/01/04 23:00:00",1,QLD1,46,44.95,0,0,"2020/01/04 22:55:03",44.95,3.93,3.93,2.78,2.78,0.49,0.49,35.02,35.02,0.1,0.1,0.19,0.19,0.19,0.19,16.85,16.85,FIRM
D,TRADING,PRICE,2,"2020/01/04 23:00:00",1,TAS1,46,89.39,0,0,"2020/01/04 22:55:03",89.39,6.63,6.63,2.78,2.78,0.7,0.7,25.03,25.03,0.01,0.01,0.01,0.01,0.02,0.02,14.25,14.25,FIRM
D,TRADING,PRICE,2,"2020/01/05 00:00:00",1,NSW1,48,42.98,0,0,"2020/01/04 23:55:03",42.98,2.58,2.58,2.8,2.8,0.6,0.6,46.99,46.99,0.35,0.35,0.19,0.19,0.24,0.24,20.35,20.35,FIRM
D,TRADING,PRICE,2,"2020/01/05 00:00:00",1,VIC1,48,40.43,0,0,"2020/01/04 23:55:03",40.43,2.58,2.58,2.8,2.8,0.6,0.6,46.99,46.99,0.35,0.35,0.19,0.19,0.24,0.24,20.35,20.35,FIRM
D,TRADING,PRICE,2,"2020/01/05 00:00:00",1,SA1,48,40.09,0,0,"2020/01/04 23:55:03",40.09,2.58,2.58,2.8,2.8,0.6,0.6,46.99,46.99,0.35,0.35,0.19,0.19,0.24,0.24,20.35,20.35,FIRM
D,TRADING,PRICE,2,"2020/01/05 00:00:00",1,QLD1,48,42.41,0,0,"2020/01/04 23:55:03",42.41,2.58,2.58,2.8,2.8,0.6,0.6,46.99,46.99,0.35,0.35,0.19,0.19,0.24,0.24,20.35,20.35,FIRM
D,TRADING,PRICE,2,"2020/01/05 00:00:00",1,TAS1,48,80.09,0,0,"2020/01/04 23:55:03",80.09,7.17,7.17,3.16,3.16,0.7,0.7,17.5,17.5,0,0,0,0,0,0,14,14,FIRM
D,TRADING,PRICE,2,"2020/01/05 00:30:00",1,NSW1,1,43.06,0,0,"2020/01/05 00:25:03",43.06,1.92,1.92,2.8,2.8,0.7,0.7,34.69,34.69,0.3,0.3,0.19,0.19,0.23,0.23,14.96,14.96,FIRM
D,TRADING,PRICE,2,"2020/01/05 00:30:00",1,VIC1,1,31.73,0,0,"2020/01/05 00:25:03",31.73,1.92,1.92,2.8,2.8,0.7,0.7,34.69,34.69,0.3,0.3,0.19,0.19,0.23,0.23,14.96,14.96,FIRM
D,TRADING,PRICE,2,"2020/01/05 00:30:00",1,SA1,1,31.53,0,0,"2020/01/05 00:25:03",31.53,1.92,1.92,2.8,2.8,0.7,0.7,34.69,34.69,0.3,0.3,0.19,0.19,0.23,0.23,14.96,14.96,FIRM
D,TRADING,PRICE,2,"2020/01/05 00:30:00",1,QLD1,1,43.22,0,0,"2020/01/05 00:25:03",43.22,1.92,1.92,2.8,2.8,0.7,0.7,34.69,34.69,0.3,0.3,0.19,0.19,0.23,0.23,14.96,14.96,FIRM
D,TRADING,PRICE,2,"2020/01/01 15:30:00",1,NSW1,31,42.72,0,0,"2020/01/01 15:25:03",42.72,1.74,1.74,2.67,2.67,0.25,0.25,50.52,50.52,0.28,0.28,0.42,0.42,0.77,0.77,24.74,24.74,FIRM
D,TRADING,PRICE,2,"2020/01/01 15:30:00",1,VIC1,31,37.34,0,0,"2020/01/01 15:25:03",37.34,1.74,1.74,2.67,2.67,0.25,0.25,50.52,50.52,0.28,0.28,0.42,0.42,0.77,0.77,24.74,24.74,FIRM
D,TRADING,PRICE,2,"2020/01/01 15:30:00",1,SA1,31,36.66,0,0,"2020/01/01 15:25:03",36.66,1.74,1.74,2.67,2.67,0.25,0.25,50.52,50.52,0.28,0.28,0.42,0.42,0.77,0.77,24.74,24.74,FIRM
D,TRADING,PRICE,2,"2020/01/01 15:30:00",1,QLD1,31,43.74,0,0,"2020/01/01 15:25:03",43.74,1.74,1.74,2.67,2.67,0.25,0.25,50.52,50.52,0.28,0.28,0.42,0.42,0.77,0.77,24.74,24.74,FIRM
D,TRADING,PRICE,2,"2020/01/01 15:30:00",1,TAS1,31,70.42,0,0,"2020/01/01 15:25:03",70.42,19,19,6.33,6.33,0.7,0.7,17.5,17.5,0,0,0.01,0.01,0,0,14.48,14.48,FIRM
D,TRADING,PRICE,2,"2020/01/01 16:30:00",1,NSW1,33,56.6,0,0,"2020/01/01 16:25:03",56.6,4.33,4.33,5.61,5.61,0.49,0.49,54.75,54.75,0.07,0.07,0.32,0.32,0.6,0.6,22.89,22.89,FIRM
D,TRADING,PRICE,2,"2020/01/01 16:30:00",1,VIC1,33,53.01,0,0,"2020/01/01 16:25:03",53.01,4.33,4.33,5.61,5.61,0.49,0.49,54.75,54.75,0.07,0.07,0.32,0.32,0.6,0.6,22.89,22.89,FIRM
D,TRADING,PRICE,2,"2020/01/01 16:30:00",1,SA1,33,52.86,0,0,"2020/01/01 16:25:03",52.86,4.33,4.33,5.61,5.61,0.49,0.49,54.75,54.75,0.07,0.07,0.32,0.32,0.6,0.6,22.89,22.89,FIRM
D,TRADING,PRICE,2,"2020/01/01 16:30:00",1,QLD1,33,59.74,0,0,"2020/01/01 16:25:03",59.74,4.33,4.33,5.61,5.61,0.49,0.49,54.75,54.75,0.07,0.07,0.32,0.32,0.6,0.6,22.89,22.89,FIRM
D,TRADING,PRICE,2,"2020/01/01 16:30:00",1,TAS1,33,70.42,0,0,"2020/01/01 16:25:03",70.42,39.5,39.5,5.65,5.65,0.7,0.7,13.45,13.45,0.01,0.01,0.02,0.02,0.02,0.02,22.3,22.3,FIRM
D,TRADING,PRICE,2,"2020/01/01 17:30:00",1,NSW1,35,56.88,0,0,"2020/01/01 17:25:03",56.88,16.52,16.52,13,13,0.89,0.89,54.35,54.35,0.04,0.04,0.19,0.19,0.27,0.27,20.77,20.77,FIRM
D,TRADING,PRICE,2,"2020/01/01 17:30:00",1,VIC1,35,55.12,0,0,"2020/01/01 17:25:03",55.12,16.52,16.52,13,13,0.89,0.89,54.35,54.35,0.04,0.04,0.19,0.19,0.27,0.27,20.77,20.77,FIRM
D,TRADING,PRICE,2,"2020/01/01 17:30:00",1,SA1,35,53.8,0,0,"2020/01/01 17:25:03",53.8,16.52,16.52,13,13,0.89,0.89,54.35,54.35,0.04,0.04,0.19,0.19,0.27,0.27,20.77,20.77,FIRM
D,TRADING,PRICE,2,"2020/01/01 17:30:00",1,QLD1,35,61.47,0,0,"2020/01/01 17:25:03",61.47,16.52,16.52,13,13,0.89,0.89,54.35,54.35,0.04,0.04,0.19,0.19,0.27,0.27,20.77,20.77,FIRM
D,TRADING,PRICE,2,"2020/01/01 17:30:00",1,TAS1,35,58.61,0,0,"2020/01/01 17:25:03",58.61,60,60,13,13,0.89,0.89,0.89,0.89,0.04,0.04,0.14,0.14,0.12,0.12,20.62,20.62,FIRM
D,TRADING,PRICE,2,"2020/01/01 18:00:00",1,NSW1,36,60.02,0,0,"2020/01/01 17:55:04",60.02,20.22,20.22,13,13,0.89,0.89,67.38,67.38,0.04,0.04,0.19,0.19,0.17,0.17,21.36,21.36,FIRM
D,TRADING,PRICE,2,"2020/01/01 18:00:00",1,VIC1,36,59.04,0,0,"2020/01/01 17:55:04",59.04,20.22,20.22,13,13,0.89,0.89,67.38,67.38,0.04,0.04,0.19,0.19,0.17,0.17,21.36,21.36,FIRM
D,TRADING,PRICE,2,"2020/01/01 18:00:00",1,SA1,36,58.09,0,0,"2020/01/01 17:55:04",58.09,20.22,20.22,13,13,0.89,0.89,67.38,67.38,0.04,0.04,0.19,0.19,0.17,0.17,21.36,21.36,FIRM
D,TRADING,PRICE,2,"2020/01/01 18:00:00",1,QLD1,36,73.68,0,0,"2020/01/01 17:55:04",73.68,20.22,20.22,13,13,0.89,0.89,67.38,67.38,0.04,0.04,0.19,0.19,0.17,0.17,21.36,21.36,FIRM
D,TRADING,PRICE,2,"2020/01/01 18:00:00",1,TAS1,36,61.32,0,0,"2020/01/01 17:55:04",61.32,60,60,13,13,0.89,0.89,0.89,0.89,0.04,0.04,0.19,0.19,0.17,0.17,21.24,21.24,FIRM
D,TRADING,PRICE,2,"2020/01/02 17:00:00",1,NSW1,34,79.43,0,0,"2020/01/02 16:55:04",79.43,23.55,23.55,14.9,14.9,0.86,0.86,44.83,44.83,0.03,0.03,0.14,0.14,0.11,0.11,19.91,19.91,FIRM
D,TRADING,PRICE,2,"2020/01/02 17:00:00",1,VIC1,34,86.66,0,0,"2020/01/02 16:55:04",86.66,23.55,23.55,14.9,14.9,0.86,0.86,44.83,44.83,0.03,0.03,0.14,0.14,0.11,0.11,19.91,19.91,FIRM
D,TRADING,PRICE,2,"2020/01/02 17:00:00",1,SA1,34,88.46,0,0,"2020/01/02 16:55:04",88.46,23.55,23.55,14.9,14.9,0.86,0.86,44.83,44.83,0.03,0.03,0.14,0.14,0.11,0.11,19.91,19.91,FIRM
D,TRADING,PRICE,2,"2020/01/02 17:00:00",1,QLD1,34,79.74,0,0,"2020/01/02 16:55:04",79.74,23.55,23.55,14.9,14.9,0.86,0.86,44.83,44.83,0.03,0.03,0.14,0.14,0.11,0.11,19.91,19.91,FIRM
D,TRADING,PRICE,2,"2020/01/02 17:00:00",1,TAS1,34,52.74,0,0,"2020/01/02 16:55:04",52.74,13.48,13.48,1.99,1.99,0.76,0.76,7.76,7.76,0.02,0.02,0.08,0.08,0.07,0.07,26.2,26.2,FIRM
D,TRADING,PRICE,2,"2020/01/03 03:30:00",1,NSW1,7,49.59,0,0,"2020/01/03 03:25:04",49.59,1.91,1.91,2.51,2.51,0.84,0.84,34.11,34.11,5.99,5.99,0.57,0.57,4.01,4.01,19.41,19.41,FIRM
