C,SETP.WORLD,DVD_TRADINGPRICE,AEMO,PUBLIC,2018/05/08,02:25:02,0000000294579381,,0000000294579167
I,TRADING,PRICE,2,SETTLEMENTDATE,RUNNO,REGIONID,PERIODID,RRP,EEP,INVALIDFLAG,LASTCHANGED,ROP,RAISE6SECRRP,RAISE6SECROP,RAISE60SECRRP,RAISE60SECROP,RAISE5MINRRP,RAISE5MINROP,RAISEREGRRP,RAISEREGROP,LOWER6SECRRP,LOWER6SECROP,LOWER60SECRRP,LOWER60SECROP,LOWER5MINRRP,LOWER5MINROP,LOWERREGRRP,LOWERREGROP,PRICE_STATUS
D,TRADING,PRICE,2,"2018/04/01 00:30:00",1,NSW1,1,66.61,0,0,"2018/04/01 00:25:06",66.61,19.99,19.99,18.8,18.8,4.02,4.02,25.86,25.86,0.03,0.03,0.14,0.14,0.19,0.19,17.49,17.49,FIRM
D,TRADING,PRICE,2,"2018/04/01 00:30:00",1,QLD1,1,58.46,0,0,"2018/04/01 00:25:06",58.46,19.99,19.99,18.8,18.8,4.02,4.02,25.86,25.86,0.03,0.03,0.14,0.14,0.19,0.19,17.49,17.49,FIRM
D,TRADING,PRICE,2,"2018/04/01 00:30:00",1,SA1,1,108.16,0,0,"2018/04/01 00:25:06",108.16,19.99,19.99,18.8,18.8,4.02,4.02,25.86,25.86,0.03,0.03,0.14,0.14,0.19,0.19,17.49,17.49,FIRM
D,TRADING,PRICE,2,"2018/04/01 00:30:00",1,TAS1,1,76.94,0,0,"2018/04/01 00:25:06",76.94,9,9,3,3,5.9,5.9,14.8,14.8,0.12,0.12,0.18,0.18,0.17,0.17,10,10,FIRM
D,TRADING,PRICE,2,"2018/04/01 00:30:00",1,VIC1,1,87.84,0,0,"2018/04/01 00:25:06",87.84,19.99,19.99,18.8,18.8,4.02,4.02,25.86,25.86,0.03,0.03,0.14,0.14,0.19,0.19,17.49,17.49,FIRM
D,TRADING,PRICE,2,"2018/04/01 01:00:00",1,NSW1,2,59.82,0,0,"2018/04/01 00:55:06",59.82,20.42,20.42,18.5,18.5,3.87,3.87,19.33,19.33,0.03,0.03,0.14,0.14,0.19,0.19,16.86,16.86,FIRM
D,TRADING,PRICE,2,"2018/04/01 01:00:00",1,QLD1,2,53.04,0,0,"2018/04/01 00:55:06",53.04,20.42,20.42,18.5,18.5,3.87,3.87,19.33,19.33,0.03,0.03,0.14,0.14,0.19,0.19,16.86,16.86,FIRM
D,TRADING,PRICE,2,"2018/04/01 01:00:00",1,SA1,2,119.09,0,0,"2018/04/01 00:55:06",119.09,20.42,20.42,18.5,18.5,3.87,3.87,19.33,19.33,0.03,0.03,0.14,0.14,0.19,0.19,16.86,16.86,FIRM
D,TRADING,PRICE,2,"2018/04/01 01:00:00",1,TAS1,2,73.35,0,0,"2018/04/01 00:55:06",73.35,9,9,2.9,2.9,4.65,4.65,14.8,14.8,0.12,0.12,0.18,0.18,0.17,0.17,10,10,FIRM
D,TRADING,PRICE,2,"2018/04/01 01:00:00",1,VIC1,2,80.19,0,0,"2018/04/01 00:55:06",80.19,20.42,20.42,18.5,18.5,3.87,3.87,19.33,19.33,0.03,0.03,0.14,0.14,0.19,0.19,16.86,16.86,FIRM
