C,SETP.WORLD,DVD_TRADINGPRICE,AEMO,PUBLIC,2020/07/09,00:15:05,0000000325430074,,0000000325429872
I,TRADING,PRICE,2,SETTLEMENTDATE,RUNNO,REGIONID,PERIODID,RRP,EEP,INVALIDFLAG,LASTCHANGED,ROP,RAISE6SECRRP,RAISE6SECROP,RAISE60SECRRP,RAISE60SECROP,RAISE5MINRRP,RAISE5MINROP,RAISEREGRRP,RAISEREGROP,LOWER6SECRRP,LOWER6SECROP,LOWER60SECRRP,LOWER60SECROP,LOWER5MINRRP,LOWER5MINROP,LOWERREGRRP,LOWERREGROP,PRICE_STATUS
D,TRADING,PRICE,2,"2020/06/01 11:30:00",1,NSW1,23,34.34,0,0,"2020/06/01 11:25:05",34.34,6.19,6.19,4.51,4.51,1.49,1.49,27.21,27.21,0.06,0.06,2.34,2.34,2.46,2.46,9.85,9.85,FIRM
D,TRADING,PRICE,2,"2020/06/01 11:30:00",1,VIC1,23,35.15,0,0,"2020/06/01 11:25:05",35.15,6.19,6.19,4.51,4.51,1.49,1.49,27.21,27.21,0.06,0.06,2.34,2.34,2.46,2.46,9.85,9.85,FIRM
D,TRADING,PRICE,2,"2020/06/01 11:30:00",1,SA1,23,32.4,0,0,"2020/06/01 11:25:05",32.4,6.19,6.19,4.51,4.51,1.49,1.49,27.21,27.21,0.06,0.06,2.34,2.34,2.46,2.46,9.85,9.85,FIRM
D,TRADING,PRICE,2,"2020/06/01 11:30:00",1,QLD1,23,20.69,0,0,"2020/06/01 11:25:05",20.69,6.19,6.19,4.51,4.51,1.49,1.49,27.21,27.21,10.4,10.4,3.8,3.8,2.46,2.46,9.85,9.85,FIRM
D,TRADING,PRICE,2,"2020/06/01 11:30:00",1,TAS1,23,24.91,0,0,"2020/06/01 11:25:05",24.91,32.72,32.72,0.61,0.61,1.49,1.49,1.49,1.49,0.06,0.06,2.34,2.34,2.46,2.46,9.85,9.85,FIRM
D,TRADING,PRICE,2,"2020/06/01 13:00:00",1,NSW1,26,34.3,0,0,"2020/06/01 12:55:03",34.3,1.76,1.76,1.85,1.85,0.95,0.95,20.85,20.85,0.2,0.2,1.94,1.94,1.81,1.81,7.26,7.26,FIRM
D,TRADING,PRICE,2,"2020/06/01 13:00:00",1,VIC1,26,35.42,0,0,"2020/06/01 12:55:03",35.42,1.76,1.76,1.85,1.85,0.95,0.95,20.85,20.85,0.2,0.2,1.94,1.94,1.81,1.81,7.26,7.26,FIRM
D,TRADING,PRICE,2,"2020/06/01 13:00:00",1,SA1,26,31.38,0,0,"2020/06/01 12:55:03",31.38,1.76,1.76,1.85,1.85,0.95,0.95,20.85,20.85,0.2,0.2,1.94,1.94,1.81,1.81,7.26,7.26,FIRM
D,TRADING,PRICE,2,"2020/06/01 13:00:00",1,QLD1,26,23.77,0,0,"2020/06/01 12:55:03",23.77,1.76,1.76,1.85,1.85,0.95,0.95,20.85,20.85,7.59,7.59,3.27,3.27,1.81,1.81,7.26,7.26,FIRM
D,TRADING,PRICE,2,"2020/06/01 13:00:00",1,TAS1,26,35.79,0,0,"2020/06/01 12:55:03",35.79,53.72,53.72,1.54,1.54,0.95,0.95,0.95,0.95,0.2,0.2,1.94,1.94,1.81,1.81,7.26,7.26,FIRM
D,TRADING,PRICE,2,"2020/06/01 22:30:00",1,NSW1,45,38.01,0,0,"2020/06/01 22:25:03",38.01,4.29,4.29,1.81,1.81,0.98,0.98,12.72,12.72,0.08,0.08,1.08,1.08,1.12,1.12,6.23,6.23,FIRM
D,TRADING,PRICE,2,"2020/06/01 22:30:00",1,VIC1,45,37.29,0,0,"2020/06/01 22:25:03",37.29,4.29,4.29,1.81,1.81,0.98,0.98,12.72,12.72,0.08,0.08,1.08,1.08,1.12,1.12,6.23,6.23,FIRM
D,TRADING,PRICE,2,"2020/06/01 22:30:00",1,SA1,45,37.89,0,0,"2020/06/01 22:25:03",37.89,4.29,4.29,1.81,1.81,0.98,0.98,12.72,12.72,0.08,0.08,1.08,1.08,1.12,1.12,6.23,6.23,FIRM
D,TRADING,PRICE,2,"2020/06/01 22:30:00",1,QLD1,45,36.91,0,0,"2020/06/01 22:25:03",36.91,4.29,4.29,1.81,1.81,0.98,0.98,12.72,12.72,0.08,0.08,1.08,1.08,1.12,1.12,6.23,6.23,FIRM
D,TRADING,PRICE,2,"2020/06/01 22:30:00",1,TAS1,45,35.33,0,0,"2020/06/01 22:25:03",35.33,4.29,4.29,1.81,1.81,0.98,0.98,12.72,12.72,0.08,0.08,0.81,0.81,1.12,1.12,6.23,6.23,FIRM
D,TRADING,PRICE,2,"2020/06/02 00:30:00",1,NSW1,1,38.11,0,0,"2020/06/02 00:25:03",38.11,3.03,3.03,1.9,1.9,1.02,1.02,10.11,10.11,0.29,0.29,1.87,1.87,1.78,1.78,5.59,5.59,FIRM
D,TRADING,PRICE,2,"2020/06/02 00:30:00",1,VIC1,1,36.27,0,0,"2020/06/02 00:25:03",36.27,3.03,3.03,1.9,1.9,1.02,1.02,10.11,10.11,0.29,0.29,1.87,1.87,1.78,1.78,5.59,5.59,FIRM
D,TRADING,PRICE,2,"2020/06/02 00:30:00",1,SA1,1,36.89,0,0,"2020/06/02 00:25:03",36.89,3.03,3.03,1.9,1.9,1.02,1.02,10.11,10.11,0.29,0.29,1.87,1.87,1.78,1.78,5.59,5.59,FIRM
D,TRADING,PRICE,2,"2020/06/02 00:30:00",1,QLD1,1,37.25,0,0,"2020/06/02 00:25:03",37.25,3.03,3.03,1.9,1.9,1.02,1.02,10.11,10.11,0.29,0.29,1.87,1.87,1.78,1.78,5.59,5.59,FIRM
D,TRADING,PRICE,2,"2020/06/02 00:30:00",1,TAS1,1,36.02,0,0,"2020/06/02 00:25:03",36.02,3.03,3.03,1.9,1.9,1.02,1.02,10.11,10.11,0.29,0.29,0.57,0.57,1.47,1.47,5.28,5.28,FIRM
