C,SETP.WORLD,DVD_TRADINGPRICE,AEMO,PUBLIC,2020/12/08,03:05:07,0000000332915010,,0000000332914807
I,TRADING,PRICE,2,SETTLEMENTDATE,RUNNO,REGIONID,PERIODID,RRP,EEP,INVALIDFLAG,LASTCHANGED,ROP,RAISE6SECRRP,RAISE6SECROP,RAISE60SECRRP,RAISE60SECROP,RAISE5MINRRP,RAISE5MINROP,RAISEREGRRP,RAISEREGROP,LOWER6SECRRP,LOWER6SECROP,LOWER60SECRRP,LOWER60SECROP,LOWER5MINRRP,LOWER5MINROP,LOWERREGRRP,LOWERREGROP,PRICE_STATUS
D,TRADING,PRICE,2,"2020/11/10 00:00:00",1,QLD1,48,40.8,0,0,"2020/11/09 23:55:04",40.8,3.01,3.01,1.96,1.96,0.21,0.21,15.81,15.81,0.97,0.97,3.19,3.19,1.17,1.17,7.54,7.54,FIRM
D,TRADING,PRICE,2,"2020/11/10 00:00:00",1,TAS1,48,50.92,0,0,"2020/11/09 23:55:04",50.92,3.55,3.55,4.49,4.49,1.88,1.88,2.63,2.63,0.95,0.95,0.85,0.85,0.68,0.68,7.05,7.05,FIRM
D,TRADING,PRICE,2,"2020/11/10 01:00:00",1,NSW1,2,39.62,0,0,"2020/11/10 00:55:03",39.62,1.64,1.64,1.53,1.53,0,0,12.61,12.61,2.02,2.02,4.86,4.86,1.18,1.18,4.16,4.16,FIRM
D,TRADING,PRICE,2,"2020/11/10 01:00:00",1,VIC1,2,34.13,0,0,"2020/11/10 00:55:03",34.13,1.64,1.64,1.53,1.53,0,0,12.61,12.61,2.02,2.02,4.86,4.86,1.18,1.18,4.16,4.16,FIRM
D,TRADING,PRICE,2,"2020/11/10 01:00:00",1,SA1,2,31.74,0,0,"2020/11/10 00:55:03",31.74,1.64,1.64,1.53,1.53,0,0,12.61,12.61,2.02,2.02,4.86,4.86,1.18,1.18,4.16,4.16,FIRM
D,TRADING,PRICE,2,"2020/11/10 01:00:00",1,QLD1,2,39.68,0,0,"2020/11/10 00:55:03",39.68,1.64,1.64,1.53,1.53,0,0,12.61,12.61,2.02,2.02,4.86,4.86,1.18,1.18,4.16,4.16,FIRM
D,TRADING,PRICE,2,"2020/11/10 01:00:00",1,TAS1,2,49.96,0,0,"2020/11/10 00:55:03",49.96,4.98,4.98,4.49,4.49,1.55,1.55,7.56,7.56,0.55,0.55,0.09,0.09,0.3,0.3,3.28,3.28,FIRM
D,TRADING,PRICE,2,"2020/11/10 16:30:00",1,NSW1,33,48.62,0,0,"2020/11/10 16:25:04",48.62,6.44,6.44,3.47,3.47,0.56,0.56,19.82,19.82,0.1,0.1,0.9,0.9,0.62,0.62,8.05,8.05,FIRM
D,TRADING,PRICE,2,"2020/11/10 16:30:00",1,VIC1,33,54.87,0,0,"2020/11/10 16:25:04",54.87,6.44,6.44,3.47,3.47,0.56,0.56,19.82,19.82,0.1,0.1,0.9,0.9,0.62,0.62,8.05,8.05,FIRM
D,TRADING,PRICE,2,"2020/11/10 16:30:00",1,SA1,33,50.35,0,0,"2020/11/10 16:25:04",50.35,6.44,6.44,3.47,3.47,0.56,0.56,19.82,19.82,0.1,0.1,0.9,0.9,0.62,0.62,8.05,8.05,FIRM
