C,SETP.WORLD,DVD_TRADINGPRICE,AEMO,PUBLIC,2019/05/01,01:50:09,0000000307294742,,0000000307294547
I,TRADING,PRICE,2,SETTLEMENTDATE,RUNNO,REGIONID,PERIODID,RRP,EEP,INVALIDFLAG,LASTCHANGED,ROP,RAISE6SECRRP,RAISE6SECROP,RAISE60SECRRP,RAISE60SECROP,RAISE5MINRRP,RAISE5MINROP,RAISEREGRRP,RAISEREGROP,LOWER6SECRRP,LOWER6SECROP,LOWER60SECRRP,LOWER60SECROP,LOWER5MINRRP,LOWER5MINROP,LOWERREGRRP,LOWERREGROP,PRICE_STATUS
D,TRADING,PRICE,2,"2019/03/01 00:30:00",1,NSW1,1,93.26,0,0,"2019/03/01 00:25:04",93.26,2,2,2.95,2.95,8.82,8.82,8.84,8.84,0.02,0.02,0.07,0.07,0.36,0.36,13.78,13.78,FIRM
D,TRADING,PRICE,2,"2019/03/01 00:30:00",1,QLD1,1,61.01,0,0,"2019/03/01 00:25:04",61.01,2,2,2.95,2.95,8.82,8.82,8.84,8.84,0.02,0.02,0.07,0.07,0.36,0.36,13.78,13.78,FIRM
D,TRADING,PRICE,2,"2019/03/01 00:30:00",1,SA1,1,128.47,0,0,"2019/03/01 00:25:04",128.47,2,2,2.95,2.95,8.82,8.82,8.84,8.84,0.02,0.02,0.07,0.07,0.36,0.36,13.78,13.78,FIRM
D,TRADING,PRICE,2,"2019/03/01 00:30:00",1,TAS1,1,108.75,0,0,"2019/03/01 00:25:04",108.75,2,2,2.95,2.95,8.9,8.9,8.93,8.93,0.02,0.02,0.05,0.05,0.06,0.06,1.04,1.04,FIRM
D,TRADING,PRICE,2,"2019/03/01 00:30:00",1,VIC1,1,112.17,0,0,"2019/03/01 00:25:04",112.17,2,2,2.95,2.95,8.82,8.82,8.84,8.84,0.02,0.02,0.07,0.07,0.36,0.36,13.78,13.78,FIRM
D,TRADING,PRICE,2,"2019/03/01 01:00:00",1,NSW1,2,99.03,0,0,"2019/03/01 00:55:04",99.03,3.9,3.9,5.42,5.42,8.75,8.75,10.8,10.8,0.03,0.03,0.09,0.09,0.49,0.49,17.29,17.29,FIRM
D,TRADING,PRICE,2,"2019/03/01 01:00:00",1,QLD1,2,58.83,0,0,"2019/03/01 00:55:04",58.83,3.9,3.9,5.42,5.42,8.75,8.75,10.8,10.8,0.03,0.03,0.09,0.09,0.49,0.49,17.29,17.29,FIRM
D,TRADING,PRICE,2,"2019/03/01 01:00:00",1,SA1,2,128.46,0,0,"2019/03/01 00:55:04",128.46,3.9,3.9,5.42,5.42,8.75,8.75,10.8,10.8,0.03,0.03,0.09,0.09,0.49,0.49,17.29,17.29,FIRM
D,TRADING,PRICE,2,"2019/03/01 01:00:00",1,TAS1,2,126.07,0,0,"2019/03/01 00:55:04",126.07,2,2,2.95,2.95,8.91,8.91,8.95,8.95,0.02,0.02,0.07,0.07,0.26,0.26,13.67,13.67,FIRM
D,TRADING,PRICE,2,"2019/03/01 01:00:00",1,VIC1,2,112.75,0,0,"2019/03/01 00:55:04",112.75,3.9,3.9,5.42,5.42,8.75,8.75,10.8,10.8,0.03,0.03,0.09,0.09,0.49,0.49,17.29,17.29,FIRM
