C,SETP.WORLD,DVD_TRADINGPRICE,AEMO,PUBLIC,2018/11/08,01:45:03,0000000300863837,,0000000300863652
I,TRADING,PRICE,2,SETTLEMENTDATE,RUNNO,REGIONID,PERIODID,RRP,EEP,INVALIDFLAG,LASTCHANGED,ROP,RAISE6SECRRP,RAISE6SECROP,RAISE60SECRRP,RAISE60SECROP,RAISE5MINRRP,RAISE5MINROP,RAISEREGRRP,RAISEREGROP,LOWER6SECRRP,LOWER6SECROP,LOWER60SECRRP,LOWER60SECROP,LOWER5MINRRP,LOWER5MINROP,LOWERREGRRP,LOWERREGROP,PRICE_STATUS
D,TRADING,PRICE,2,"2018/10/01 00:30:00",1,NSW1,1,60.85,0,0,"2018/10/01 00:25:05",60.85,1.71,1.71,1.69,1.69,5.65,5.65,5.65,5.65,0.03,0.03,0.07,0.07,0.32,0.32,4.84,4.84,FIRM
D,TRADING,PRICE,2,"2018/10/01 00:30:00",1,QLD1,1,56.58,0,0,"2018/10/01 00:25:05",56.58,1.71,1.71,1.69,1.69,5.65,5.65,5.65,5.65,0.03,0.03,0.07,0.07,0.32,0.32,4.84,4.84,FIRM
D,TRADING,PRICE,2,"2018/10/01 00:30:00",1,SA1,1,117.46,0,0,"2018/10/01 00:25:05",117.46,1.71,1.71,1.69,1.69,5.65,5.65,5.65,5.65,0.03,0.03,0.07,0.07,0.32,0.32,4.84,4.84,FIRM
D,TRADING,PRICE,2,"2018/10/01 00:30:00",1,TAS1,1,124.04,0,0,"2018/10/01 00:25:05",124.04,1.71,1.71,1.83,1.83,5.65,5.65,5.65,5.65,0.03,0.03,0.06,0.06,0.06,0.06,4.58,4.58,FIRM
D,TRADING,PRICE,2,"2018/10/01 00:30:00",1,VIC1,1,129.41,0,0,"2018/10/01 00:25:05",129.41,1.71,1.71,1.69,1.69,5.65,5.65,5.65,5.65,0.03,0.03,0.07,0.07,0.32,0.32,4.84,4.84,FIRM
D,TRADING,PRICE,2,"2018/10/01 01:00:00",1,NSW1,2,60.34,0,0,"2018/10/01 00:55:05",60.34,1.5,1.5,1.38,1.38,9,9,9,9,0.03,0.03,0.1,0.1,0.32,0.32,4.99,4.99,FIRM
D,TRADING,PRICE,2,"2018/10/01 01:00:00",1,QLD1,2,55.17,0,0,"2018/10/01 00:55:05",55.17,1.5,1.5,1.38,1.38,9,9,9,9,0.03,0.03,0.1,0.1,0.32,0.32,4.99,4.99,FIRM
D,TRADING,PRICE,2,"2018/10/01 01:00:00",1,SA1,2,116.53,0,0,"2018/10/01 00:55:05",116.53,1.5,1.5,1.38,1.38,9,9,9,9,0.03,0.03,0.1,0.1,0.32,0.32,4.99,4.99,FIRM
D,TRADING,PRICE,2,"2018/10/01 01:00:00",1,TAS1,2,125.41,0,0,"2018/10/01 00:55:05",125.41,2.99,2.99,2.22,2.22,9.57,9.57,9.98,9.98,0.03,0.03,0.06,0.06,0.06,0.06,4.64,4.64,FIRM
D,TRADING,PRICE,2,"2018/10/01 01:00:00",1,VIC1,2,127.39,0,0,"2018/10/01 00:55:05",127.39,1.5,1.5,1.38,1.38,9,9,9,9,0.03,0.03,0.1,0.1,0.32,0.32,4.99,4.99,FIRM
D,TRADING,PRICE,2,"2018/10/01 01:30:00",1,NSW1,3,60.76,0,0,"2018/10/01 01:25:05",60.76,1.7,1.7,1.43,1.43,8.44,8.44,8.44,8.44,0.03,0.03,0.13,0.13,0.45,0.45,11.09,11.09,FIRM
D,TRADING,PRICE,2,"2018/10/01 01:30:00",1,QLD1,3,55.61,0,0,"2018/10/01 01:25:05",55.61,1.7,1.7,1.43,1.43,8.44,8.44,8.44,8.44,0.03,0.03,0.13,0.13,0.45,0.45,11.09,11.09,FIRM
D,TRADING,PRICE,2,"2018/10/01 01:30:00",1,SA1,3,75.23,0,0,"2018/10/01 01:25:05",75.23,1.7,1.7,1.43,1.43,8.44,8.44,8.44,8.44,0.03,0.03,0.13,0.13,0.45,0.45,11.09,11.09,FIRM
D,TRADING,PRICE,2,"2018/10/01 01:30:00",1,TAS1,3,80.9,0,0,"2018/10/01 01:25:05",80.9,1.7,1.7,1.69,1.69,8.95,8.95,8.95,8.95,0.03,0.03,0.05,0.05,0.06,0.06,10.7,10.7,FIRM
D,TRADING,PRICE,2,"2018/10/01 01:30:00",1,VIC1,3,82.63,0,0,"2018/10/01 01:25:05",82.63,1.7,1.7,1.43,1.43,8.44,8.44,8.44,8.44,0.03,0.03,0.13,0.13,0.45,0.45,11.09,11.09,FIRM
D,TRADING,PRICE,2,"2018/10/01 02:00:00",1,NSW1,4,61.06,0,0,"2018/10/01 01:55:04",61.06,2.39,2.39,1.94,1.94,9.62,9.62,9.62,9.62,0.03,0.03,0.15,0.15,0.45,0.45,9.44,9.44,FIRM
D,TRADING,PRICE,2,"2018/10/01 02:00:00",1,QLD1,4,54.77,0,0,"2018/10/01 01:55:04",54.77,2.39,2.39,1.94,1.94,9.62,9.62,9.62,9.62,0.03,0.03,0.15,0.15,0.45,0.45,9.44,9.44,FIRM
D,TRADING,PRICE,2,"2018/10/01 02:00:00",1,SA1,4,56.58,0,0,"2018/10/01 01:55:04",56.58,2.39,2.39,1.94,1.94,9.62,9.62,9.62,9.62,0.03,0.03,0.15,0.15,0.45,0.45,9.44,9.44,FIRM
