C,SETP.WORLD,DVD_TRADINGPRICE,AEMO,PUBLIC,2021/09/07,00:10:01,0000000348607475,,0000000348607271
I,TRADING,PRICE,2,SETTLEMENTDATE,RUNNO,REGIONID,PERIODID,RRP,EEP,INVALIDFLAG,LASTCHANGED,ROP,RAISE6SECRRP,RAISE6SECROP,RAISE60SECRRP,RAISE60SECROP,RAISE5MINRRP,RAISE5MINROP,RAISEREGRRP,RAISEREGROP,LOWER6SECRRP,LOWER6SECROP,LOWER60SECRRP,LOWER60SECROP,LOWER5MINRRP,LOWER5MINROP,LOWERREGRRP,LOWERREGROP,PRICE_STATUS
D,TRADING,PRICE,2,"2021/08/10 07:30:00",1,NSW1,15,75.74,0,0,"2021/08/10 07:25:04",75.74,20.53,20.53,28.43,28.43,0.77,0.77,18.4,18.4,0.14,0.14,0.38,0.38,0.18,0.18,10.12,10.12,FIRM
D,TRADING,PRICE,2,"2021/08/10 07:30:00",1,VIC1,15,70.38,0,0,"2021/08/10 07:25:04",70.38,20.53,20.53,28.43,28.43,0.77,0.77,18.4,18.4,0.14,0.14,0.38,0.38,0.18,0.18,10.12,10.12,FIRM
D,TRADING,PRICE,2,"2021/08/10 07:30:00",1,SA1,15,68.67,0,0,"2021/08/10 07:25:04",68.67,20.53,20.53,28.43,28.43,0.77,0.77,18.4,18.4,0.14,0.14,0.38,0.38,0.18,0.18,10.12,10.12,FIRM
D,TRADING,PRICE,2,"2021/08/10 07:30:00",1,QLD1,15,73.7,0,0,"2021/08/10 07:25:04",73.7,20.53,20.53,28.43,28.43,0.77,0.77,18.4,18.4,0.14,0.14,0.38,0.38,0.18,0.18,10.12,10.12,FIRM
D,TRADING,PRICE,2,"2021/08/10 07:30:00",1,TAS1,15,11.36,0,0,"2021/08/10 07:25:04",11.36,4.98,4.98,28.43,28.43,0.77,0.77,18.4,18.4,0.14,0.14,0.38,0.38,0.18,0.18,7.06,7.06,FIRM
D,TRADING,PRICE,2,"2021/08/10 09:30:00",1,NSW1,19,29.91,0,0,"2021/08/10 09:25:05",29.91,12.59,12.59,9.42,9.42,0.75,0.75,8.51,8.51,0.17,0.17,1.42,1.42,0.38,0.38,20.26,20.26,FIRM
D,TRADING,PRICE,2,"2021/08/10 09:30:00",1,VIC1,19,27.53,0,0,"2021/08/10 09:25:05",27.53,12.59,12.59,9.42,9.42,0.75,0.75,8.51,8.51,0.17,0.17,1.42,1.42,0.38,0.38,20.26,20.26,FIRM
D,TRADING,PRICE,2,"2021/08/10 09:30:00",1,SA1,19,27.17,0,0,"2021/08/10 09:25:05",27.17,12.59,12.59,9.42,9.42,0.75,0.75,8.51,8.51,0.17,0.17,1.42,1.42,0.38,0.38,20.26,20.26,FIRM
D,TRADING,PRICE,2,"2021/08/10 09:30:00",1,QLD1,19,26.44,0,0,"2021/08/10 09:25:05",26.44,12.59,12.59,9.42,9.42,0.75,0.75,8.51,8.51,0.17,0.17,1.42,1.42,0.38,0.38,20.26,20.26,FIRM
D,TRADING,PRICE,2,"2021/08/10 09:30:00",1,TAS1,19,11.67,0,0,"2021/08/10 09:25:05",11.67,7.44,7.44,7.11,7.11,0.5,0.5,6.85,6.85,0.17,0.17,1.82,1.82,0.38,0.38,5.7,5.7,FIRM
D,TRADING,PRICE,2,"2021/08/10 12:00:00",1,NSW1,24,26.75,0,0,"2021/08/10 11:55:04",26.75,1.04,1.04,1.61,1.61,0.24,0.24,16.66,16.66,5.33,5.33,24.99,24.99,4.69,4.69,28.05,28.05,FIRM
D,TRADING,PRICE,2,"2021/08/10 12:00:00",1,VIC1,24,-30.98,0,0,"2021/08/10 11:55:04",-30.98,1.04,1.04,1.61,1.61,0.24,0.24,16.66,16.66,5.33,5.33,24.99,24.99,4.69,4.69,28.05,28.05,FIRM
D,TRADING,PRICE,2,"2021/08/10 12:00:00",1,SA1,24,-37.32,0,0,"2021/08/10 11:55:04",-37.32,1.04,1.04,1.61,1.61,0.24,0.24,16.66,16.66,5.33,5.33,24.99,24.99,4.69,4.69,28.05,28.05,FIRM
D,TRADING,PRICE,2,"2021/08/10 12:00:00",1,QLD1,24,26.08,0,0,"2021/08/10 11:55:04",26.08,1.04,1.04,1.61,1.61,0.24,0.24,16.66,16.66,5.33,5.33,24.99,24.99,4.69,4.69,28.05,28.05,FIRM
D,TRADING,PRICE,2,"2021/08/10 12:00:00",1,TAS1,24,4.89,0,0,"2021/08/10 11:55:04",4.89,7.99,7.99,8.49,8.49,0.24,0.24,16.09,16.09,15.36,15.36,2.93,2.93,0.32,0.32,18.31,18.31,FIRM
D,TRADING,PRICE,2,"2021/08/10 16:30:00",1,NSW1,33,12.61,0,0,"2021/08/10 16:25:04",12.61,4.18,4.18,3.42,3.42,0.81,0.81,19.93,19.93,0.41,0.41,0.7,0.7,0.47,0.47,14.88,14.88,FIRM
D,TRADING,PRICE,2,"2021/08/10 16:30:00",1,VIC1,33,7.45,0,0,"2021/08/10 16:25:04",7.45,4.18,4.18,3.42,3.42,0.81,0.81,19.93,19.93,0.41,0.41,0.7,0.7,0.47,0.47,14.88,14.88,FIRM
D,TRADING,PRICE,2,"2021/08/10 16:30:00",1,SA1,33,6.8,0,0,"2021/08/10 16:25:04",6.8,4.18,4.18,3.42,3.42,0.81,0.81,19.93,19.93,0.41,0.41,0.7,0.7,0.47,0.47,14.88,14.88,FIRM
D,TRADING,PRICE,2,"2021/08/10 16:30:00",1,QLD1,33,12.72,0,0,"2021/08/10 16:25:04",12.72,4.18,4.18,3.42,3.42,0.81,0.81,19.93,19.93,0.41,0.41,0.7,0.7,0.47,0.47,14.88,14.88,FIRM
D,TRADING,PRICE,2,"2021/08/10 16:30:00",1,TAS1,33,2.24,0,0,"2021/08/10 16:25:04",2.24,5.24,5.24,7.49,7.49,0.18,0.18,11.44,11.44,3.4,3.4,0.89,0.89,0.26,0.26,25.2,25.2,FIRM
D,TRADING,PRICE,2,"2021/08/10 23:00:00",1,NSW1,46,56.61,0,0,"2021/08/10 22:55:07",56.61,3.26,3.26,4.86,4.86,0.52,0.52,11.46,11.46,0.17,0.17,0.22,0.22,0.22,0.22,6.26,6.26,FIRM
D,TRADING,PRICE,2,"2021/08/10 23:00:00",1,VIC1,46,3.51,0,0,"2021/08/10 22:55:07",3.51,3.26,3.26,4.86,4.86,0.52,0.52,11.46,11.46,0.17,0.17,0.22,0.22,0.22,0.22,6.26,6.26,FIRM
D,TRADING,PRICE,2,"2021/08/10 23:00:00",1,SA1,46,6.49,0,0,"2021/08/10 22:55:07",6.49,3.26,3.26,4.86,4.86,0.52,0.52,11.46,11.46,0.17,0.17,0.22,0.22,0.22,0.22,6.26,6.26,FIRM
D,TRADING,PRICE,2,"2021/08/10 23:00:00",1,QLD1,46,55.35,0,0,"2021/08/10 22:55:07",55.35,3.26,3.26,4.86,4.86,0.52,0.52,11.46,11.46,0.17,0.17,0.22,0.22,0.22,0.22,6.26,6.26,FIRM
D,TRADING,PRICE,2,"2021/08/10 23:00:00",1,TAS1,46,5.88,0,0,"2021/08/10 22:55:07",5.88,3.26,3.26,4.86,4.86,0.11,0.11,10.96,10.96,0.17,0.17,0.22,0.22,0.22,0.22,6.26,6.26,FIRM
D,TRADING,PRICE,2,"2021/08/11 16:30:00",1,NSW1,33,82.56,0,0,"2021/08/11 16:35:04",82.56,22.16,22.16,32.79,32.79,0.88,0.88,82.85,82.85,0.31,0.31,0.77,0.77,0.49,0.49,18.1,18.1,FIRM
D,TRADING,PRICE,2,"2021/08/11 16:30:00",1,VIC1,33,81.76,0,0,"2021/08/11 16:35:04",81.76,22.16,22.16,32.79,32.79,0.88,0.88,82.85,82.85,0.31,0.31,0.77,0.77,0.49,0.49,18.1,18.1,FIRM
D,TRADING,PRICE,2,"2021/08/11 16:30:00",1,SA1,33,-92.09,0,0,"2021/08/11 16:35:04",-92.09,22.16,22.16,32.79,32.79,0.88,0.88,82.85,82.85,0.31,0.31,0.77,0.77,0.49,0.49,18.1,18.1,FIRM
D,TRADING,PRICE,2,"2021/08/11 16:30:00",1,QLD1,33,80.16,0,0,"2021/08/11 16:35:04",80.16,22.16,22.16,32.79,32.79,0.88,0.88,82.85,82.85,0.31,0.31,0.77,0.77,0.49,0.49,18.1,18.1,FIRM
D,TRADING,PRICE,2,"2021/08/11 16:30:00",1,TAS1,33,43.96,0,0,"2021/08/11 16:35:04",43.96,22.16,22.16,18.4,18.4,0.15,0.15,42.9,42.9,0.31,0.31,0.77,0.77,0.49,0.49,9.67,9.67,FIRM
D,TRADING,PRICE,2,"2021/08/11 18:00:00",1,NSW1,36,94.93,0,0,"2021/08/11 17:55:04",94.93,20.43,20.43,7.88,7.88,0.77,0.77,13.45,13.45,0.05,0.05,0.18,0.18,0.17,0.17,11.89,11.89,FIRM
D,TRADING,PRICE,2,"2021/08/11 18:00:00",1,VIC1,36,83.47,0,0,"2021/08/11 17:55:04",83.47,20.43,20.43,7.88,7.88,0.77,0.77,13.45,13.45,0.05,0.05,0.18,0.18,0.17,0.17,11.89,11.89,FIRM
D,TRADING,PRICE,2,"2021/08/11 18:00:00",1,SA1,36,73.1,0,0,"2021/08/11 17:55:04",73.1,20.43,20.43,7.88,7.88,0.77,0.77,13.45,13.45,0.05,0.05,0.18,0.18,0.17,0.17,11.89,11.89,FIRM
D,TRADING,PRICE,2,"2021/08/11 18:00:00",1,QLD1,36,102.09,0,0,"2021/08/11 17:55:04",102.09,20.43,20.43,7.88,7.88,0.77,0.77,13.45,13.45,0.05,0.05,0.18,0.18,0.17,0.17,11.89,11.89,FIRM
D,TRADING,PRICE,2,"2021/08/11 18:00:00",1,TAS1,36,11.36,0,0,"2021/08/11 17:55:04",11.36,4.98,4.98,4.49,4.49,0.02,0.02,12.7,12.7,0.05,0.05,0.18,0.18,0.17,0.17,10.65,10.65,FIRM
D,TRADING,PRICE,2,"2021/08/11 20:00:00",1,NSW1,40,64.31,0,0,"2021/08/11 19:55:04",64.31,20.47,20.47,10.01,10.01,0.88,0.88,13.71,13.71,0.05,0.05,0.21,0.21,0.16,0.16,12.46,12.46,FIRM
D,TRADING,PRICE,2,"2021/08/11 20:00:00",1,VIC1,40,59.77,0,0,"2021/08/11 19:55:04",59.77,20.47,20.47,10.01,10.01,0.88,0.88,13.71,13.71,0.05,0.05,0.21,0.21,0.16,0.16,12.46,12.46,FIRM
D,TRADING,PRICE,2,"2021/08/11 20:00:00",1,SA1,40,55.31,0,0,"2021/08/11 19:55:04",55.31,20.47,20.47,10.01,10.01,0.88,0.88,13.71,13.71,0.05,0.05,0.21,0.21,0.16,0.16,12.46,12.46,FIRM
D,TRADING,PRICE,2,"2021/08/11 20:00:00",1,QLD1,40,68.09,0,0,"2021/08/11 19:55:04",68.09,20.47,20.47,10.01,10.01,0.88,0.88,13.71,13.71,0.05,0.05,0.21,0.21,0.16,0.16,12.46,12.46,FIRM
D,TRADING,PRICE,2,"2021/08/11 20:00:00",1,TAS1,40,11.36,0,0,"2021/08/11 19:55:04",11.36,4.98,4.98,4.49,4.49,0.02,0.02,12.85,12.85,0.05,0.05,0.21,0.21,0.16,0.16,12.83,12.83,FIRM
