C,SETP.WORLD,DVD_TRADINGPRICE,AEMO,PUBLIC,2018/01/09,02:35:04,0000000290856803,,0000000290856618
I,TRADING,PRICE,2,SETTLEMENTDATE,RUNNO,REGIONID,PERIODID,RRP,EEP,INVALIDFLAG,LASTCHANGED,ROP,RAISE6SECRRP,RAISE6SECROP,RAISE60SECRRP,RAISE60SECROP,RAISE5MINRRP,RAISE5MINROP,RAISEREGRRP,RAISEREGROP,LOWER6SECRRP,LOWER6SECROP,LOWER60SECRRP,LOWER60SECROP,LOWER5MINRRP,LOWER5MINROP,LOWERREGRRP,LOWERREGROP,PRICE_STATUS
D,TRADING,PRICE,2,"2017/12/01 00:30:00",1,NSW1,1,68.61,0,0,"2017/12/01 00:25:04",68.61,18.83,18.83,8.21,8.21,11.41,11.41,25.81,25.81,0.01,0.01,0.01,0.01,0.17,0.17,19.92,19.92,FIRM
D,TRADING,PRICE,2,"2017/12/01 00:30:00",1,QLD1,1,58.88,0,0,"2017/12/01 00:25:04",58.88,18.83,18.83,8.21,8.21,11.41,11.41,25.81,25.81,0.01,0.01,0.01,0.01,0.17,0.17,19.92,19.92,FIRM
D,TRADING,PRICE,2,"2017/12/01 00:30:00",1,SA1,1,70.64,0,0,"2017/12/01 00:25:04",70.64,18.83,18.83,8.21,8.21,11.41,11.41,25.81,25.81,0.01,0.01,0.01,0.01,0.17,0.17,19.92,19.92,FIRM
D,TRADING,PRICE,2,"2017/12/01 00:30:00",1,TAS1,1,34.43,0,0,"2017/12/01 00:25:04",34.43,17,17,4.8,4.8,4.46,4.46,16.71,16.71,0.01,0.01,0.01,0.01,0.17,0.17,19,19,FIRM
D,TRADING,PRICE,2,"2017/12/01 00:30:00",1,VIC1,1,71.92,0,0,"2017/12/01 00:25:04",71.92,18.83,18.83,8.21,8.21,11.41,11.41,25.81,25.81,0.01,0.01,0.01,0.01,0.17,0.17,19.92,19.92,FIRM
D,TRADING,PRICE,2,"2017/12/01 01:00:00",1,NSW1,2,70.8,0,0,"2017/12/01 00:55:04",70.8,38.43,38.43,13.08,13.08,14.82,14.82,34.13,34.13,0.01,0.01,0.03,0.03,0.27,0.27,25.66,25.66,FIRM
D,TRADING,PRICE,2,"2017/12/01 01:00:00",1,QLD1,2,60.24,0,0,"2017/12/01 00:55:04",60.24,38.43,38.43,13.08,13.08,14.82,14.82,34.13,34.13,0.01,0.01,0.03,0.03,0.27,0.27,25.66,25.66,FIRM
D,TRADING,PRICE,2,"2017/12/01 01:00:00",1,SA1,2,76.34,0,0,"2017/12/01 00:55:04",76.34,38.43,38.43,13.08,13.08,14.82,14.82,34.13,34.13,0.01,0.01,0.03,0.03,0.27,0.27,25.66,25.66,FIRM
D,TRADING,PRICE,2,"2017/12/01 01:00:00",1,TAS1,2,34.18,0,0,"2017/12/01 00:55:04",34.18,17,17,4.8,4.8,3.67,3.67,18.98,18.98,0.01,0.01,0.01,0.01,0.12,0.12,19,19,FIRM
D,TRADING,PRICE,2,"2017/12/01 01:00:00",1,VIC1,2,73.11,0,0,"2017/12/01 00:55:04",73.11,38.43,38.43,13.08,13.08,14.82,14.82,34.13,34.13,0.01,0.01,0.03,0.03,0.27,0.27,25.66,25.66,FIRM
D,TRADING,PRICE,2,"2017/12/01 01:30:00",1,NSW1,3,64.69,0,0,"2017/12/01 01:25:03",64.69,36.76,36.76,13.79,13.79,12.66,12.66,28.06,28.06,0.01,0.01,0.01,0.01,0.17,0.17,20.13,20.13,FIRM
